"","CCL.Open","CCL.High","CCL.Low","CCL.Close","CCL.Volume","CCL.Adjusted"
"2022-02-15",22.219999,22.870001,22.049999,22.780001,31683800,22.780001
"2022-02-16",22.780001,23.639999,22.620001,23.309999,40609500,23.309999
"2022-02-17",22.9,23.18,22.27,22.42,25412100,22.42
"2022-02-18",22.42,22.77,21.959999,22.17,29897300,22.17
"2022-02-22",21.549999,22.190001,21.35,21.51,34908600,21.51
"2022-02-23",21.879999,22,20.190001,20.209999,36958200,20.209999
"2022-02-24",18.84,20.709999,18.65,20.629999,49931700,20.629999
"2022-02-25",20.700001,21.4,20.290001,21.1,34048000,21.1
"2022-02-28",20.629999,20.790001,19.82,20.33,48343800,20.33
"2022-03-01",19.969999,20.030001,18.610001,18.860001,55954900,18.860001
"2022-03-02",19.120001,19.59,18.690001,19.02,41781800,19.02
"2022-03-03",19.26,19.709999,18.110001,18.27,40969400,18.27
"2022-03-04",17.85,18.07,17.02,17.23,56989800,17.23
"2022-03-07",17.299999,17.48,15.52,15.53,67688600,15.53
"2022-03-08",15.68,16.549999,14.94,15.88,68269000,15.88
"2022-03-09",16.91,17.780001,16.85,17.27,58123200,17.27
"2022-03-10",16.82,18.23,16.709999,17.65,42701100,17.65
"2022-03-11",17.93,18,17.18,17.209999,28443500,17.209999
"2022-03-14",17.299999,17.879999,16.84,17.120001,31014800,17.120001
"2022-03-15",17.43,18.190001,17.34,18.040001,40891100,18.040001
"2022-03-16",18.280001,19.440001,18.09,19.33,51372500,19.33
"2022-03-17",18.719999,19.16,18.219999,19.15,38740600,19.15
"2022-03-18",18.77,19.540001,18.68,19.459999,32136300,19.459999
"2022-03-21",19.209999,19.209999,18.59,18.950001,32803500,18.950001
"2022-03-22",18.639999,19.299999,18.370001,18.93,43514800,18.93
"2022-03-23",18.709999,18.9,18.24,18.299999,27832900,18.299999
"2022-03-24",18.309999,18.52,17.83,18.49,31280500,18.49
"2022-03-25",18.440001,18.75,18.23,18.389999,25947400,18.389999
"2022-03-28",18.59,19.43,18.52,19.4,32494500,19.4
"2022-03-29",19.959999,20.4,19.67,19.93,40091600,19.93
"2022-03-30",19.58,19.92,19.450001,19.6,24681700,19.6
"2022-03-31",19.629999,20.540001,19.51,20.219999,42409900,20.219999
"2022-04-01",20.35,20.459999,19.68,20.049999,27871800,20.049999
"2022-04-04",19.92,19.940001,19.35,19.74,25523400,19.74
"2022-04-05",20.690001,21.5,20.139999,20.219999,68213000,20.219999
"2022-04-06",19.83,19.889999,18.860001,18.93,44802800,18.93
"2022-04-07",18.889999,18.92,18.059999,18.74,42475400,18.74
"2022-04-08",18.6,18.73,18.040001,18.34,28731700,18.34
"2022-04-11",18.129999,19.02,17.99,18.540001,27851900,18.540001
"2022-04-12",18.77,18.950001,18.360001,18.51,23404200,18.51
"2022-04-13",18.799999,19.639999,18.780001,19.51,35391100,19.51
"2022-04-14",19.709999,20.09,19.450001,19.559999,25316700,19.559999
"2022-04-18",19.440001,19.59,18.969999,19.040001,18700700,19.040001
"2022-04-19",19.110001,20.08,19.110001,19.91,28760200,19.91
"2022-04-20",19.959999,20.33,19.620001,19.620001,21267000,19.620001
"2022-04-21",20.48,20.629999,19.389999,19.51,37800100,19.51
"2022-04-22",19.469999,19.68,18.75,18.84,25671500,18.84
"2022-04-25",18.73,18.889999,18.34,18.879999,27164700,18.879999
"2022-04-26",18.84,18.879999,17.43,17.5,44476200,17.5
"2022-04-27",17.6,17.9,17.15,17.41,35893100,17.41
"2022-04-28",17.73,18,17.120001,17.83,30952100,17.83
"2022-04-29",17.76,18.200001,17.24,17.299999,22197100,17.299999
"2022-05-02",17.309999,17.48,16.73,17.35,34360800,17.35
"2022-05-03",17.629999,17.83,17.110001,17.49,28177600,17.49
"2022-05-04",17.42,17.73,16.690001,17.73,37917900,17.73
"2022-05-05",17.299999,17.540001,16.360001,16.540001,44517800,16.540001
"2022-05-06",16.42,16.559999,15.59,15.92,43828900,15.92
"2022-05-09",15.55,15.62,14.05,14.14,55563200,14.14
"2022-05-10",14.81,15.03,13.82,14.19,46996200,14.19
"2022-05-11",14.25,14.74,13.52,13.55,40917100,13.55
"2022-05-12",13.26,13.86,12.72,13.26,53708800,13.26
"2022-05-13",13.55,14.5,13.55,14.28,40862000,14.28
"2022-05-16",14.27,14.53,14.03,14.09,29771800,14.09
"2022-05-17",14.51,14.96,14.32,14.87,29133500,14.87
"2022-05-18",14.61,14.83,13.7,13.84,36536400,13.84
"2022-05-19",13.67,13.94,13.49,13.58,37716400,13.58
"2022-05-20",13.81,13.96,12.7,13.13,45620600,13.13
"2022-05-23",13.12,13.19,12.54,13.11,41410400,13.11
"2022-05-24",12.84,12.87,11.56,11.76,63216500,11.76
"2022-05-25",11.65,12.31,11.61,12.18,38049800,12.18
"2022-05-26",12.3,13.47,12.3,13.21,49498400,13.21
"2022-05-27",13.35,13.97,13.33,13.97,35625500,13.97
"2022-05-31",13.86,14.17,13.72,13.88,38118300,13.88
"2022-06-01",14.04,14.2,13.15,13.47,33402900,13.47
"2022-06-02",13.49,14.06,13.39,14.06,34067200,14.06
"2022-06-03",13.65,13.89,13.34,13.51,27169400,13.51
"2022-06-06",13.67,13.8,13.34,13.61,26843100,13.61
"2022-06-07",13.3,13.81,13.21,13.78,23383200,13.78
"2022-06-08",13.35,13.56,12.92,12.93,43179100,12.93
"2022-06-09",12.82,12.85,11.73,11.73,63169100,11.73
"2022-06-10",11.56,12.07,11.04,11.05,67279900,11.05
"2022-06-13",10.53,10.54,9.77,9.91,71269000,9.91
"2022-06-14",10.01,10.17,9.41,9.52,59250200,9.52
"2022-06-15",9.64,10.02,9.51,9.84,67274100,9.84
"2022-06-16",9.43,9.49,8.7,8.75,76859100,8.75
"2022-06-17",8.91,9.64,8.75,9.6,69584400,9.6
"2022-06-21",9.69,9.79,9.43,9.57,49067200,9.57
"2022-06-22",9.36,9.83,9.28,9.62,38634600,9.62
"2022-06-23",9.62,9.74,9.22,9.65,48309600,9.65
"2022-06-24",9.72,10.88,9.48,10.85,85277300,10.85
"2022-06-27",10.73,10.81,10.18,10.55,52876800,10.55
"2022-06-28",10.49,11.05,10.31,10.33,46295200,10.33
"2022-06-29",9.49,9.6,8.66,8.87,109730900,8.87
