"","CDW.Open","CDW.High","CDW.Low","CDW.Close","CDW.Volume","CDW.Adjusted"
"2020-09-21",110.889999,111.470001,108.489998,108.809998,1031900,106.801018
"2020-09-22",108.330002,110.309998,105.870003,110.169998,847700,108.13591
"2020-09-23",111.010002,112.129997,108.010002,109.209999,946400,107.193619
"2020-09-24",108.629997,111.980003,108.139999,110.43,911100,108.391098
"2020-09-25",110.25,112.860001,109.669998,112.739998,688600,110.658447
"2020-09-28",114.440002,116.720001,113.110001,116.5,1214900,114.34903
"2020-09-29",116.989998,118.970001,116.510002,118.110001,786200,115.929298
"2020-09-30",118.529999,121.889999,118.099998,119.529999,1013400,117.32309
"2020-10-01",120.449997,124.529999,120.449997,123.5,1000800,121.219772
"2020-10-02",120.639999,124.620003,120.419998,123.489998,1128300,121.209961
"2020-10-05",124.349998,126.43,124.059998,125.879997,653700,123.55584
"2020-10-06",126.129997,127.239998,122.519997,123.07,985900,120.797722
"2020-10-07",124.68,126.239998,124.300003,125.93,497900,123.604927
"2020-10-08",126.730003,127.160004,125.57,126.199997,404300,123.869934
"2020-10-09",127.25,127.830002,125.620003,125.989998,506700,123.663811
"2020-10-12",127.860001,130.809998,126.480003,130.009995,596300,127.609581
"2020-10-13",130.529999,131.220001,129.690002,129.929993,688900,127.531036
"2020-10-14",130.380005,131.130005,129.389999,129.520004,673200,127.128632
"2020-10-15",127.580002,130.160004,127,129.800003,473900,127.403473
"2020-10-16",130.75,131.759995,129.300003,130.619995,393800,128.208328
"2020-10-19",130.210007,132.25,128.119995,128.860001,482400,126.480812
"2020-10-20",130.720001,131.389999,128.910004,129.320007,422200,126.932343
"2020-10-21",129.75,130.300003,128.089996,128.839996,468900,126.461174
"2020-10-22",128.520004,129.830002,127.32,129.440002,337800,127.05011
"2020-10-23",130.300003,130.539993,128.669998,130,310900,127.599792
"2020-10-26",128.270004,129.610001,124.220001,125.669998,426500,123.349716
"2020-10-27",125.349998,126.199997,123.120003,123.279999,620100,121.003838
"2020-10-28",120.330002,120.75,118.309998,118.730003,706900,116.537857
"2020-10-29",117.279999,122.089996,117.019997,120.949997,733100,118.716866
"2020-10-30",119.940002,123.199997,118.610001,122.599998,1147000,120.336403
"2020-11-02",125.169998,129.460007,123.220001,126.449997,1247600,124.115326
"2020-11-03",130.050003,131.809998,127.660004,130.720001,676900,128.306503
"2020-11-04",132.149994,135.949997,130.089996,133.850006,993800,131.378708
"2020-11-05",135.220001,139.75,135.110001,138.179993,1322200,135.628754
"2020-11-06",138.300003,139.490005,137.110001,138.050003,676100,135.501144
"2020-11-09",141.089996,146.949997,141.089996,143.949997,1568900,141.292221
"2020-11-10",141.330002,144.220001,136.869995,137.529999,1310300,134.990738
"2020-11-11",138.320007,139.339996,136.869995,138.699997,582300,136.139145
"2020-11-12",138.460007,139.229996,135.259995,135.559998,456400,133.057098
"2020-11-13",136.990005,138.429993,136.820007,137.589996,1199500,135.049637
"2020-11-16",139.309998,140.820007,138.570007,139.080002,677900,136.512146
"2020-11-17",137.610001,138.960007,136.330002,136.779999,711400,134.254593
"2020-11-18",137.100006,138.110001,135.669998,135.729996,1481000,133.223969
"2020-11-19",134.740005,135.070007,131.050003,132.779999,1418900,130.328445
"2020-11-20",132.449997,133.600006,131.919998,131.949997,783700,129.513779
"2020-11-23",132.259995,132.690002,130.229996,131.220001,1102800,128.797241
"2020-11-24",131.850006,137.669998,131.669998,136.820007,1970100,134.704468
"2020-11-25",136.240005,136.339996,131.330002,131.940002,786800,129.899933
"2020-11-27",132.110001,132.419998,131.080002,132.229996,357100,130.185455
"2020-11-30",131.5,131.5,129.059998,130.490005,1082000,128.472351
"2020-12-01",131.929993,133.100006,131.029999,132.020004,985800,129.978683
"2020-12-02",131.970001,132.279999,130.610001,131.210007,587000,129.181229
"2020-12-03",130.809998,132.949997,130.740005,131.25,610900,129.220596
"2020-12-04",131.550003,134.380005,131.350006,133.5,925400,131.435806
"2020-12-07",133.25,134.75,132,132.940002,742400,130.884476
"2020-12-08",133.600006,134.320007,132.320007,132.940002,1203400,130.884476
"2020-12-09",133,133.460007,131.110001,131.949997,687800,129.909775
"2020-12-10",131.5,132.369995,130.899994,131.710007,542600,129.673492
"2020-12-11",130.720001,131.610001,128.820007,130.699997,689100,128.679108
"2020-12-14",131.570007,134.110001,130.75,131.729996,937000,129.693161
"2020-12-15",132.190002,133.259995,131.759995,132.830002,650100,130.776169
"2020-12-16",132.710007,133.190002,131.770004,132.259995,570100,130.214981
"2020-12-17",128.910004,135.380005,128.910004,135.240005,885700,133.148926
"2020-12-18",135.850006,136.630005,133.270004,134.369995,2098300,132.292343
"2020-12-21",131.75,132.130005,129.300003,130.990005,1153600,128.96463
"2020-12-22",131.350006,131.649994,129.470001,130.75,1207100,128.728348
"2020-12-23",131.410004,132.589996,129.669998,129.850006,782500,127.842255
"2020-12-24",130.460007,130.529999,128.25,129.229996,392900,127.231834
"2020-12-28",130.75,131.509995,129.630005,131.059998,954100,129.033524
"2020-12-29",132.009995,133.889999,128.839996,129.470001,740600,127.468117
"2020-12-30",129.330002,131.470001,129,130,483600,127.989929
"2020-12-31",129.820007,132.169998,129.399994,131.789993,493700,129.752243
"2021-01-04",131.75,132.809998,125.459999,127.160004,1073800,125.193832
"2021-01-05",126.190002,128.330002,125.660004,127.839996,1026200,125.863319
"2021-01-06",127.220001,130.369995,127.220001,128.899994,964200,126.906937
"2021-01-07",129.119995,132.619995,128.580002,131.970001,1482600,129.929459
"2021-01-08",132.190002,135.740005,132,134.589996,999400,132.508972
"2021-01-11",133.009995,135.160004,132.759995,133.649994,686400,131.583466
"2021-01-12",133.279999,135.740005,132.910004,134.419998,652400,132.341583
"2021-01-13",134.380005,136.229996,134.100006,134.949997,972700,132.863388
"2021-01-14",135.179993,136.210007,134.449997,134.800003,677700,132.715729
"2021-01-15",134.210007,134.639999,131.169998,133.660004,811000,131.593353
"2021-01-19",133.449997,134.880005,130.009995,132.970001,784300,130.914001
"2021-01-20",133.850006,136.820007,133.100006,136.149994,774600,134.04483
"2021-01-21",135.830002,137.800003,134.759995,137.669998,750200,135.541321
"2021-01-22",136.490005,137.25,135.320007,135.320007,804800,133.227661
"2021-01-25",135.820007,137.009995,134.839996,135.229996,610100,133.139069
"2021-01-26",136.139999,136.139999,133.210007,134.240005,461300,132.164368
"2021-01-27",132.960007,134.289993,130.350006,133.020004,963400,130.963242
"2021-01-28",133.630005,136.410004,132.649994,134.5,986700,132.420349
"2021-01-29",133.259995,134.410004,130.220001,131.660004,1108800,129.624268
"2021-02-01",133.470001,139.309998,132.710007,138.160004,1230700,136.023758
"2021-02-02",138.740005,142.399994,138.369995,141.440002,713300,139.253036
"2021-02-03",140.529999,141.919998,139.369995,140.990005,768200,138.809998
"2021-02-04",145.710007,149.990005,144.820007,149.979996,1211700,147.660965
"2021-02-05",151.270004,151.270004,147.520004,150.970001,630900,148.635681
"2021-02-08",152.080002,153.949997,150.020004,150.389999,1436100,148.064651
"2021-02-09",150.389999,151.75,149.270004,151.559998,754600,149.216553
"2021-02-10",155.259995,157.940002,154.309998,157.339996,1034200,154.907181
"2021-02-11",156.979996,157.100006,154.160004,156.910004,730400,154.483856
"2021-02-12",157.020004,157.020004,154.410004,155.399994,573700,152.997192
"2021-02-16",154.779999,156.770004,154.660004,155.929993,740000,153.518982
"2021-02-17",155.610001,158.580002,154.300003,157.860001,871300,155.419144
"2021-02-18",156.800003,158.080002,156.550003,156.649994,672200,154.227859
"2021-02-19",157.25,162.419998,156.800003,160.75,1035400,158.264465
"2021-02-22",158.600006,160.779999,158.320007,159.320007,638000,156.856583
"2021-02-23",158.460007,158.460007,154.429993,157.179993,772300,154.749649
"2021-02-24",154.630005,162.729996,154.009995,162.100006,701000,160.000778
"2021-02-25",160.970001,161.419998,156.509995,156.889999,789300,154.858231
"2021-02-26",158.360001,159.710007,155.669998,156.889999,954900,154.858231
"2021-03-01",160.100006,161.860001,158.619995,160.570007,786800,158.490585
"2021-03-02",160,160.809998,156.839996,157.100006,701700,155.065536
"2021-03-03",156.490005,157,154.380005,155.660004,961100,153.64418
"2021-03-04",154.880005,155.779999,148.910004,151.440002,1072100,149.478836
"2021-03-05",153.820007,155.25,149.220001,154.479996,891200,152.479462
"2021-03-08",154.070007,157.199997,152.910004,155.139999,774000,153.130905
"2021-03-09",155.869995,157.320007,154.169998,154.470001,849200,152.469574
"2021-03-10",155.669998,158.270004,154.289993,156.440002,684700,154.414093
"2021-03-11",157.110001,161.009995,156.179993,159.990005,703100,157.918106
"2021-03-12",161.020004,162,158.990005,160.059998,639900,157.987198
"2021-03-15",159.690002,161.339996,158.5,161.270004,504500,159.181534
"2021-03-16",162.130005,162.199997,160.020004,160.970001,524600,158.885406
"2021-03-17",160.149994,160.630005,157.570007,160.399994,715700,158.322784
"2021-03-18",157.300003,159.919998,156.589996,157.100006,766300,155.065536
"2021-03-19",156.270004,159.419998,154.740005,158.029999,1663400,155.98349
"2021-03-22",158.199997,160.350006,157.179993,159.300003,639600,157.237045
"2021-03-23",158.850006,159.929993,155.179993,156.059998,773300,154.038986
"2021-03-24",156.740005,159.630005,156.100006,156.410004,819000,154.38446
"2021-03-25",156.009995,160.399994,154.529999,159.619995,1004600,157.552902
"2021-03-26",158.75,168.029999,158.589996,167.899994,1342600,165.725647
"2021-03-29",167.740005,168.960007,163.800003,165.059998,821700,162.922424
"2021-03-30",163.970001,165.330002,161.339996,164.820007,549400,162.685577
"2021-03-31",165.770004,166.399994,164.059998,165.75,763400,163.603516
"2021-04-01",167.630005,169.639999,166.589996,169.440002,722800,167.245728
"2021-04-05",170.399994,172.789993,169.5,171.529999,704400,169.308655
"2021-04-06",170.789993,171.559998,169.559998,171.520004,785700,169.298798
"2021-04-07",171.289993,171.300003,169.850006,170.320007,483700,168.114319
"2021-04-08",176.330002,176.330002,172.179993,174.589996,782800,172.329025
"2021-04-09",173.800003,175.679993,172.699997,175.440002,855200,173.16803
"2021-04-12",175.440002,175.559998,173.320007,174.25,777500,171.993423
"2021-04-13",174.050003,176.179993,173.589996,175.889999,577800,173.612198
"2021-04-14",176.990005,178.929993,175.440002,178.130005,1199600,175.823212
"2021-04-15",178.779999,181.039993,176.919998,180.820007,893700,178.478363
"2021-04-16",184.580002,184.580002,181.580002,184.009995,965600,181.627029
"2021-04-19",183.100006,184.059998,181.910004,182.199997,856500,179.840485
"2021-04-20",181.309998,183.630005,179.720001,180.740005,784700,178.399399
"2021-04-21",181.380005,182.610001,180.800003,181.830002,816100,179.47525
"2021-04-22",182.669998,183.110001,180.259995,180.869995,587800,178.527695
"2021-04-23",181.910004,183.520004,180.929993,182.610001,775200,180.245178
"2021-04-26",182.759995,184,181.639999,183.110001,613800,180.738693
"2021-04-27",183.009995,183.720001,181.669998,183.490005,472300,181.11377
"2021-04-28",183.429993,183.850006,181.110001,182.029999,423200,179.672684
"2021-04-29",183.220001,184.020004,181.949997,182.5,515600,180.136597
"2021-04-30",181.460007,181.460007,177.860001,178.330002,863400,176.020584
"2021-05-03",180.259995,180.770004,177.509995,179.199997,724600,176.879333
"2021-05-04",178.559998,179.100006,175.020004,176.300003,973400,174.016891
"2021-05-05",174.649994,176,169.039993,171.399994,1464500,169.180344
"2021-05-06",171.059998,172.919998,166.410004,172.600006,1314500,170.364792
"2021-05-07",172.669998,175.380005,171.970001,174.869995,784500,172.605392
"2021-05-10",174.869995,175.389999,171.399994,171.419998,545600,169.200073
"2021-05-11",168.600006,169.639999,166.660004,167.639999,1497800,165.469009
"2021-05-12",164.630005,166.429993,162.570007,163.479996,1228100,161.3629
"2021-05-13",164.949997,169.759995,163.660004,168.529999,1242300,166.347504
"2021-05-14",169.880005,170.059998,166.350006,169.449997,878300,167.255585
"2021-05-17",167.889999,169.270004,166.619995,169.139999,642000,166.9496
"2021-05-18",169.559998,169.839996,167.800003,167.869995,736800,165.696045
"2021-05-19",164.919998,168.240005,164.350006,168.029999,569900,165.853989
"2021-05-20",168.029999,168.759995,166.860001,168.059998,847500,165.883591
"2021-05-21",168.520004,169.759995,167.070007,168.070007,772900,165.893478
"2021-05-24",169.229996,169.979996,168.029999,168.559998,471600,166.774033
"2021-05-25",169.589996,169.850006,166.360001,166.729996,450900,164.963409
"2021-05-26",166.800003,167.369995,164.919998,166.080002,1283500,164.320297
"2021-05-27",166.929993,168.139999,166.039993,167.179993,1271200,165.408661
"2021-05-28",167.309998,168.080002,162.940002,165.419998,948000,163.667313
"2021-06-01",165.960007,166.940002,163.460007,163.869995,817700,162.133728
"2021-06-02",164.589996,165.960007,164.360001,164.960007,641100,163.212173
"2021-06-03",163.039993,166.119995,162.470001,165.279999,780500,163.528778
"2021-06-04",165.759995,168.229996,165.509995,167.490005,622500,165.715378
"2021-06-07",167.070007,167.820007,165.360001,165.759995,682700,164.003693
"2021-06-08",166.5,167.490005,165.710007,166.479996,432800,164.716064
"2021-06-09",167,167.289993,165.690002,165.809998,456300,164.053177
"2021-06-10",166.169998,167.440002,165.210007,167.410004,385600,165.636215
"2021-06-11",168.490005,168.759995,166.979996,168.660004,588800,166.872986
"2021-06-14",168.679993,169.619995,167.919998,169.300003,650500,167.506195
"2021-06-15",169.610001,172,168.979996,170.929993,853700,169.118912
"2021-06-16",170.919998,173.289993,169.899994,171.729996,1300100,169.910446
"2021-06-17",170.929993,171.539993,168.199997,169.240005,1079800,167.446838
"2021-06-18",168.190002,169.410004,164.630005,165.779999,1457900,164.023499
"2021-06-21",166.899994,170.389999,166.119995,169.729996,602800,167.931625
"2021-06-22",169.25,171.830002,168.720001,171.139999,707200,169.326691
"2021-06-23",170.860001,171.440002,168.850006,169.100006,883600,167.308304
"2021-06-24",170,170.449997,168.610001,170.289993,465400,168.485703
"2021-06-25",170,172.580002,169.220001,171.770004,1102700,169.950027
"2021-06-28",172.240005,173.979996,171.800003,173.789993,803500,171.948593
"2021-06-29",173.309998,176.490005,173.309998,176.330002,617000,174.4617
"2021-06-30",176.089996,176.990005,174.380005,174.649994,594700,172.799515
"2021-07-01",174.860001,176.690002,173.429993,175.800003,537500,173.937317
"2021-07-02",176.520004,177.679993,176.119995,176.889999,409800,175.015778
"2021-07-06",176.649994,176.979996,173.960007,175.970001,955500,174.10553
"2021-07-07",176.649994,178.949997,175.229996,178.830002,620300,176.935226
"2021-07-08",176.770004,179.570007,176,176.830002,664300,174.956406
"2021-07-09",176.279999,178.610001,176.070007,177.979996,775400,176.094223
"2021-07-12",177.630005,178.539993,175.75,176.330002,627300,174.4617
"2021-07-13",175.589996,177.020004,173.869995,174.160004,653400,172.314697
"2021-07-14",175.190002,176.770004,174.990005,176.050003,705700,174.184677
"2021-07-15",175.520004,175.660004,173.979996,175.360001,436900,173.501968
"2021-07-16",176.070007,177.410004,174.300003,174.440002,446800,172.591721
"2021-07-19",172.169998,173.949997,171.330002,172.429993,600700,170.603012
"2021-07-20",173.320007,177.759995,172.589996,176.240005,626000,174.372665
"2021-07-21",176.660004,177.940002,175.960007,177.25,545600,175.371964
"2021-07-22",177.520004,177.940002,176.639999,177.460007,458100,175.579727
"2021-07-23",178.570007,181.059998,177.960007,180.949997,367900,179.032745
"2021-07-26",180.220001,182.399994,180.220001,181.580002,453300,179.656082
"2021-07-27",180.75,182.490005,178.880005,181.300003,534400,179.379044
"2021-07-28",181.570007,182.160004,179.559998,180.320007,544300,178.409424
"2021-07-29",180.839996,183.779999,180.830002,183.110001,412400,181.169861
"2021-07-30",182.740005,183.449997,181.529999,183.350006,670800,181.407333
"2021-08-02",184.800003,185.449997,183.279999,183.669998,575300,181.723938
"2021-08-03",184.509995,185.410004,182.330002,185.289993,693500,183.326767
"2021-08-04",183.279999,190.669998,179.240005,188.240005,1219300,186.245514
"2021-08-05",190.009995,191.050003,187.320007,190.619995,806600,188.600281
"2021-08-06",189.949997,192.720001,189.669998,190.050003,687000,188.036331
"2021-08-09",188.970001,190.039993,188,189.630005,592200,187.620789
"2021-08-10",190.220001,192.770004,189.380005,191.520004,774900,189.490768
"2021-08-11",192.449997,196.240005,191.839996,195.960007,893000,193.883713
"2021-08-12",195.800003,198.289993,195.259995,197.910004,622300,195.813065
"2021-08-13",191.339996,198.539993,191.339996,198.320007,651500,196.218704
"2021-08-16",198.100006,199.050003,196.770004,199.020004,804300,196.911301
"2021-08-17",198.979996,198.979996,194.949997,196.690002,612600,194.605988
"2021-08-18",196.389999,197.830002,195.039993,195.270004,424500,193.201019
"2021-08-19",193.350006,195.169998,192.020004,194.330002,633200,192.270996
"2021-08-20",194.619995,196.529999,194.199997,195.770004,520000,193.695724
"2021-08-23",196.339996,197.309998,195.429993,196.899994,390500,194.813751
"2021-08-24",196.75,198.220001,196.5,196.949997,494900,195.259903
"2021-08-25",196.649994,199.100006,196.380005,198.380005,542200,196.677628
"2021-08-26",198.360001,199.110001,197.25,198.070007,540000,196.3703
"2021-08-27",197.850006,199.449997,196.869995,199.25,781200,197.540161
"2021-08-30",199.789993,201.360001,198.619995,200.740005,654200,199.01738
"2021-08-31",200.759995,201.350006,199.320007,200.610001,984600,198.888489
"2021-09-01",200.949997,201.360001,198.399994,200.289993,529000,198.571228
"2021-09-02",200.669998,203.339996,200.669998,203.259995,471300,201.515747
"2021-09-03",202.360001,203.820007,202.160004,202.699997,384400,200.960556
"2021-09-07",201.800003,202.259995,200.270004,201.25,512700,199.522995
"2021-09-08",200.389999,200.660004,198.5,200.389999,658900,198.670364
"2021-09-09",200.070007,202.119995,199.330002,199.550003,632300,197.837585
"2021-09-10",200.410004,201.919998,197.710007,197.990005,541300,196.29097
"2021-09-13",199.860001,200.089996,195.350006,196.770004,603700,195.081436
"2021-09-14",198.699997,198.699997,192.509995,193.479996,820400,191.819672
"2021-09-15",192.710007,195.529999,191.479996,195.089996,1130500,193.415863
"2021-09-16",194.220001,195.860001,193.75,194.339996,801100,192.672287
"2021-09-17",192.880005,193.679993,190.169998,191.139999,1866800,189.499756
"2021-09-20",187.600006,190,185.720001,187.800003,800800,186.188431
"2021-09-21",188.309998,188.990005,185.759995,187.759995,656700,186.148758
"2021-09-22",188.539993,190.889999,188.539993,189.630005,490800,188.002716
"2021-09-23",189.119995,194.309998,189.070007,192.520004,401400,190.86792
"2021-09-24",191.550003,193.699997,191.110001,193.059998,439800,191.403275
"2021-09-27",191.979996,193.759995,191.449997,192.289993,446400,190.639877
"2021-09-28",190.649994,191.089996,185.589996,186.139999,603400,184.542648
"2021-09-29",188.119995,188.669998,183.940002,185.389999,468300,183.799103
"2021-09-30",186.009995,187.100006,181.889999,182.020004,919300,180.458023
"2021-10-01",182.660004,186.419998,180.25,185.710007,850600,184.116364
"2021-10-04",185.240005,187.470001,182.220001,182.649994,1010600,181.082626
"2021-10-05",183.059998,185.669998,181.820007,184.130005,576800,182.549911
"2021-10-06",178.550003,178.550003,172.240005,175.529999,1253900,174.023697
"2021-10-07",177.279999,178.779999,176.580002,177.460007,817100,175.937149
"2021-10-08",178.029999,178.080002,176.119995,176.880005,558700,175.362137
"2021-10-11",175.600006,176.490005,174.369995,174.570007,593400,173.071945
"2021-10-12",175.550003,175.800003,173.149994,173.610001,613400,172.120193
"2021-10-13",174.5,175.630005,172.880005,174.020004,761900,172.526688
"2021-10-14",175.809998,178.229996,174.639999,177.529999,716500,176.006546
"2021-10-15",177.789993,179.139999,177.110001,177.720001,709400,176.194916
"2021-10-18",178.970001,190.720001,178.960007,186.229996,1628800,184.631882
"2021-10-19",186.740005,187.770004,185.559998,187.630005,550400,186.019882
"2021-10-20",188.059998,189.490005,187.720001,188.389999,697500,186.773361
"2021-10-21",188.279999,190.669998,187.649994,190.550003,585200,188.914825
"2021-10-22",190.550003,193.110001,190.550003,191.470001,431700,189.82692
"2021-10-25",191.580002,192.919998,190.410004,191.539993,431000,189.896317
"2021-10-26",192.279999,192.279999,188.279999,188.470001,628500,186.852661
"2021-10-27",188.460007,188.460007,184.130005,184.369995,645700,182.787842
"2021-10-28",184.850006,187.470001,184.669998,185.940002,648300,184.344391
"2021-10-29",184.25,187.270004,184.25,186.649994,502900,185.048264
"2021-11-01",186.789993,189.139999,186.789993,187.639999,704900,186.0298
"2021-11-02",187.550003,189.550003,186.369995,189.210007,882600,187.586319
"2021-11-03",189.380005,189.380005,182.020004,185.539993,831100,183.947815
"2021-11-04",187.490005,189.050003,184.679993,185,1136700,183.412445
"2021-11-05",185.809998,189.820007,185.220001,187.070007,1369600,185.464676
"2021-11-08",187.779999,188.949997,184.600006,185.320007,662200,183.729706
"2021-11-09",185.649994,188.009995,185.289993,187.020004,744400,185.415115
"2021-11-10",185.759995,191.419998,185.759995,188.800003,950500,187.17984
"2021-11-11",188.690002,190.860001,186.360001,188.320007,511200,186.703964
"2021-11-12",189.630005,191.720001,188.179993,191.080002,384900,189.440277
"2021-11-15",191.470001,192.75,190.309998,190.850006,532400,189.21225
"2021-11-16",190.350006,195.610001,189.940002,194.979996,914900,193.306793
"2021-11-17",195.139999,195.789993,194.240005,195.240005,681700,193.564575
"2021-11-18",195.270004,195.710007,192.649994,195.229996,596000,193.554657
"2021-11-19",195.389999,198.100006,194.850006,196.059998,748300,194.377533
"2021-11-22",196.889999,200.529999,195,196.199997,660000,194.516327
"2021-11-23",195.320007,197.080002,192.679993,195.839996,603500,194.655487
"2021-11-24",194.839996,199.910004,194.839996,199.789993,515400,198.581589
"2021-11-26",198.289993,199.929993,190.009995,191.160004,522500,190.003799
"2021-11-29",193.860001,196.320007,192.949997,194.800003,839300,193.62178
"2021-11-30",194.360001,196.929993,188.009995,189.360001,1496800,188.214676
"2021-12-01",192.009995,194.089996,184.710007,184.809998,1033100,183.6922
"2021-12-02",185.880005,194.940002,185.880005,193.619995,735300,192.448914
"2021-12-03",194.020004,194.929993,190.050003,191.669998,870600,190.510712
"2021-12-06",193.029999,196.529999,193.009995,194.380005,658000,193.20433
"2021-12-07",196.399994,198.899994,194.839996,198.210007,546000,197.011154
"2021-12-08",199.279999,200.399994,197.679993,198.820007,522900,197.617462
"2021-12-09",197.800003,198.389999,194.600006,194.690002,556600,193.512436
"2021-12-10",196.5,196.639999,192.990005,194.869995,639200,193.691345
"2021-12-13",193.809998,194.070007,190.550003,191.75,912600,190.590225
"2021-12-14",191.270004,192.580002,187.5,189.690002,878900,188.542679
"2021-12-15",189.949997,192.270004,185.960007,192.149994,966100,190.987793
"2021-12-16",193.600006,193.600006,187.149994,187.830002,1117000,186.693939
"2021-12-17",187.990005,194.020004,187.539993,190.070007,8374300,188.920395
"2021-12-20",186.889999,187.330002,182.050003,186.740005,967100,185.610535
"2021-12-21",188.690002,193.770004,187.660004,193.300003,621600,192.130844
"2021-12-22",193.820007,198.949997,193.119995,198.869995,606100,197.66716
"2021-12-23",198.070007,203.850006,198.070007,202.759995,637100,201.53363
"2021-12-27",203.449997,207.190002,203.160004,207.020004,461200,205.767868
"2021-12-28",207.669998,207.669998,205.089996,205.600006,291500,204.356445
"2021-12-29",205.660004,207.470001,205.350006,206.830002,331100,205.57901
"2021-12-30",207.160004,207.550003,203.809998,203.970001,315100,202.736313
"2021-12-31",203.550003,205.690002,202.639999,204.779999,386400,203.541412
"2022-01-03",205.339996,206.990005,203.380005,205.009995,850000,203.77002
"2022-01-04",205.600006,208.710007,205.600006,208.130005,804200,206.871155
"2022-01-05",207.649994,208.130005,203.25,203.529999,841700,202.298965
"2022-01-06",203.660004,206.619995,202.649994,206.210007,1306500,204.962769
"2022-01-07",205.899994,206.539993,198.330002,198.380005,1122500,197.180115
"2022-01-10",196.380005,200.600006,192.289993,200.210007,1232700,198.999054
"2022-01-11",201.110001,201.979996,196.830002,200.419998,927000,199.207779
"2022-01-12",200.820007,202.779999,197.059998,197.399994,558000,196.206039
