"","PAYC.Open","PAYC.High","PAYC.Low","PAYC.Close","PAYC.Volume","PAYC.Adjusted"
"2020-09-18",279.309998,282.325012,269.769989,273.700012,649100,273.700012
"2020-09-21",268.070007,274.369995,265,274.320007,541700,274.320007
"2020-09-22",275.980011,280.339996,271.450012,280.079987,339900,280.079987
"2020-09-23",279.649994,283.5,273.447998,275.529999,249000,275.529999
"2020-09-24",273.470001,278.899994,265.709991,273.410004,334500,273.410004
"2020-09-25",273.279999,285.359985,270.209991,283.700012,291900,283.700012
"2020-09-28",288.679993,291.649994,286,290.829987,307200,290.829987
"2020-09-29",292.570007,304.929993,292.230011,303.829987,670600,303.829987
"2020-09-30",302.350006,312.720001,301.285004,311.299988,904100,311.299988
"2020-10-01",315.559998,321.290009,313.529999,320.440002,776500,320.440002
"2020-10-02",326,335.200012,320.950012,331.529999,826100,331.529999
"2020-10-05",331.890015,344.649994,327.019989,342.869995,661000,342.869995
"2020-10-06",342.380005,346.149994,335.299988,339.279999,713500,339.279999
"2020-10-07",341.98999,353.149994,335.609985,351.829987,573700,351.829987
"2020-10-08",359.700012,361.920013,354.63501,359.529999,492800,359.529999
"2020-10-09",361,368.429993,360.799988,366,525500,366
"2020-10-12",368.480011,370.320007,358.070007,366.839996,417800,366.839996
"2020-10-13",366.230011,376.390015,365.160004,373.779999,501100,373.779999
"2020-10-14",376.420013,379.329987,368.575012,372.940002,290000,372.940002
"2020-10-15",365.130005,378.259003,362,375.910004,273600,375.910004
"2020-10-16",379,385.019989,377.529999,381.799988,267200,381.799988
"2020-10-19",386.410004,389.839996,378.649994,383.119995,323100,383.119995
"2020-10-20",383.140015,393.019989,383.140015,384.679993,261900,384.679993
"2020-10-21",396,397.51001,375.309998,376.070007,389200,376.070007
"2020-10-22",377.029999,381.079987,366.429993,377.329987,336600,377.329987
"2020-10-23",380.980011,388.980011,377.48999,388.649994,364400,388.649994
"2020-10-26",382.140015,383.725006,371.714996,378.420013,285700,378.420013
"2020-10-27",381.540009,386.980011,380.299988,382.700012,303500,382.700012
"2020-10-28",373.899994,375.674988,367.459991,371.549988,341900,371.549988
"2020-10-29",372.170013,377.880005,371.269989,373.089996,319700,373.089996
"2020-10-30",370.480011,370.824005,356.589996,364.089996,298000,364.089996
"2020-11-02",364.089996,371.475006,354.470001,360.600006,424200,360.600006
"2020-11-03",366,372.619995,363.480011,369.140015,328600,369.140015
"2020-11-04",380,397.839996,380,397.429993,608700,397.429993
"2020-11-05",393.869995,399.75,368.759003,373.26001,850500,373.26001
"2020-11-06",372.75,390.640015,365.059998,388.119995,471600,388.119995
"2020-11-09",396.01001,419.980011,395.140015,405.049988,703200,405.049988
"2020-11-10",400.179993,402.920013,372.644989,377.679993,570600,377.679993
"2020-11-11",387.51001,394.5,380.440002,381.459991,337200,381.459991
"2020-11-12",382.820007,393.049988,378.279999,379.980011,297500,379.980011
"2020-11-13",381.75,386.899994,375.593994,381.720001,259100,381.720001
"2020-11-16",381.98999,385.73999,376.309998,379.329987,251100,379.329987
"2020-11-17",379.049988,384,372.809998,381.660004,191900,381.660004
"2020-11-18",380.980011,387.690002,376.079987,380.269989,248700,380.269989
"2020-11-19",383.109985,393.170013,379.970001,392.640015,278600,392.640015
"2020-11-20",390.450012,400.649994,386.809998,392.709991,252100,392.709991
"2020-11-23",395.779999,405.910004,393,402.48999,269000,402.48999
"2020-11-24",407.410004,407.410004,396,400.480011,230700,400.480011
"2020-11-25",402.779999,409.149994,399.299988,407.170013,3e+05,407.170013
"2020-11-27",410.170013,418.059998,410.170013,416.769989,155900,416.769989
"2020-11-30",415.429993,422.5,405.01001,417.079987,394800,417.079987
"2020-12-01",419.269989,422,411.820007,415.709991,274100,415.709991
"2020-12-02",409.380005,421.100006,404.929993,419.600006,252900,419.600006
"2020-12-03",419.75,437,419.75,428.480011,336700,428.480011
"2020-12-04",430.450012,439.730011,430.450012,437.149994,354600,437.149994
"2020-12-07",436.25,442.850006,433.140015,437,270700,437
"2020-12-08",437.299988,442.149994,433.369995,440.01001,347800,440.01001
"2020-12-09",437.429993,441.01001,420.230011,421.660004,340000,421.660004
"2020-12-10",420,430.209991,414.665009,426.98999,417200,426.98999
"2020-12-11",426.290009,430.162994,419.929993,423.890015,301100,423.890015
"2020-12-14",426.440002,430,419.179993,425.980011,322500,425.980011
"2020-12-15",429.809998,434.720001,424.390015,425.299988,446900,425.299988
"2020-12-16",425.299988,430.140015,423.279999,423.290009,364800,423.290009
"2020-12-17",424,442.25,423.290009,441.799988,515100,441.799988
"2020-12-18",442.670013,443.850006,433.725006,439.839996,839300,439.839996
"2020-12-21",435.690002,449.769989,431.200012,445.589996,399900,445.589996
"2020-12-22",448.040009,466.540009,446.049988,465.130005,508200,465.130005
"2020-12-23",465.850006,471.079987,460.559998,464.369995,333900,464.369995
"2020-12-24",465.019989,465.019989,458,462.130005,95400,462.130005
"2020-12-28",468,468.179993,455.26001,463.589996,309000,463.589996
"2020-12-29",464,464.649994,445.734985,447.589996,362800,447.589996
"2020-12-30",452.619995,452.619995,446.179993,447.910004,520000,447.910004
"2020-12-31",447.089996,453.75,444.769989,452.25,367800,452.25
"2021-01-04",450,450.160004,421.720001,427.730011,497900,427.730011
"2021-01-05",423.480011,433.519989,421,426.880005,474600,426.880005
"2021-01-06",421,425.170013,411.130005,413.890015,514000,413.890015
"2021-01-07",418.119995,433.269989,418.119995,431.73999,352400,431.73999
"2021-01-08",437.109985,449,434.670013,441.130005,357100,441.130005
"2021-01-11",436.720001,436.720001,426.619995,427.160004,237800,427.160004
"2021-01-12",427.290009,427.76001,415.700012,420.799988,419100,420.799988
"2021-01-13",422.970001,424.190002,413.829987,415.549988,320100,415.549988
"2021-01-14",418.230011,423.636993,410.660004,412.98999,363400,412.98999
"2021-01-15",415.109985,415.670013,398.859985,399,544900,399
"2021-01-19",400,403.290009,394.220001,397.329987,668000,397.329987
"2021-01-20",399.600006,410.540009,395.730011,408.769989,821600,408.769989
"2021-01-21",410.130005,412.26001,403.149994,404.529999,249600,404.529999
"2021-01-22",404.25,410.950012,402.529999,409.799988,266600,409.799988
"2021-01-25",412.709991,416.350006,399.01001,410.220001,383400,410.220001
"2021-01-26",409.839996,410.434998,390.459991,392.190002,463800,392.190002
"2021-01-27",383.619995,387.850006,374.339996,376.459991,632600,376.459991
"2021-01-28",380.230011,395,380.140015,386.790009,402800,386.790009
"2021-01-29",383.73999,386.494995,373.690002,379.73999,354800,379.73999
"2021-02-01",385,397.720001,384.220001,396.450012,339000,396.450012
"2021-02-02",400.230011,416.200012,394.480011,412.070007,345900,412.070007
"2021-02-03",414.48999,419.649994,409.769989,415.470001,411600,415.470001
"2021-02-04",417.959991,429.079987,414.690002,428.160004,315100,428.160004
"2021-02-05",432.369995,439,430,434.220001,404500,434.220001
"2021-02-08",436,441.420013,426.950012,429.480011,295900,429.480011
"2021-02-09",429.299988,435.51001,425.019989,433.019989,268000,433.019989
"2021-02-10",434,434.015015,419.269989,425.700012,414800,425.700012
"2021-02-11",429.369995,443.140015,402.359985,407.320007,769300,407.320007
"2021-02-12",403.790009,413.690002,401.920013,412.980011,459100,412.980011
"2021-02-16",413.880005,413.880005,389.019989,389.98999,558700,389.98999
"2021-02-17",386.390015,392.440002,376.894989,391.75,640100,391.75
"2021-02-18",389.959991,406.089996,384.540009,401.549988,433100,401.549988
"2021-02-19",402.309998,411.98999,399.5,400.130005,623600,400.130005
"2021-02-22",393.700012,394.869995,379.640015,380.73999,381200,380.73999
"2021-02-23",372.829987,380.893005,355.940002,377.359985,618700,377.359985
"2021-02-24",375.980011,387.290009,366.040009,386.970001,568600,386.970001
"2021-02-25",384.869995,385.880005,364.23999,368.309998,434900,368.309998
"2021-02-26",372.730011,378.950012,367.459991,374.23999,450200,374.23999
"2021-03-01",381.600006,391.450012,380.690002,386.950012,418700,386.950012
"2021-03-02",390.350006,391.029999,379.980011,380.209991,372300,380.209991
"2021-03-03",375.73999,377.059998,361.040009,363.079987,370400,363.079987
"2021-03-04",358.600006,364.339996,340.839996,348.690002,476600,348.690002
"2021-03-05",359.570007,380.880005,351.730011,375.529999,821500,375.529999
"2021-03-08",371.820007,380.329987,365.359985,366.230011,545500,366.230011
"2021-03-09",381.769989,391.339996,375.850006,379.26001,412100,379.26001
"2021-03-10",383.76001,396.51001,377,377.73999,436100,377.73999
"2021-03-11",386.549988,395.600006,384.450012,389.839996,315400,389.839996
"2021-03-12",382,385.023987,376.971008,384.299988,252300,384.299988
"2021-03-15",384.589996,394.279999,381.529999,393.839996,337300,393.839996
"2021-03-16",396.100006,397.339996,375.380005,380.200012,310300,380.200012
"2021-03-17",376.390015,390.359985,370.119995,384.700012,267500,384.700012
"2021-03-18",379.220001,379.76001,364.269989,365.359985,324000,365.359985
"2021-03-19",367.600006,379.119995,364.984985,372.529999,436300,372.529999
"2021-03-22",370.75,385.390015,370.75,378.75,335100,378.75
"2021-03-23",377.720001,382.450012,371.079987,373.890015,240500,373.890015
"2021-03-24",374.829987,377,363.359985,364.369995,263600,364.369995
"2021-03-25",358.579987,364.079987,353.209991,363.049988,349900,363.049988
"2021-03-26",363.609985,372.880005,358.429993,372.609985,355100,372.609985
"2021-03-29",371.640015,375,356.619995,364.429993,248600,364.429993
"2021-03-30",361.410004,362.720001,353.079987,360.190002,416900,360.190002
"2021-03-31",364.709991,376.019989,363.940002,370.059998,509800,370.059998
"2021-04-01",380.049988,384.059998,374.589996,376.75,349000,376.75
"2021-04-05",380.48999,382.380005,371.519989,377.76001,531000,377.76001
"2021-04-06",374.399994,384.630005,369.825012,377.980011,457900,377.980011
"2021-04-07",377.820007,378.290009,369.720001,372,310800,372
"2021-04-08",376.899994,386.279999,374.315002,379.040009,430400,379.040009
"2021-04-09",376.839996,382.649994,371.100006,381.230011,260700,381.230011
"2021-04-12",376.579987,383.649994,373.920013,381.01001,256300,381.01001
"2021-04-13",383.440002,393.329987,382.464996,389.709991,295600,389.709991
"2021-04-14",391.329987,402.184998,384.700012,386.450012,267700,386.450012
"2021-04-15",388.899994,400.850006,388.450012,398.179993,508800,398.179993
"2021-04-16",400,400,394.480011,398.470001,262300,398.470001
"2021-04-19",396.01001,401.359985,388.950012,393.179993,277700,393.179993
"2021-04-20",391.809998,397.5,381,382.420013,244900,382.420013
"2021-04-21",382.380005,390.112,380,388.25,207100,388.25
"2021-04-22",390.160004,397.75,384.709991,390.019989,311000,390.019989
"2021-04-23",396.679993,400.390015,392.369995,399.589996,291200,399.589996
"2021-04-26",398.160004,403.640015,392.209015,400.959991,271100,400.959991
"2021-04-27",403.029999,404.769989,397.019989,400.23999,244400,400.23999
"2021-04-28",399.25,404.049988,395.609985,401.100006,246900,401.100006
"2021-04-29",401.529999,401.529999,388.649994,394.23999,277400,394.23999
"2021-04-30",391.019989,395.279999,383.790009,384.410004,310500,384.410004
"2021-05-03",386.779999,386.984985,376.579987,378.899994,292300,378.899994
"2021-05-04",374.019989,375.059998,351.177002,354.299988,737800,354.299988
"2021-05-05",354.480011,356,335.790009,341.089996,681000,341.089996
"2021-05-06",338.369995,338.535004,321.255005,327.149994,660800,327.149994
"2021-05-07",330.76001,338.799988,323.290009,327.579987,527200,327.579987
"2021-05-10",323.619995,324.720001,313.350006,317.200012,499400,317.200012
"2021-05-11",308.630005,325.714996,306.75,321.290009,499000,321.290009
"2021-05-12",315.75,319.709991,304.040009,305.48999,549800,305.48999
"2021-05-13",310.059998,312.920013,302.440002,308.929993,614700,308.929993
"2021-05-14",316.029999,327.529999,312.959991,326.309998,456500,326.309998
"2021-05-17",320.779999,322.910004,315,322.200012,352000,322.200012
"2021-05-18",323.5,328.595001,320.350006,321.950012,259000,321.950012
"2021-05-19",314.98999,320.619995,311.470001,319.950012,310000,319.950012
"2021-05-20",321.01001,335.579987,321,331.820007,443100,331.820007
"2021-05-21",335.140015,336.078003,327.579987,330.23999,367600,330.23999
"2021-05-24",335.049988,341,333.070007,336.440002,676700,336.440002
"2021-05-25",337.350006,339.709991,329.720001,330,736100,330
"2021-05-26",331.899994,336.940002,330.424988,335.529999,457700,335.529999
"2021-05-27",334.380005,335.290009,329,330.970001,497500,330.970001
"2021-05-28",334.350006,337.209991,328.929993,329.600006,236000,329.600006
"2021-06-01",330.579987,332.397003,322.630005,325.470001,227200,325.470001
"2021-06-02",325.359985,329.709991,323.369995,324.809998,284700,324.809998
"2021-06-03",320.220001,321.01001,315.440002,319.410004,267400,319.410004
"2021-06-04",323.589996,326.859985,321.190002,322.279999,321400,322.279999
"2021-06-07",318,324.350006,317,320.23999,382800,320.23999
"2021-06-08",324.98999,329.529999,322.059998,326.320007,264600,326.320007
"2021-06-09",327.709991,332.619995,327.286987,327.679993,255300,327.679993
"2021-06-10",328.459991,336.079987,326.880005,335.410004,408400,335.410004
"2021-06-11",337.320007,340.869995,335.369995,340,372300,340
"2021-06-14",340.579987,343.119995,338.630005,341.019989,252400,341.019989
"2021-06-15",339.899994,342.190002,334.86499,335.149994,258700,335.149994
"2021-06-16",336.209991,339.410004,327.088013,332.48999,396400,332.48999
"2021-06-17",330.299988,349.419006,330.040009,348.5,646400,348.5
"2021-06-18",347,355.440002,344.915985,352.339996,693100,352.339996
"2021-06-21",351.619995,358.306,347.109985,356.700012,261500,356.700012
"2021-06-22",356.690002,362.589996,355.290009,361.559998,255500,361.559998
"2021-06-23",363,366.950012,361.890015,365.119995,323700,365.119995
"2021-06-24",368.470001,370.25,366,367.350006,242400,367.350006
"2021-06-25",369.190002,370.299988,365.934998,368.799988,369800,368.799988
"2021-06-28",372.690002,375.850006,365.920013,373.5,276100,373.5
"2021-06-29",374.369995,376.25,370.5,373.950012,233200,373.950012
"2021-06-30",373.48999,373.48999,362.970001,363.470001,240000,363.470001
"2021-07-01",362.130005,377.253998,358.809998,373.589996,1026600,373.589996
"2021-07-02",378.549988,384.790009,375.089996,383.859985,575400,383.859985
"2021-07-06",385.920013,390.779999,380.5,388.079987,479900,388.079987
"2021-07-07",390.890015,392.600006,383.095001,387.220001,247400,387.220001
"2021-07-08",380,385.820007,374.660004,382.48999,432500,382.48999
"2021-07-09",383.910004,385.839996,379.769989,383.589996,381500,383.589996
"2021-07-12",385,388.309998,375.399994,376.130005,280000,376.130005
"2021-07-13",376,377.730011,370.269989,372.019989,352100,372.019989
"2021-07-14",374.75,374.75,367.070007,370,296600,370
"2021-07-15",367.820007,371.454987,362.179993,369.929993,301800,369.929993
"2021-07-16",373.929993,377,371.627991,372.850006,236700,372.850006
"2021-07-19",365.75,373.744995,363.299988,367.399994,329300,367.399994
"2021-07-20",371.109985,384.399994,367.880005,378.589996,400400,378.589996
"2021-07-21",378.579987,383.440002,375.890015,383.019989,225300,383.019989
"2021-07-22",383.440002,386.940002,382.480011,385.540009,202400,385.540009
"2021-07-23",390,395.920013,387.529999,395.899994,246800,395.899994
"2021-07-26",395.920013,396,388.339996,391.309998,243800,391.309998
"2021-07-27",391,391.795013,382.079987,388.559998,203400,388.559998
"2021-07-28",389.980011,396.795013,388.654999,395.23999,168700,395.23999
"2021-07-29",395.380005,402.380005,394.880005,400.019989,261700,400.019989
"2021-07-30",397.640015,404.907013,397.640015,400,343400,400
"2021-08-02",401.51001,403.019989,395.769989,399.940002,316000,399.940002
"2021-08-03",399.149994,402.804993,395.619995,400.040009,428200,400.040009
"2021-08-04",435,445.390015,427.910004,442.859985,816300,442.859985
"2021-08-05",447.73999,457.609985,444.839996,457.269989,772000,457.269989
"2021-08-06",455.660004,466.640015,454.209991,466.450012,585300,466.450012
"2021-08-09",468,475.195007,463.209991,468.559998,604800,468.559998
"2021-08-10",469.040009,472.48999,454.084991,458.339996,583700,458.339996
"2021-08-11",459.220001,465.725006,456.972992,463.679993,320200,463.679993
"2021-08-12",462.48999,472.790009,459.399994,472.549988,336800,472.549988
"2021-08-13",471.559998,472.459991,457.160004,463.730011,586700,463.730011
"2021-08-16",461.980011,474.410004,458.320007,473.440002,412300,473.440002
"2021-08-17",470.630005,470.980011,459.720001,462.529999,390500,462.529999
"2021-08-18",462,466.880005,458.243988,459.230011,246900,459.230011
"2021-08-19",456.899994,464.51001,453.828003,457.079987,324000,457.079987
"2021-08-20",459.859985,472.445007,459.859985,469.420013,248500,469.420013
"2021-08-23",471.75,478.084991,470,476.820007,273000,476.820007
"2021-08-24",477.26001,486.394989,477.26001,485.579987,221600,485.579987
"2021-08-25",486.790009,490.73999,483.253998,484.130005,188600,484.130005
"2021-08-26",484.540009,487.100006,480.01001,481.149994,174200,481.149994
"2021-08-27",483.450012,490.029999,480.281006,484.700012,209500,484.700012
"2021-08-30",485.480011,490.399994,484.700012,488.850006,163600,488.850006
"2021-08-31",491.269989,491.269989,486.320007,488.899994,294400,488.899994
"2021-09-01",486.149994,493.100006,486,492,277000,492
"2021-09-02",493.5,502.355011,493.019989,500.799988,390800,500.799988
"2021-09-03",498,503.25,495.470001,496.26001,253500,496.26001
"2021-09-07",492.809998,493.76001,482.890015,483.299988,372900,483.299988
"2021-09-08",482.200012,486.600006,477.329987,478.179993,386900,478.179993
"2021-09-09",479.790009,489.420013,478.179993,480.100006,273000,480.100006
"2021-09-10",482.820007,484.450012,474.600006,475.630005,209600,475.630005
"2021-09-13",477.5,477.5,461.130005,465.600006,395700,465.600006
"2021-09-14",467.859985,469.079987,462.747986,468.019989,450800,468.019989
"2021-09-15",466.76001,475.089996,466.76001,475,474500,475
"2021-09-16",475,482.459991,474.01001,482,333200,482
"2021-09-17",482,485.179993,477,482.369995,731700,482.369995
"2021-09-20",473,484.290009,468.76001,483.98999,418000,483.98999
"2021-09-21",488,497.850006,486.5,492.529999,421000,492.529999
"2021-09-22",494.01001,502.450012,492.790009,500.450012,460300,500.450012
"2021-09-23",504.559998,513.070007,502.339996,511.26001,265800,511.26001
"2021-09-24",510,515.52002,507.910004,515.47998,255800,515.47998
"2021-09-27",511.720001,512,503.170013,507.019989,297400,507.019989
"2021-09-28",498.269989,499.059998,486.980011,488.410004,538700,488.410004
"2021-09-29",494.320007,500.36499,491.799988,495,420000,495
"2021-09-30",494.859985,502.019989,493.964996,495.75,566800,495.75
"2021-10-01",497.529999,507.184998,495.23999,505.609985,405500,505.609985
"2021-10-04",500,500,483.829987,494.600006,661000,494.600006
"2021-10-05",495.75,505.829987,495.549988,498.089996,396900,498.089996
"2021-10-06",493.559998,507.51001,492.774994,507.48999,245000,507.48999
"2021-10-07",513,521.820007,511.269989,511.690002,308900,511.690002
"2021-10-08",515,516.859985,504.130005,505.059998,155900,505.059998
"2021-10-11",501.140015,508.75,501.140015,501.700012,170900,501.700012
"2021-10-12",505.75,513.679993,503.420013,509.410004,214200,509.410004
"2021-10-13",512.47998,516.960022,512.299988,516.330017,183600,516.330017
"2021-10-14",522.26001,529.919983,520.780029,524.200012,229500,524.200012
"2021-10-15",526.869995,527.23999,516.744995,518.77002,411100,518.77002
"2021-10-18",519.780029,522.25,516.809998,521.169983,314600,521.169983
"2021-10-19",524.559998,527.265015,518.015015,518.690002,322700,518.690002
"2021-10-20",519.98999,521.429993,511.700012,512.630005,374600,512.630005
"2021-10-21",512,533.969971,512,533.929993,274100,533.929993
"2021-10-22",535,546.690002,534.505005,535.820007,221200,535.820007
"2021-10-25",538.280029,540.960022,533.710022,538.929993,259900,538.929993
"2021-10-26",541.700012,542.76001,533.919983,537.190002,188000,537.190002
"2021-10-27",536.26001,538.599976,528.789978,531.330017,225400,531.330017
"2021-10-28",533.98999,539.969971,531.47998,537.320007,205800,537.320007
"2021-10-29",534.140015,548.960022,534.140015,547.849976,229100,547.849976
"2021-11-01",547.929993,553.76001,543.01001,546.580017,356700,546.580017
"2021-11-02",557.72998,558.969971,547.190002,553.22998,467100,553.22998
"2021-11-03",537,537,501.247009,512.330017,766900,512.330017
"2021-11-04",519.190002,520,510.68399,512,489100,512
"2021-11-05",515.200012,522.840027,503.839996,504.399994,457400,504.399994
"2021-11-08",509.309998,514.960022,507.359985,511.420013,346200,511.420013
"2021-11-09",513.25,516.650024,502,507.329987,264000,507.329987
"2021-11-10",503.25,506.640015,486.980011,491.600006,264100,491.600006
"2021-11-11",495.369995,495.485992,487.269989,488.01001,345800,488.01001
"2021-11-12",489,491.450012,484.380005,490.23999,316400,490.23999
"2021-11-15",493.570007,493.570007,480.345001,484.079987,307500,484.079987
"2021-11-16",482.790009,490.575012,481.549988,486,249500,486
"2021-11-17",486,486,470.975006,477.070007,278100,477.070007
"2021-11-18",475.769989,478.679993,468.899994,469.399994,297300,469.399994
"2021-11-19",474.380005,475.190002,463.709991,470.519989,323600,470.519989
"2021-11-22",470,470.100006,448.200012,452.709991,285100,452.709991
"2021-11-23",449.649994,454.346008,436.339996,448.369995,380800,448.369995
"2021-11-24",443.309998,454.929993,440.609985,452.299988,291200,452.299988
"2021-11-26",449.5,457.700012,436.279999,437.839996,245500,437.839996
"2021-11-29",445.100006,449.570007,439.290009,447.429993,306300,447.429993
"2021-11-30",444.730011,450.299988,434.209991,437.480011,391600,437.480011
"2021-12-01",443.869995,446.029999,421.630005,422.089996,358600,422.089996
"2021-12-02",420.429993,441.959991,420.429993,439.079987,482900,439.079987
"2021-12-03",438.630005,440.149994,409.329987,417.829987,564400,417.829987
"2021-12-06",415.23999,422.649994,408,418.589996,314300,418.589996
"2021-12-07",429.170013,442.380005,427.529999,435.390015,401500,435.390015
"2021-12-08",435.600006,438.904999,425,435.73999,246700,435.73999
"2021-12-09",435.48999,437.628998,424.040009,424.329987,229900,424.329987
"2021-12-10",427.309998,432.410004,415.174988,419.720001,249900,419.720001
"2021-12-13",419,424.220001,413.230011,415.459991,326200,415.459991
"2021-12-14",409.230011,413.75,398.01001,405.119995,356100,405.119995
"2021-12-15",405.779999,415.890015,399.730011,414.890015,255700,414.890015
"2021-12-16",416.839996,416.839996,395.869995,399.369995,3e+05,399.369995
"2021-12-17",397.230011,408.929993,389.200012,406.820007,605800,406.820007
"2021-12-20",400.869995,406.820007,397.51001,400.540009,414200,400.540009
"2021-12-21",404.01001,418.470001,404.01001,416.75,319700,416.75
"2021-12-22",416.98999,427.940002,413.820007,421.75,338100,421.75
"2021-12-23",421.130005,426.290009,417.079987,423.829987,146800,423.829987
"2021-12-27",423.899994,427.309998,420.690002,426.359985,313400,426.359985
"2021-12-28",429.5,429.929993,420.470001,420.98999,153700,420.98999
"2021-12-29",422.149994,422.149994,410.649994,417.209991,153000,417.209991
"2021-12-30",418.380005,422.829987,416.339996,417.700012,212600,417.700012
"2021-12-31",418.200012,418.929993,414.119995,415.190002,380300,415.190002
"2022-01-03",415.190002,416.084991,399.390015,404.940002,611400,404.940002
"2022-01-04",405.549988,405.549988,384.410004,391.869995,1074200,391.869995
"2022-01-05",388.48999,388.48999,358.734985,360.940002,1431800,360.940002
"2022-01-06",357.420013,362.820007,350.029999,356.829987,1219100,356.829987
"2022-01-07",356.119995,362.070007,351.019989,355.799988,787300,355.799988
"2022-01-10",350.220001,364.5,342.98999,364.019989,631700,364.019989
"2022-01-11",364.019989,369.899994,357.850006,367.200012,452400,367.200012
"2022-01-12",366.140015,375.690002,355.149994,358.070007,415900,358.070007
"2022-01-13",357.859985,359.875,342.350006,342.549988,495700,342.549988
"2022-01-14",340.149994,346.230011,330,333.98999,873200,333.98999
"2022-01-18",326.480011,332.875,321.380005,322.730011,533200,322.730011
"2022-01-19",326.01001,337.829987,325.154999,329.76001,6e+05,329.76001
"2022-01-20",337.170013,341.869995,327.329987,328.269989,570000,328.269989
"2022-01-21",327.290009,327.980011,309.51001,310,843900,310
"2022-01-24",302.75,326.959991,298.230011,326.290009,825400,326.290009
"2022-01-25",316.309998,320,299.049988,304.670013,706300,304.670013
"2022-01-26",315.98999,319.75,297.179993,302.059998,649100,302.059998
"2022-01-27",308.980011,310.329987,297.23999,300.980011,716900,300.980011
"2022-01-28",303.140015,317.380005,296.677002,317.230011,475900,317.230011
