"","LRCX.Open","LRCX.High","LRCX.Low","LRCX.Close","LRCX.Volume","LRCX.Adjusted"
"2020-12-14",495.690002,500.980011,490.179993,491.869995,1054500,484.239624
"2020-12-15",500,503.25,492.670013,495.329987,1185700,487.645935
"2020-12-16",496.01001,496.480011,489.279999,493.309998,1514800,485.657257
"2020-12-17",489.640015,491.880005,482.859985,486.23999,1433500,478.696899
"2020-12-18",484.23999,485.709991,477.700012,480.970001,2587700,473.508667
"2020-12-21",469.119995,484.709991,468.73999,483.230011,1703100,475.733643
"2020-12-22",479.429993,481.73999,473.399994,476.950012,966300,469.551117
"2020-12-23",479.619995,480.790009,470.910004,471.130005,720600,463.82135
"2020-12-24",473.679993,480.339996,472.899994,480.339996,333000,472.888489
"2020-12-28",485.579987,487.429993,475.359985,476.100006,692800,468.714294
"2020-12-29",475.660004,477.019989,469,473.220001,901700,465.878906
"2020-12-30",478.369995,488.339996,476.119995,484.450012,881900,476.934753
"2020-12-31",482.299988,483.980011,465.5,472.269989,1663000,464.943634
"2021-01-04",478.149994,491.959991,473.320007,478.019989,1768600,470.604462
"2021-01-05",479.450012,498.829987,479.450012,494.549988,1609900,486.878021
"2021-01-06",490.529999,505.709991,489,496.48999,1334200,488.787964
"2021-01-07",507.329987,517.719971,506.649994,514.460022,1298100,506.479187
"2021-01-08",514,522.25,498.070007,501.630005,1441900,493.848206
"2021-01-11",495.519989,519.909973,493.549988,516.47998,1189200,508.467834
"2021-01-12",520.22998,537.859985,518.929993,536.440002,1879000,528.118225
"2021-01-13",534.23999,534.23999,523.190002,526.5,1361300,518.332336
"2021-01-14",542.400024,570.52002,542.340027,557.789978,2003400,549.136963
"2021-01-15",552.97998,554.690002,537.280029,547.530029,1526400,539.036133
"2021-01-19",559.830017,582.47998,558.690002,580.02002,2035100,571.022156
"2021-01-20",583.640015,585.419983,559.570007,563,1851000,554.266235
"2021-01-21",569.400024,570.299988,551.700012,564.190002,1240200,555.437744
"2021-01-22",562.77002,575.580017,557.119995,563.849976,1199800,555.102905
"2021-01-25",571.349976,575.609985,552.659973,567.76001,1675300,558.952332
"2021-01-26",570.27002,571.289978,550.400024,552.659973,1431000,544.086548
"2021-01-27",538.599976,544.969971,512.01001,515.039978,2252500,507.050171
"2021-01-28",526.369995,528,504,507.350006,2490100,499.479492
"2021-01-29",505.01001,505.910004,481.049988,483.950012,2825000,476.442505
"2021-02-01",491.049988,505,486.920013,501.450012,1693800,493.67099
"2021-02-02",512.5,517.450012,505,516.070007,1458700,508.064209
"2021-02-03",520.099976,521.48999,501.480011,504.329987,1604900,496.506317
"2021-02-04",504.5,520.5,500.140015,519.530029,1401200,511.47052
"2021-02-05",524.52002,525,509.179993,509.76001,1236700,501.852112
"2021-02-08",515,533.349976,514.159973,532.780029,1465800,524.514954
"2021-02-09",535.619995,541,526.890015,528.080017,944100,519.887939
"2021-02-10",533,536.669983,521.280029,532.5,868200,524.239319
"2021-02-11",540,576.570007,539.179993,572.210022,2972700,563.333252
"2021-02-12",570.179993,597.73999,565,586.159973,2012100,577.066833
"2021-02-16",590,603.599976,587,591.789978,1452000,582.609497
"2021-02-17",583.690002,589.429993,571,585.909973,1453000,576.82074
"2021-02-18",578.640015,582.340027,567.090027,577.77002,1137100,568.807068
"2021-02-19",594.380005,602,588.690002,598.409973,1698600,589.126892
"2021-02-22",589.390015,592.630005,565.700012,567.799988,1615500,558.991699
"2021-02-23",556.549988,568.809998,536.409973,562.650024,1716700,553.921692
"2021-02-24",556.159973,597.869995,554,596.900024,1517000,587.64032
"2021-02-25",590,592.460022,544.630005,547.650024,2675000,539.154358
"2021-02-26",556.929993,574.659973,545.169983,567.190002,1783600,558.391235
"2021-03-01",576.559998,600.5,575.599976,598.809998,1765600,589.520691
"2021-03-02",594.01001,598.76001,572.400024,573.359985,1463600,564.465393
"2021-03-03",570.75,581.580017,550.01001,551.22998,1631800,542.678772
"2021-03-04",548.559998,559.97998,511.429993,528.809998,2542000,520.606506
"2021-03-05",542.669983,550.119995,516.27002,547.700012,2216000,539.203552
"2021-03-08",542.809998,554.52002,501.670013,502.609985,1913800,494.812988
"2021-03-09",525.900024,546.799988,523.539978,543.51001,1726600,535.078552
"2021-03-10",548.659973,551.98999,515.73999,518.700012,1972500,510.653381
"2021-03-11",533.869995,542.419983,529.049988,535.390015,1612700,527.084473
"2021-03-12",525,527.75,516.799988,524.820007,1433700,516.678528
"2021-03-15",521.599976,537.320007,520.25,536.75,1067000,528.423401
"2021-03-16",542.51001,560.169983,539.349976,547.179993,1526500,539.99939
"2021-03-17",538.880005,558.179993,530,553.01001,1358500,545.75293
"2021-03-18",542.130005,555.820007,533.330017,539.169983,2517700,532.094482
"2021-03-19",541.940002,550.98999,532.599976,542.309998,2379200,535.193359
"2021-03-22",554,567.590027,550.039978,560.030029,1444200,552.680847
"2021-03-23",564.320007,564.590027,543.539978,544.409973,1429500,537.265808
"2021-03-24",570.669983,575.75,551.630005,552.450012,1969700,545.200256
"2021-03-25",544.869995,551.609985,525.02002,548.030029,1446300,540.838257
"2021-03-26",549.719971,584.77002,549.049988,584.22998,1871600,576.563293
"2021-03-29",582.340027,582.52002,559.75,570.289978,1759800,562.806213
"2021-03-30",565,576.849976,562.119995,572.559998,904900,565.046387
"2021-03-31",584,603.48999,583.5,595.23999,2369800,587.428772
"2021-04-01",611.22998,640,610.119995,639.299988,2463400,630.910522
"2021-04-05",649.700012,666,639.559998,660.799988,2345400,652.128418
"2021-04-06",660,666.640015,644,652.47998,2323600,643.917664
"2021-04-07",652.47998,667.419983,650.47998,658.780029,1468900,650.134949
"2021-04-08",667.02002,669,654.01001,668,1204500,659.233887
"2021-04-09",665.159973,668.900024,656.719971,662,1273400,653.312683
"2021-04-12",658.659973,659.599976,645,650.27002,1581100,641.736633
"2021-04-13",655.559998,657.22998,637.799988,644.98999,1350100,636.52594
"2021-04-14",640.929993,651.900024,634,640.429993,894500,632.025757
"2021-04-15",648.02002,651.780029,637.840027,649.5,1090000,640.976685
"2021-04-16",650.820007,652.299988,640.830017,643.710022,1113600,635.262756
"2021-04-19",643.719971,648.340027,609.299988,621.72998,2421900,613.571167
"2021-04-20",616.73999,625.090027,608.200012,613.030029,1372400,604.985352
"2021-04-21",619.580017,641.25,617.440002,641.25,2074000,632.834961
"2021-04-22",643.900024,649.940002,611,614.539978,2436700,606.475525
"2021-04-23",620.77002,630,613.570007,627.48999,1488800,619.255554
"2021-04-26",626.929993,643.349976,623.72998,643.169983,1298700,634.729797
"2021-04-27",647.359985,649,639.799988,644.880005,991900,636.417419
"2021-04-28",644,644,633.530029,638.049988,738000,629.676941
"2021-04-29",641.969971,643,629.52002,640.969971,893800,632.558594
"2021-04-30",630.419983,637.48999,619.820007,620.450012,1366700,612.307861
"2021-05-03",629.27002,630,613.780029,617.23999,1158200,609.140076
"2021-05-04",608.380005,609.549988,590.200012,606.289978,1587800,598.333801
"2021-05-05",617.309998,620.98999,603.359985,611,983500,602.982056
"2021-05-06",609.159973,619.150024,601.409973,617.440002,1191100,609.337402
"2021-05-07",625.98999,634.799988,618.200012,630.539978,1033500,622.265503
"2021-05-10",621.409973,624.070007,586.159973,586.450012,1765900,578.754089
"2021-05-11",568.559998,595.150024,562.929993,592.429993,1946900,584.655579
"2021-05-12",575,577.719971,555.799988,557.669983,2429300,550.351685
"2021-05-13",572.960022,594.390015,570.179993,584.72998,2940200,577.056702
"2021-05-14",596,609.429993,578,602.98999,1548500,595.077026
"2021-05-17",590.390015,592.719971,576,592.070007,1679100,584.300354
"2021-05-18",597.919983,601.330017,584.73999,584.830017,1167900,577.155396
"2021-05-19",569.099976,603.090027,566.030029,602.200012,1576900,594.297546
"2021-05-20",607.599976,634,604.400024,626.719971,1974100,618.495667
"2021-05-21",623.450012,625.47998,610.200012,614.099976,1474700,606.04126
"2021-05-24",625.349976,641.530029,622.02002,634.640015,1408800,626.311707
"2021-05-25",641,652.070007,638.23999,640.369995,1501700,631.966553
"2021-05-26",641.77002,646.580017,632.359985,638.039978,1262100,629.667114
"2021-05-27",634.869995,651.22998,634.869995,645.700012,2245200,637.226624
"2021-05-28",653,655.320007,647.98999,649.849976,841400,641.322144
"2021-06-01",656,673.799988,647.5,649.039978,1276000,640.522644
"2021-06-02",647.679993,655.869995,642.5,648.98999,919500,640.473389
"2021-06-03",638.549988,642.599976,631.200012,635.780029,1178600,627.436768
"2021-06-04",644.01001,656.22998,641.799988,655.309998,1044300,646.710571
"2021-06-07",651.619995,652.5,643,649.580017,812700,641.055725
"2021-06-08",658,658.289978,634.340027,637.549988,885600,629.183533
"2021-06-09",641.130005,643.419983,633.109985,634.090027,659400,625.768982
"2021-06-10",631.799988,647,631.799988,640.77002,844000,632.361328
"2021-06-11",641.630005,642.950012,634.830017,642.109985,1024400,633.683716
"2021-06-14",641.719971,651.140015,638.190002,650.23999,1018800,641.707031
"2021-06-15",646.919983,654,641.809998,643.47998,638000,636.307861
"2021-06-16",645.679993,650.890015,632.549988,638.73999,1073800,631.620728
"2021-06-17",636.450012,647,628.700012,639.780029,854800,632.649109
"2021-06-18",630.099976,631.580017,608.890015,612.659973,2113900,605.83136
"2021-06-21",614.450012,623.969971,608.580017,618.619995,993000,611.724915
"2021-06-22",617.52002,626.150024,609.25,621.789978,719900,614.85968
"2021-06-23",625,633.200012,623.340027,624.219971,679600,617.262512
"2021-06-24",633.809998,637.609985,631.799988,635.02002,768100,627.9422
"2021-06-25",635,636.330017,625.719971,630.440002,1249600,623.413269
"2021-06-28",636.77002,649.530029,636.690002,646.960022,963300,639.749146
"2021-06-29",646.900024,654.650024,644.01001,651.789978,797600,644.525208
"2021-06-30",651.26001,651.830017,643.409973,650.700012,803300,643.447449
"2021-07-01",647.669983,649.380005,631.219971,633.070007,1134300,626.013855
"2021-07-02",640.22998,641.25,627,631.440002,742600,624.401978
"2021-07-06",631.440002,637.710022,614.450012,621.900024,1024000,614.968445
"2021-07-07",629.090027,629.419983,609.77002,613.590027,862200,606.751038
"2021-07-08",600.640015,613.5,594.210022,606.030029,1021800,599.27533
"2021-07-09",607.809998,614.330017,602.880005,612.849976,837200,606.019226
"2021-07-12",617.51001,629.27002,616.960022,625.419983,1731500,618.449158
"2021-07-13",622.73999,626,615.549988,624.669983,1083400,617.707458
"2021-07-14",632.099976,640.5,616.349976,617.880005,1150700,610.993225
"2021-07-15",614.780029,621,603.580017,610.73999,1249700,603.932739
"2021-07-16",612.799988,616,586,588.47998,1353800,581.920837
"2021-07-19",577.98999,591.900024,575.330017,591.52002,1456700,584.927002
"2021-07-20",595.940002,611.780029,588.190002,607.090027,1555800,600.323486
"2021-07-21",608.210022,638.780029,608.210022,637.25,1637400,630.147278
"2021-07-22",632.070007,638.190002,630.539978,635.929993,1252000,628.84198
"2021-07-23",641.719971,644.650024,633.51001,640.27002,1031700,633.133667
"2021-07-26",641.22998,647.960022,635.25,640.390015,878200,633.252258
"2021-07-27",635.01001,637.26001,607.599976,622.590027,1491200,615.650757
"2021-07-28",625.119995,638,623.429993,635,1216000,627.922363
"2021-07-29",610.570007,622.469971,597.059998,619.630005,2913900,612.723694
"2021-07-30",611,637.5,610.669983,637.409973,1651100,630.305481
"2021-08-02",646.200012,659.48999,641,641.799988,1392300,634.646606
"2021-08-03",645.47998,649.340027,636.469971,645.52002,684400,638.325134
"2021-08-04",648.820007,654.650024,641.5,649.780029,1112000,642.53772
"2021-08-05",651.789978,653.609985,642.710022,645.659973,596100,638.463562
"2021-08-06",642.599976,648.349976,642,647.960022,606500,640.737976
"2021-08-09",650,650.330017,639,640.5,783100,633.361084
"2021-08-10",640.799988,641.219971,615.109985,617.169983,1624900,610.291077
"2021-08-11",619.98999,621.909973,596.159973,608.52002,1755700,601.737488
"2021-08-12",598.349976,598.450012,578.150024,583.51001,2513600,577.006287
"2021-08-13",583.25,588.340027,577.169983,580.409973,1766300,573.940796
"2021-08-16",579.869995,590.52002,577.48999,588.869995,1269200,582.30658
"2021-08-17",581.929993,587.469971,570.909973,578.98999,1270100,572.536682
"2021-08-18",578,585.570007,569.140015,569.51001,882700,563.162354
"2021-08-19",565.359985,579.23999,561.679993,577.140015,1105700,570.707336
"2021-08-20",583.47998,585.5,559.830017,565.969971,1696200,559.661743
"2021-08-23",572.640015,586.400024,572.400024,584.299988,1369700,577.787415
"2021-08-24",586.919983,594,581.72998,585.580017,951000,579.053284
"2021-08-25",587.190002,594.799988,586.469971,588.77002,901000,582.207703
"2021-08-26",588,594.289978,583.369995,585.349976,862400,578.825806
"2021-08-27",589.25,613.190002,589.159973,609.590027,1498100,602.795593
"2021-08-30",614.789978,617.799988,602.450012,607.98999,976300,601.213379
"2021-08-31",608.869995,608.869995,597,604.820007,1071500,598.078796
"2021-09-01",607.940002,608.98999,599.140015,599.780029,704600,593.094971
"2021-09-02",602.719971,607.849976,599.150024,602.099976,857100,595.389038
"2021-09-03",602.02002,613.340027,596,610.710022,1029400,603.903137
"2021-09-07",599.150024,605.640015,588,593.190002,2331600,586.578369
"2021-09-08",591.440002,591.590027,576.380005,583.539978,1721500,577.035889
"2021-09-09",581,596.919983,579,593.609985,1539100,586.993652
"2021-09-10",602.130005,612.119995,596.51001,598.109985,1557500,591.443542
"2021-09-13",602.909973,614.940002,599.559998,608.77002,1313200,601.984741
"2021-09-14",600.609985,611.400024,598.630005,603.5,1181200,596.773499
"2021-09-15",600.919983,611.869995,597.090027,611.5,1142000,604.684387
"2021-09-16",603.859985,617.159973,599.799988,615.849976,1352400,608.98584
"2021-09-17",614.950012,616.22998,603.640015,608.97998,2014200,602.192383
"2021-09-20",594.900024,595.049988,581.080017,589.909973,1324100,583.3349
"2021-09-21",592.369995,594.280029,578.299988,586.219971,1604500,579.686096
"2021-09-22",594,603.72998,588.890015,601.099976,1035000,594.400208
"2021-09-23",600.590027,617.940002,596.72998,612.559998,1100400,605.732483
"2021-09-24",604.640015,613.799988,601.309998,612.47998,727300,605.65332
"2021-09-27",602.97998,621.98999,602.280029,616.669983,1089200,611.293701
"2021-09-28",596.059998,606.359985,584.97998,585.969971,2088500,580.861389
"2021-09-29",586.109985,589,566.849976,567.51001,1657700,562.562317
"2021-09-30",573.289978,577.530029,567.929993,569.150024,1093800,564.188049
"2021-10-01",571.119995,573.650024,560.599976,569.72998,1115700,564.763
"2021-10-04",565.969971,566.5,548.330017,550.140015,1640700,545.343811
"2021-10-05",556.679993,563.280029,550.619995,555.900024,1205600,551.05365
"2021-10-06",550,557.900024,544.830017,551.72998,1590800,546.919922
"2021-10-07",564.030029,564.140015,554.26001,555.820007,1053500,550.974304
"2021-10-08",558.619995,559.950012,549.080017,550.159973,867100,545.363586
"2021-10-11",548.130005,561.469971,548.01001,552.440002,892300,547.623718
"2021-10-12",557.849976,558.179993,542.280029,546.780029,1276600,542.013123
"2021-10-13",552.960022,558.169983,543.080017,544.409973,1253800,539.663757
"2021-10-14",558.599976,568.080017,554.27002,567.929993,1549900,562.978638
"2021-10-15",566.5,568.51001,561.390015,564.469971,1324800,559.548828
"2021-10-18",560,569.440002,558.72998,568.700012,1247400,563.742004
"2021-10-19",569.140015,578,565.830017,570.830017,1499500,565.853394
"2021-10-20",570.599976,572.77002,564.059998,565.5,1693300,560.569885
"2021-10-21",544.890015,555.869995,535.01001,555.419983,3065000,550.577759
"2021-10-22",560,575.809998,554.299988,556.73999,1877000,551.886292
"2021-10-25",558.049988,562.01001,549.400024,551.969971,1282600,547.157837
"2021-10-26",556.880005,559.23999,546.289978,548.940002,1173400,544.154236
"2021-10-27",548.02002,560.539978,546.190002,553.619995,1183800,548.793396
"2021-10-28",563.73999,579.940002,563.409973,565.950012,2232500,561.01593
"2021-10-29",558.340027,567.159973,556.200012,563.570007,1338100,558.656677
"2021-11-01",565,572.919983,561.359985,572.76001,1072400,567.766602
"2021-11-02",574.73999,578,572,574.23999,897000,569.233704
"2021-11-03",575.059998,583.48999,569.400024,581.400024,790800,576.331299
"2021-11-04",583,599.099976,579.719971,598.72998,1796500,593.510132
"2021-11-05",600.909973,613,597.280029,610.77002,2102800,605.44519
"2021-11-08",615,620.01001,603.869995,609.070007,1259800,603.76001
"2021-11-09",610,623.059998,609.030029,621.909973,1204100,616.488098
"2021-11-10",614.539978,622.280029,603.900024,605.780029,1089800,600.498779
"2021-11-11",613.590027,619.299988,609.75,613.700012,819800,608.349731
"2021-11-12",617.400024,627.900024,613.5,624.419983,1059100,618.976196
"2021-11-15",632,644.390015,625.080017,630.26001,1353400,624.765259
"2021-11-16",629.169983,638,624.429993,634.26001,852300,628.730469
"2021-11-17",634.26001,638.799988,626.280029,630.630005,906600,625.13208
"2021-11-18",636.98999,637.27002,624.789978,635.799988,1000200,630.256958
"2021-11-19",636.400024,657,633.130005,644.5,1833200,638.881165
"2021-11-22",650.919983,661.059998,642.119995,646.700012,1875900,641.061951
"2021-11-23",648,662.309998,641.26001,661.320007,1753100,655.554504
"2021-11-24",654,661.539978,645.280029,660.789978,1215200,655.029053
"2021-11-26",651.460022,654.090027,638.409973,641.97998,837700,636.383057
"2021-11-29",651.5,682.289978,649.02002,680.539978,1963900,674.606873
"2021-11-30",675.330017,693,668.140015,679.849976,2725400,673.922974
"2021-12-01",692.700012,711.830017,684.369995,693.530029,2524900,687.483704
"2021-12-02",682.859985,684.950012,655.890015,661.52002,2300600,655.752747
"2021-12-03",668.799988,670.98999,651.849976,661.469971,1385600,655.703186
"2021-12-06",664.929993,670.77002,642.429993,667.559998,1266500,661.740112
"2021-12-07",678.51001,709.559998,677,706.150024,1601600,699.993652
"2021-12-08",705,718.309998,705,714.030029,1163400,707.804993
"2021-12-09",708.75,719.909973,697.27002,699.390015,1082800,693.292664
"2021-12-10",711.669983,714.099976,694.549988,705.960022,879300,699.805298
"2021-12-13",707.549988,708.049988,684,684.969971,1244000,678.998291
"2021-12-14",674.619995,683.390015,668.140015,679.210022,1389200,674.766174
"2021-12-15",680,698.799988,665.380005,697.309998,1362700,692.747803
"2021-12-16",701.77002,707.349976,666.640015,671.280029,1377500,666.888123
"2021-12-17",665,677.890015,660.640015,669.169983,1563300,664.79187
"2021-12-20",658.849976,673.01001,653.900024,661.080017,911000,656.754822
"2021-12-21",679.549988,687.059998,665.140015,683.070007,1340500,678.600952
"2021-12-22",678.47998,692.030029,672.919983,691.219971,1042400,686.697571
"2021-12-23",694.47998,706.940002,693.380005,698.719971,867400,694.148499
"2021-12-27",702.789978,724,702.789978,723.400024,1014300,718.667114
"2021-12-28",725,728.380005,714.640015,716.099976,781600,711.414795
"2021-12-29",718.690002,728.169983,716.099976,726.75,690200,721.995178
"2021-12-30",728,728,717.179993,718.330017,521600,713.630249
"2021-12-31",718.309998,725.869995,717.22998,719.150024,713800,714.444885
"2022-01-03",721.130005,731.059998,711.830017,725.460022,1060200,720.713623
"2022-01-04",726.72998,731.849976,702.450012,712,1456600,707.341675
"2022-01-05",712.789978,714.900024,690.609985,691.809998,1399400,687.283752
"2022-01-06",693.5,705.690002,686.960022,701.909973,1189600,697.317688
"2022-01-07",697.880005,703.219971,668.390015,669.289978,1569800,664.911072
"2022-01-10",658.619995,667.820007,643.210022,664.289978,1624600,659.943787
"2022-01-11",652.820007,673.549988,652.01001,673.210022,918900,668.805481
"2022-01-12",679.080017,689.02002,674.320007,686.320007,928600,681.829712
"2022-01-13",705,730.659973,683.330017,686.77002,2913500,682.276733
"2022-01-14",683.570007,730.75,681.799988,729.820007,1941600,725.045044
