"","LOW.Open","LOW.High","LOW.Low","LOW.Close","LOW.Volume","LOW.Adjusted"
"2020-08-25",166.389999,167.429993,164.369995,165.919998,3490900,160.911194
"2020-08-26",167.660004,170.5,167.029999,170.389999,5319000,165.246246
"2020-08-27",170.699997,171.320007,165.339996,166.309998,4425000,161.289413
"2020-08-28",166.080002,166.889999,164.089996,165.509995,3291400,160.51358
"2020-08-31",165.770004,166.369995,163.679993,164.690002,3421300,159.718307
"2020-09-01",164.410004,167.639999,164.110001,167.589996,4284400,162.530762
"2020-09-02",167.860001,170.830002,166.600006,170.490005,4262700,165.343262
"2020-09-03",169.699997,170.479996,160.360001,161.520004,5734400,156.644028
"2020-09-04",162.929993,163.169998,153.440002,156.389999,6303800,151.6689
"2020-09-08",153.940002,156.860001,151.889999,153.740005,4892800,149.098892
"2020-09-09",155.889999,161.190002,155.100006,159.529999,4382600,154.714111
"2020-09-10",160.089996,162.929993,157.059998,158.330002,4129200,153.550308
"2020-09-11",160.350006,162.589996,159.440002,161.889999,4870800,157.002838
"2020-09-14",163.169998,165.800003,163,165.190002,3583300,160.203232
"2020-09-15",167.440002,169.880005,166.619995,169.029999,3998100,163.927292
"2020-09-16",170.369995,171.720001,166.110001,166.710007,3814700,161.677353
"2020-09-17",163.110001,165.919998,161.919998,163.779999,3717800,158.835815
"2020-09-18",161.360001,163.850006,158.509995,160.100006,5484700,155.266891
"2020-09-21",157.949997,159.619995,155.199997,159.600006,3929500,154.781982
"2020-09-22",160.029999,161.789993,159.639999,161.550003,3526300,156.673111
"2020-09-23",162.440002,162.910004,157.759995,158.610001,3245500,153.821869
"2020-09-24",158.770004,160.850006,156.809998,158.520004,3888600,153.734589
"2020-09-25",157.899994,160.199997,156.600006,159.550003,2828600,154.733521
"2020-09-28",161.589996,163.100006,160.509995,162.589996,2815700,157.681732
"2020-09-29",163.479996,163.970001,162.210007,162.259995,2212000,157.361679
"2020-09-30",162.979996,167.619995,162.479996,165.860001,4198600,160.852997
"2020-10-01",167.339996,168.279999,165.369995,167.169998,2677200,162.123428
"2020-10-02",164.470001,167.460007,164.050003,166.490005,2026600,161.463974
"2020-10-05",168.110001,168.970001,167.009995,168.539993,2437400,163.452087
"2020-10-06",168.479996,168.979996,164.419998,164.990005,2765600,160.009293
"2020-10-07",167.720001,169.809998,166.639999,168.470001,2587400,163.384216
"2020-10-08",169.490005,171.610001,168.240005,170.869995,3105700,165.711761
"2020-10-09",171.369995,175,171.369995,173.229996,4593700,168.000488
"2020-10-12",174.839996,174.839996,172.369995,172.729996,3377900,167.51561
"2020-10-13",172.860001,175.940002,172.630005,175.330002,2987800,170.037125
"2020-10-14",175.119995,175.899994,171.210007,173.610001,3474800,168.369049
"2020-10-15",171.559998,176.399994,171.009995,176.149994,3631600,170.832367
"2020-10-16",176.789993,180.669998,176.729996,177.699997,3879100,172.335571
"2020-10-19",178.229996,179.910004,174.820007,175.130005,4073200,169.843185
"2020-10-20",175.5,179.270004,174.509995,177.089996,3603800,172.334412
"2020-10-21",177.039993,179.610001,174.320007,174.5,3431800,169.81398
"2020-10-22",174.940002,175.25,170.710007,171.25,3266800,166.651215
"2020-10-23",171.460007,172.169998,169.220001,172.139999,2963100,167.517319
"2020-10-26",169.970001,171.229996,165.860001,168.130005,4380800,163.615036
"2020-10-27",169.050003,169.449997,165.009995,165.139999,4425700,160.705338
"2020-10-28",161.289993,164.470001,159.419998,161.419998,4947700,157.08522
"2020-10-29",162.259995,164.050003,160.639999,160.75,3697800,156.433197
"2020-10-30",159.869995,160.699997,155.770004,158.100006,3948900,153.85437
"2020-11-02",159.889999,162.710007,158.139999,160.229996,2978900,155.927185
"2020-11-03",162.369995,165.470001,161.300003,164.649994,2908200,160.228485
"2020-11-04",165.410004,171.440002,165.25,168.220001,5006500,163.702621
"2020-11-05",171.419998,173.559998,168.399994,169.25,4088100,164.704956
"2020-11-06",169.399994,169.509995,167.440002,168.520004,2672900,163.994537
"2020-11-09",169.5,170.25,152.929993,153.449997,10765200,149.329254
"2020-11-10",155.600006,157.339996,153.009995,155.710007,5925100,151.528564
"2020-11-11",157.639999,159.619995,157,158,4551700,153.75705
"2020-11-12",159.279999,160,156.639999,157.979996,3893900,153.737595
"2020-11-13",158.429993,159.979996,157.759995,159.229996,4036000,154.953995
"2020-11-16",159.070007,162,158.660004,161.899994,5005400,157.552322
"2020-11-17",159.800003,161.5,156.559998,159.860001,5642100,155.567108
"2020-11-18",150.369995,154.309998,146.720001,146.740005,18087800,142.799454
"2020-11-19",148.589996,151.25,148,149.600006,9393700,145.582642
"2020-11-20",149.330002,150.960007,148.889999,149.929993,6005800,145.903763
"2020-11-23",150.279999,154.139999,150.110001,153.669998,6978500,149.543335
"2020-11-24",154.449997,156,153.710007,154.960007,7190200,150.798706
"2020-11-25",155.330002,156.460007,154.009995,154.880005,5228300,150.720871
"2020-11-27",155.690002,157.369995,154.059998,154.669998,2081300,150.516479
"2020-11-30",154.460007,155.860001,151.389999,155.820007,7292400,151.63562
"2020-12-01",155.820007,156.779999,152.720001,153.399994,6103700,149.280579
"2020-12-02",152.399994,153,150.440002,151.809998,5133100,147.733292
"2020-12-03",151.990005,153.149994,151.360001,151.970001,4870100,147.888977
"2020-12-04",151.75,152.399994,149.830002,150,4709100,145.971909
"2020-12-07",150.110001,152.580002,149.309998,151.990005,7306800,147.908463
"2020-12-08",152.660004,153.029999,150.460007,151.240005,6737300,147.178589
"2020-12-09",159.5,160.979996,157.220001,160.130005,11093300,155.829849
"2020-12-10",159.490005,161.449997,158,160.220001,6647400,155.917435
"2020-12-11",159.770004,160.110001,157.479996,157.820007,5292600,153.581909
"2020-12-14",158.770004,162.440002,158.369995,160.089996,4654000,155.790939
"2020-12-15",161.130005,164.289993,160.940002,163.330002,4764700,158.943909
"2020-12-16",164.119995,166.190002,162.570007,163.199997,4443500,158.817413
"2020-12-17",164.639999,165.410004,163.080002,163.539993,4471500,159.14827
"2020-12-18",163.139999,165.320007,161.889999,163.199997,11916900,158.817413
"2020-12-21",162.020004,165.860001,161.270004,164.330002,5153100,159.917099
"2020-12-22",164.020004,165.860001,163.619995,164.610001,3274200,160.18956
"2020-12-23",165,165.630005,162.300003,162.429993,3613700,158.068069
"2020-12-24",162.429993,163.199997,162.100006,162.770004,1044600,158.398941
"2020-12-28",163.25,163.830002,161.610001,162.039993,2635000,157.688553
"2020-12-29",162.949997,163.300003,159.479996,160.539993,3326100,156.228867
"2020-12-30",160.600006,161.690002,160.179993,160.559998,3227000,156.248306
"2020-12-31",160.610001,160.860001,159.259995,160.509995,2335300,156.199646
"2021-01-04",160.770004,161.380005,157.130005,160.380005,7243400,156.073151
"2021-01-05",159.440002,162.080002,159.119995,160.919998,3911900,156.598648
"2021-01-06",158.369995,165.149994,158,163.070007,4937000,158.690918
"2021-01-07",163.449997,164.839996,162.789993,163.710007,4144100,159.313736
"2021-01-08",163.740005,166.25,163.039993,165.050003,4971200,160.617737
"2021-01-11",164.910004,167.399994,164.300003,166.320007,3005200,161.853653
"2021-01-12",166.289993,170.240005,165.160004,168.990005,4036900,164.45192
"2021-01-13",170.130005,171.690002,169.220001,169.830002,3291800,165.269379
"2021-01-14",170.350006,172.580002,169.970001,170.389999,4090900,165.814331
"2021-01-15",168.490005,172.009995,168,171.339996,3727200,166.738815
"2021-01-19",172.899994,173.809998,170.639999,170.759995,4683100,166.758362
"2021-01-20",171.240005,174.050003,169.649994,172.389999,3899800,168.350174
"2021-01-21",173.589996,175.070007,172.259995,172.339996,5322600,168.301315
"2021-01-22",171.889999,174.119995,171.029999,172.399994,3612300,168.359924
"2021-01-25",172.910004,175.149994,171.440002,174.100006,4764100,170.020096
"2021-01-26",174.289993,174.899994,173,173.699997,2496200,169.629456
"2021-01-27",171.039993,171.860001,167.039993,167.710007,4762700,163.779831
"2021-01-28",168.889999,173.729996,167.759995,172.339996,3816600,168.301315
"2021-01-29",171.550003,171.800003,166.5,166.850006,4400500,162.940018
"2021-02-01",167.119995,168.190002,162.139999,163.369995,3898500,159.541534
"2021-02-02",163.880005,167.789993,163.440002,166.660004,3181900,162.75444
"2021-02-03",166.259995,170.220001,166.110001,169.880005,2996500,165.898972
"2021-02-04",170.529999,173.139999,169.809998,173.029999,2679800,168.975143
"2021-02-05",174.679993,175.199997,173.190002,175.029999,2562700,170.928299
"2021-02-08",175.979996,179.210007,175.509995,179.169998,3421800,174.971283
"2021-02-09",178.830002,179.460007,177.380005,177.779999,2723800,173.613831
"2021-02-10",179,179,175.139999,177.240005,2837900,173.086502
"2021-02-11",176.990005,177.639999,174.880005,175.729996,2783900,171.611877
"2021-02-12",175.770004,177.669998,175.410004,177.160004,2035500,173.008377
"2021-02-16",176.270004,177.300003,173.929993,174.059998,2947700,169.981033
"2021-02-17",173.850006,177.470001,173.5,177.130005,2244100,172.97908
"2021-02-18",175.960007,178.050003,175.350006,177.160004,2758700,173.008377
"2021-02-19",177.509995,179.100006,176.779999,177.539993,2842000,173.379456
"2021-02-22",176.220001,176.490005,172.199997,172.410004,3767700,168.36969
"2021-02-23",170.75,170.910004,165,168.589996,5149500,164.639206
"2021-02-24",168.660004,169.610001,160.110001,162.309998,9972300,158.506378
"2021-02-25",163.490005,163.5,157.949997,158.520004,6639300,154.805206
"2021-02-26",160.339996,162.419998,159.130005,159.75,6030400,156.006378
"2021-03-01",160.759995,163.5,160.759995,161.940002,3361100,158.145065
"2021-03-02",162.429993,164.789993,162.399994,163.050003,4330900,159.229019
"2021-03-03",162.190002,162.830002,158.229996,158.289993,5238500,154.580566
"2021-03-04",157.169998,158.279999,150.839996,153.770004,7792700,150.166504
"2021-03-05",154.949997,159.089996,151.070007,158.580002,5143100,154.8638
"2021-03-08",159.740005,165.300003,159.289993,162.919998,4613400,159.102081
"2021-03-09",165.740005,169.220001,165,165.990005,4585200,162.100143
"2021-03-10",167,170.399994,166.460007,168.460007,3394900,164.512268
"2021-03-11",170.820007,173.130005,170.360001,170.75,4989600,166.748596
"2021-03-12",170.080002,171.830002,169.229996,171.550003,3638700,167.529846
"2021-03-15",172.559998,175.309998,172.559998,174.199997,3745200,170.117737
"2021-03-16",174.020004,176.520004,173.970001,175.330002,3737200,171.221252
"2021-03-17",174.809998,175.919998,173.880005,174.440002,3119900,170.352127
"2021-03-18",172.910004,176.630005,172.309998,174.869995,3888100,170.772018
"2021-03-19",174.240005,180.550003,174.240005,179.490005,8525100,175.283783
"2021-03-22",179.550003,183.600006,178.339996,181.889999,4700200,177.627548
"2021-03-23",181.25,183.800003,179.940002,180.399994,3324400,176.172455
"2021-03-24",181.119995,184.149994,180.649994,180.679993,3555400,176.445908
"2021-03-25",179.710007,186.169998,179.520004,185.169998,4543300,180.830673
"2021-03-26",185.839996,191.850006,185.339996,191.610001,4795200,187.119751
"2021-03-29",192,192.910004,187.789993,188.619995,3970900,184.199799
"2021-03-30",186.889999,191.020004,186.699997,190.020004,3547600,185.567017
"2021-03-31",190.990005,192.179993,189.169998,190.179993,3564200,185.723282
"2021-04-01",191.199997,191.880005,189.690002,191.320007,3192200,186.836563
"2021-04-05",191.860001,194.669998,191.25,193.729996,3507200,189.190063
"2021-04-06",192.889999,194.970001,192.490005,194.199997,2917700,189.649048
"2021-04-07",193.5,194.75,192.679993,193.669998,3276300,189.13147
"2021-04-08",194.270004,195.110001,193.289993,194.210007,2684300,189.658829
"2021-04-09",195.399994,198.669998,194.300003,198.509995,3168500,193.858047
"2021-04-12",198.160004,200.979996,198.160004,200.649994,3647900,195.947891
"2021-04-13",200.710007,201.220001,199.020004,199.720001,2964500,195.039703
"2021-04-14",201.050003,204.179993,200.720001,201.520004,3371900,196.797516
"2021-04-15",200.649994,205.070007,200.610001,204.570007,3656300,199.776047
"2021-04-16",206.570007,208.979996,205.270004,208.25,6359800,203.369797
"2021-04-19",206.009995,207.289993,203.490005,204.009995,3828800,199.229156
"2021-04-20",203.419998,204,200.429993,202.770004,3006200,198.60231
"2021-04-21",203.800003,204.929993,203.220001,203.910004,2716600,199.718903
"2021-04-22",203.880005,204.850006,199.240005,201.300003,3713000,197.162521
"2021-04-23",201.789993,201.889999,199.509995,200.929993,3634000,196.800125
"2021-04-26",200.830002,200.929993,198.300003,199.190002,3017000,195.095901
"2021-04-27",200.070007,201.130005,198.679993,199.050003,3453900,194.958786
"2021-04-28",199.740005,199.839996,195.699997,196.059998,4939200,192.030228
"2021-04-29",197.309998,199.429993,196.929993,198.440002,3860200,194.361328
"2021-04-30",197.800003,198.259995,195.270004,196.25,4255500,192.216309
"2021-05-03",198.75,200.080002,197.869995,199.199997,4629500,195.105698
"2021-05-04",198.699997,200.490005,196.779999,200.300003,4150100,196.183105
"2021-05-05",201.539993,203.100006,198.800003,200,3715300,195.889252
"2021-05-06",201.300003,206.059998,200.429993,205.940002,4525200,201.707153
"2021-05-07",206.059998,209.240005,204.699997,208.399994,3694800,204.116608
"2021-05-10",209.539993,215.220001,208.509995,211.309998,4476900,206.966812
"2021-05-11",208.009995,209.660004,201.220001,205.339996,4449200,201.119492
"2021-05-12",203.199997,203.970001,194.800003,195.539993,5406600,191.52092
"2021-05-13",197.830002,202.75,197.600006,200.339996,4494000,196.22226
"2021-05-14",201.710007,202.220001,197.220001,198.910004,3743000,194.821655
"2021-05-17",197.639999,198.699997,192.130005,194.130005,5798800,190.139908
"2021-05-18",194,196,191.720001,192.75,5691500,188.788269
"2021-05-19",189.539993,191.649994,186.380005,190.720001,6797900,186.800018
"2021-05-20",191.759995,194.889999,191.380005,193.410004,4397700,189.434708
"2021-05-21",194.350006,195.869995,191.330002,192.470001,4032700,188.514023
"2021-05-24",193.240005,193.520004,190.509995,190.660004,3396200,186.741241
"2021-05-25",191.169998,193.330002,190.610001,193.020004,4089300,189.052734
"2021-05-26",192.589996,194.25,192.520004,193.600006,3565600,189.620819
"2021-05-27",194.339996,195.619995,193.570007,193.770004,5126500,189.787308
"2021-05-28",197,197.839996,194.679993,194.830002,3619400,190.825531
"2021-06-01",195,196.100006,191.539993,191.850006,4105600,187.906784
"2021-06-02",192.300003,193.179993,190.059998,190.770004,3997700,186.848969
"2021-06-03",190,190.830002,188.479996,190.300003,3469200,186.388626
"2021-06-04",190.380005,191.389999,188.289993,189.910004,4210500,186.006638
"2021-06-07",189.949997,191.110001,188.539993,190.25,2913500,186.339645
"2021-06-08",191.160004,192.690002,190.25,191.399994,3604600,187.466003
"2021-06-09",192,192.5,190.360001,190.600006,3638900,186.682465
"2021-06-10",190.869995,191.649994,187.350006,188.779999,3905800,184.899872
"2021-06-11",189.880005,191.690002,189.300003,190.809998,3127800,186.888138
"2021-06-14",190.119995,190.5,188.210007,189.660004,3257700,185.76178
"2021-06-15",189.470001,189.649994,186.75,187.880005,4472600,184.018356
"2021-06-16",188,188.199997,184.580002,186.199997,4175800,182.372894
"2021-06-17",186.5,188.160004,184.460007,186.839996,4260900,182.999741
"2021-06-18",184.729996,187.899994,184.490005,186.880005,9316900,183.038925
"2021-06-21",187.970001,190.539993,187.690002,188.880005,4539400,184.997818
"2021-06-22",189.919998,192.679993,189.570007,191.720001,3995700,187.779434
"2021-06-23",191.149994,192.169998,190.850006,191.139999,2835900,187.211365
"2021-06-24",192.679993,193.089996,190.929993,191.75,2767800,187.808823
"2021-06-25",192.119995,192.860001,191.199997,192.660004,4149500,188.700119
"2021-06-28",192.589996,194.169998,191.380005,193.210007,2510600,189.238815
"2021-06-29",193.039993,195.850006,193.039993,194.199997,2628800,190.20845
"2021-06-30",194.130005,195.259995,193.850006,193.970001,2715900,189.983185
"2021-07-01",194.5,196.100006,193.850006,195.820007,2456300,191.795181
"2021-07-02",196.389999,196.520004,195.210007,195.710007,2553000,191.687439
"2021-07-06",195.800003,196.380005,192.779999,194.75,2588300,190.747162
"2021-07-07",193.669998,196.460007,193.289993,195.880005,3647100,191.853943
"2021-07-08",193.389999,194.149994,191.160004,192.800003,3993600,188.837234
"2021-07-09",194.179993,196.75,194.179993,195.330002,2436300,191.315231
"2021-07-12",194.899994,196.419998,194.309998,195.570007,2405600,191.550323
"2021-07-13",195.929993,196.149994,193.740005,194.279999,3191900,190.286819
"2021-07-14",195.169998,195.399994,192.600006,192.740005,2943300,188.778488
"2021-07-15",191.520004,195.929993,191.520004,195.75,3188000,191.726608
"2021-07-16",196.940002,198.860001,195.820007,196.139999,4920700,192.108582
"2021-07-19",191.979996,193.669998,190.039993,192.899994,5214000,188.935181
"2021-07-20",191.679993,195.410004,191.169998,194.110001,2882400,190.912079
"2021-07-21",194.559998,195.429993,193.929993,195.130005,2112900,191.915268
"2021-07-22",196.110001,196.960007,194.789993,196.770004,3244100,193.528244
"2021-07-23",198,201.419998,197.610001,200.839996,3358100,197.531189
"2021-07-26",196.309998,197.910004,193.839996,197.740005,3422200,194.482269
"2021-07-27",197.679993,197.720001,191.490005,193.509995,4106100,190.321945
"2021-07-28",193.669998,195.389999,192,192.389999,2152500,189.220398
"2021-07-29",193.25,194.320007,191.960007,193.619995,2532800,190.43013
"2021-07-30",192.600006,195.300003,192.419998,192.690002,2841600,189.515472
"2021-08-02",193.809998,194.220001,190.850006,190.960007,3051700,187.813965
"2021-08-03",191.580002,194.610001,191.470001,193.949997,2335100,190.754684
"2021-08-04",193.059998,194.279999,189.809998,189.899994,3162200,186.771439
"2021-08-05",190.970001,192.580002,189.990005,190.679993,2335500,187.538559
"2021-08-06",191.729996,192.600006,189.820007,190.160004,2855000,187.027161
"2021-08-09",189.75,190.160004,187.839996,187.990005,2296200,184.892914
"2021-08-10",188.139999,190.860001,187.369995,189.729996,2548300,186.604233
"2021-08-11",191.289993,194.710007,191,194.520004,3367300,191.315323
"2021-08-12",194.259995,194.919998,190.789993,192,2753600,188.836838
"2021-08-13",191.929993,192.350006,189.759995,190.509995,2400900,187.371384
"2021-08-16",189.940002,193.889999,189.139999,193.479996,3485800,190.292435
"2021-08-17",187.429993,187.850006,182.080002,182.259995,8256400,179.257278
"2021-08-18",189.25,203.720001,188.5,199.729996,16992700,196.439484
"2021-08-19",198.75,203.320007,198.460007,202.589996,5378300,199.25235
"2021-08-20",202.75,208.889999,202.559998,208.210007,4915700,204.779785
"2021-08-23",208.809998,209.490005,205.729996,206.059998,4195200,202.665192
"2021-08-24",206.160004,206.449997,202.850006,203.389999,4110400,200.039169
"2021-08-25",203.410004,206.830002,203.070007,206.179993,2628800,202.783234
"2021-08-26",205.289993,206.979996,204.050003,205.649994,3250400,202.261948
"2021-08-27",205.369995,207.529999,204.75,205.899994,3128100,202.507843
"2021-08-30",208.449997,209.410004,204.889999,204.990005,3986100,201.612839
"2021-08-31",206.369995,206.589996,203.330002,203.889999,4877800,200.530945
"2021-09-01",204.550003,205.039993,201.550003,203.429993,2835000,200.078522
"2021-09-02",203.770004,206.630005,203.699997,206.149994,2655800,202.753723
"2021-09-03",204.899994,206.830002,204.149994,205.979996,2260900,202.586502
"2021-09-07",205.699997,207.240005,204.910004,205.149994,2591900,201.770187
"2021-09-08",204.350006,204.419998,201.5,204.089996,3344800,200.727661
"2021-09-09",204.470001,204.720001,202.490005,203.009995,2566100,199.665436
"2021-09-10",204.779999,206.580002,204.160004,204.330002,2505600,200.963699
"2021-09-13",205.720001,207.240005,204.75,206.050003,3159000,202.655365
"2021-09-14",206.550003,207.410004,203.919998,204.169998,2488600,200.806335
"2021-09-15",204.169998,206.210007,201.479996,205.610001,2956600,202.22261
"2021-09-16",205.660004,209.330002,205.660004,208.479996,3365500,205.045334
"2021-09-17",207.360001,211.979996,207.360001,209.029999,5835200,205.586273
"2021-09-20",206.520004,208.460007,203.029999,205.270004,3640400,201.888229
"2021-09-21",206.660004,208.229996,205.360001,206.270004,2681200,202.871735
"2021-09-22",208.050003,210.279999,206.729996,208.889999,3169000,205.448578
"2021-09-23",210,211.649994,207.789993,207.979996,3128800,204.553558
"2021-09-24",208.070007,208.800003,206.889999,207.869995,2275800,204.445374
"2021-09-27",207.630005,212.25,207.5,210.630005,2886100,207.159897
"2021-09-28",209.100006,209.460007,204.690002,205.429993,4030200,202.045578
"2021-09-29",206.160004,208.350006,205.919998,207.100006,2678300,203.688065
"2021-09-30",206.929993,207.460007,202.270004,202.860001,3828600,199.517914
"2021-10-01",203.729996,205.410004,201.830002,203.699997,3016400,200.344086
"2021-10-04",202.839996,204.589996,201.580002,204.509995,5195600,201.140717
"2021-10-05",205.869995,207.75,204.160004,204.270004,3482800,200.904694
"2021-10-06",202.899994,205.190002,201.910004,204,3079600,200.63913
"2021-10-07",205.919998,209.610001,205.619995,207.899994,3001100,204.474869
"2021-10-08",205.589996,207.759995,204.449997,206.160004,3042000,202.76355
"2021-10-11",208.110001,211.740005,207.839996,208.850006,3267900,205.409241
"2021-10-12",209.850006,211.729996,209.729996,209.800003,2793600,206.343597
"2021-10-13",210.630005,213.630005,210.600006,212.119995,3275600,208.625366
"2021-10-14",214.339996,216.559998,213.440002,216.449997,3177100,212.884003
"2021-10-15",218.759995,219.990005,217.389999,219.160004,2930500,215.549393
"2021-10-18",218.399994,222.710007,218.270004,221.740005,2786000,218.086868
"2021-10-19",221.850006,223.770004,221.509995,222.910004,2976300,220.031433
"2021-10-20",224,225.300003,222.690002,225.009995,2293700,222.104294
"2021-10-21",224.910004,227.660004,224.509995,227.419998,2883100,224.483185
"2021-10-22",227.479996,229.860001,227.479996,228.770004,2207500,225.81575
"2021-10-25",228.550003,232.179993,228.110001,231.820007,3018500,228.82637
"2021-10-26",233.110001,233.669998,230.5,231.070007,2801000,228.08606
"2021-10-27",231.619995,234.960007,231.619995,231.770004,2801700,228.777008
"2021-10-28",232.960007,234.679993,231.25,231.759995,2421700,228.767136
"2021-10-29",230.779999,234.740005,230.5,233.820007,3316300,230.800552
"2021-11-01",235,235.899994,230.210007,231.75,3861500,228.757278
"2021-11-02",232.320007,234.139999,231.289993,233.029999,2167300,230.020737
"2021-11-03",232.889999,234.679993,232.080002,234.300003,2629100,231.274338
"2021-11-04",235,238.929993,234.940002,237.779999,2508800,234.709412
"2021-11-05",239,239.270004,235.050003,235.539993,2356500,232.498322
"2021-11-08",236.550003,238.080002,233.160004,234.789993,2797200,231.758026
"2021-11-09",235.059998,237.270004,233.039993,233.910004,2307500,230.889374
"2021-11-10",232.619995,235.779999,231.309998,232.550003,2402900,229.546936
"2021-11-11",234.320007,234.729996,231.300003,232.320007,1921300,229.319916
"2021-11-12",234.429993,236.720001,232.059998,236.320007,2462900,233.268265
"2021-11-15",236.100006,237.149994,234.330002,234.919998,2219900,231.886353
"2021-11-16",240.600006,246.720001,239.389999,244.779999,5223200,241.619019
"2021-11-17",250.020004,255.220001,245.25,245.729996,6823900,242.556732
"2021-11-18",246.449997,250,245.229996,247.380005,3468600,244.18544
"2021-11-19",247.770004,250.740005,245.75,249.520004,3685000,246.297806
"2021-11-22",250.259995,256.390015,249.850006,252.350006,4460500,249.091248
"2021-11-23",251.139999,252.669998,248.600006,251.910004,2550600,248.656952
"2021-11-24",249.419998,253.410004,249,252.630005,1952500,249.367645
"2021-11-26",249.619995,252.110001,247.149994,247.690002,1891000,244.491425
"2021-11-29",250.309998,252.490005,248.380005,248.580002,3209100,245.369934
"2021-11-30",247.759995,250.440002,244.509995,244.589996,6235900,241.431473
"2021-12-01",248.300003,252.369995,245.220001,245.339996,4018600,242.171768
"2021-12-02",247.009995,251.679993,245.839996,250.389999,3706700,247.156555
"2021-12-03",252.520004,253.850006,247.070007,248.690002,3972000,245.478516
"2021-12-06",252.490005,254.330002,250.419998,251.179993,3008500,247.936356
"2021-12-07",253.509995,257.540009,252.399994,256.910004,3405400,253.592361
"2021-12-08",256.589996,258.630005,254.550003,256.73999,3820700,253.424545
"2021-12-09",255.770004,260.820007,254.860001,258.149994,3812700,254.816345
"2021-12-10",258.410004,261.480011,257.720001,261.380005,2547700,258.004639
"2021-12-13",262.850006,263.309998,256.290009,257.23999,3915300,253.918091
"2021-12-14",255.919998,256.820007,250.509995,252.460007,5100500,249.199844
"2021-12-15",249.600006,258.339996,249.25,257.540009,4939300,254.214249
"2021-12-16",259.230011,259.5,253.100006,253.240005,4457200,249.969772
"2021-12-17",252.339996,253.289993,247.449997,248.089996,10173200,244.886261
"2021-12-20",245.220001,245.940002,242.300003,245.619995,3900900,242.448166
"2021-12-21",247.710007,248.410004,243.580002,246.979996,2963800,243.790588
"2021-12-22",247.110001,249.949997,246.130005,249.699997,1771900,246.475464
"2021-12-23",250.240005,251.710007,249.039993,250.089996,2060300,246.860428
"2021-12-27",251.139999,253.779999,251.139999,253.699997,1590200,250.423813
"2021-12-28",254,254.889999,252.820007,254.020004,1531500,250.739685
"2021-12-29",255.009995,258.540009,254.960007,257.570007,1617500,254.243835
"2021-12-30",258.350006,259.25,256.059998,256.390015,1488100,253.079102
"2021-12-31",256.149994,259.769989,255.850006,258.480011,1774200,255.142105
"2022-01-03",259.200012,260.200012,253.070007,255.509995,5302100,252.210449
