"","TEL.Open","TEL.High","TEL.Low","TEL.Close","TEL.Volume","TEL.Adjusted"
"2020-08-12",95.150002,95.760002,94.629997,95.449997,1169100,92.512726
"2020-08-13",94.919998,96.5,94.57,95.889999,1858800,92.939186
"2020-08-14",95.059998,95.779999,94.339996,94.760002,960100,91.843971
"2020-08-17",95.120003,95.440002,94.480003,94.760002,853800,91.843971
"2020-08-18",94.519997,95,93.760002,94.040001,1042300,91.146118
"2020-08-19",94.18,94.980003,93.779999,94.169998,1845600,91.272118
"2020-08-20",93.050003,93.18,92.370003,92.389999,1225600,90.005676
"2020-08-21",92.589996,93.699997,91.989998,93.540001,1582600,91.125992
"2020-08-24",93.75,94.940002,93.419998,94.68,994700,92.236572
"2020-08-25",95,95.610001,94.339996,94.910004,1515900,92.460632
"2020-08-26",95.25,95.989998,94.529999,95.800003,1035500,93.32766
"2020-08-27",95.919998,96.290001,95.190002,95.449997,1272700,92.986702
"2020-08-28",95.370003,98.059998,95.260002,97.940002,1858100,95.412445
"2020-08-31",98.169998,98.68,96.449997,96.599998,2232400,94.107018
"2020-09-01",96.279999,98.529999,95.809998,98.510002,1697100,95.967728
"2020-09-02",99,100.959999,97.879997,100.639999,1695200,98.042763
"2020-09-03",99.849998,100.419998,97,97.830002,2396500,95.305283
"2020-09-04",97.650002,99.709999,97.339996,98.75,2213500,96.201538
"2020-09-08",97.389999,97.760002,95.269997,95.400002,1425000,92.937988
"2020-09-09",96.879997,98.870003,96.660004,98.050003,1545000,95.519608
"2020-09-10",99.080002,99.75,96.68,96.800003,1354900,94.301857
"2020-09-11",97.290001,98.800003,96.93,97.830002,941500,95.305283
"2020-09-14",98.949997,100.139999,98.800003,99.580002,1192800,97.010109
"2020-09-15",100.290001,101.57,99.75,100.949997,1183900,98.344757
"2020-09-16",102.25,103.199997,101.32,101.870003,1895200,99.24102
"2020-09-17",100.800003,102.360001,100,101.089996,1495000,98.48114
"2020-09-18",100.480003,101.809998,98.300003,98.589996,2762800,96.04567
"2020-09-21",97.309998,97.449997,95.050003,96.370003,2240800,93.882957
"2020-09-22",96.870003,98,95.279999,96.330002,1638800,93.843987
"2020-09-23",96.129997,97.300003,93.730003,93.959999,1488600,91.535164
"2020-09-24",93,95.220001,90.879997,94.18,1920700,91.749489
"2020-09-25",93.910004,95.93,93.25,95.370003,1654200,92.908768
"2020-09-28",96.919998,98.260002,96.800003,97.089996,1484600,94.584373
"2020-09-29",97.43,97.970001,96.730003,97.449997,1605700,94.935074
"2020-09-30",97.690002,99.639999,97.169998,97.739998,1443600,95.217598
"2020-10-01",99.300003,99.410004,97.559998,98.550003,1350500,96.006699
"2020-10-02",96.160004,99.309998,95,98.360001,947700,95.821594
"2020-10-05",99.669998,101.629997,99.57,101.370003,1474700,98.753914
"2020-10-06",101.400002,103.099998,101.080002,101.830002,1968200,99.202057
"2020-10-07",103.150002,105.169998,103.120003,104.550003,1492800,101.851852
"2020-10-08",105.32,106.260002,104.68,106.010002,1190500,103.27417
"2020-10-09",107.639999,109.269997,106.970001,107.349998,1372700,104.579597
"2020-10-12",107.839996,108.389999,107.120003,107.330002,1567600,104.560112
"2020-10-13",107.059998,107.779999,106.18,106.379997,1361100,103.634628
"2020-10-14",106.93,107.440002,104.879997,105.650002,1374200,102.92347
"2020-10-15",104.730003,107.160004,104.099998,107.129997,1933100,104.365257
"2020-10-16",107.870003,108.769997,106.75,107.760002,1901600,104.979012
"2020-10-19",107.940002,108.370003,105.110001,105.43,994400,102.709145
"2020-10-20",107.290001,107.870003,105.980003,106.019997,1846000,103.28392
"2020-10-21",106.07,107.809998,105.779999,105.900002,1416700,103.167015
"2020-10-22",106.459999,107.379997,105.93,106.290001,2237600,103.546959
"2020-10-23",107.029999,107.449997,106.080002,106.300003,1870700,103.556694
"2020-10-26",104.760002,104.82,103.230003,103.970001,1481900,101.286835
"2020-10-27",103.610001,104.279999,101.57,101.669998,1644800,99.046181
"2020-10-28",100.290001,100.989998,96.699997,96.870003,2049800,94.370049
"2020-10-29",96.279999,98.379997,95.959999,96.050003,1889800,93.571213
"2020-10-30",95.580002,96.900002,94.160004,96.879997,1295000,94.379791
"2020-11-02",98.300003,100.550003,98.019997,99.5,2217600,96.932175
"2020-11-03",101.139999,102.919998,100.760002,101.779999,1217000,99.153343
"2020-11-04",102.059998,103.32,100.040001,101.349998,1843500,98.734444
"2020-11-05",103.059998,106.110001,101.650002,104.779999,1867700,102.07592
"2020-11-06",104.769997,105.919998,104.400002,105.300003,1128000,102.582504
"2020-11-09",113.339996,114.419998,105.760002,105.860001,2595900,103.128052
"2020-11-10",106.309998,108.779999,106.190002,106.879997,1589800,104.121719
"2020-11-11",108.010002,109.720001,106.830002,108.620003,2131900,105.816818
"2020-11-12",107.470001,108.489998,105.589996,106.330002,1579900,103.585915
"2020-11-13",107.089996,109.779999,107.089996,109.540001,1491100,106.713089
"2020-11-16",108.269997,111.57,108.169998,111.050003,1676400,108.184105
"2020-11-17",110.129997,112.019997,109.480003,111.18,1385900,108.31076
"2020-11-18",111.330002,112.32,110.300003,110.309998,2032300,107.463196
"2020-11-19",109.480003,111.639999,108.68,111.339996,1376400,108.940643
"2020-11-20",111.349998,111.470001,110.559998,110.68,1179600,108.294884
"2020-11-23",112,113.379997,111.370003,112.970001,1189200,110.535538
"2020-11-24",113.779999,117,113.690002,116.93,1845300,114.41021
"2020-11-25",116.080002,116.489998,114.379997,114.93,996500,112.4533
"2020-11-27",115.830002,116.220001,115.010002,115.309998,621500,112.825111
"2020-11-30",114.599998,115.349998,113.010002,113.970001,2432500,111.513992
"2020-12-01",116.099998,117.18,114.199997,114.639999,1668100,112.169556
"2020-12-02",114.440002,116.300003,114.199997,115.860001,1286800,113.363258
"2020-12-03",116.220001,118.029999,115.699997,117.970001,2636300,115.427795
"2020-12-04",118.160004,120.18,118.160004,119.660004,1794600,117.081375
"2020-12-07",119.32,119.739998,118.169998,118.650002,2192900,116.09314
"2020-12-08",118.379997,119.489998,118.110001,118.989998,1401000,116.425804
"2020-12-09",119.010002,119.959999,118.480003,118.82,2358800,116.259476
"2020-12-10",118.120003,118.940002,117.75,118.470001,1727400,115.917015
"2020-12-11",117.669998,118.720001,117.5,118.080002,1377700,115.535423
"2020-12-14",118.830002,119.110001,117.169998,117.169998,1618700,114.645035
"2020-12-15",118.440002,118.809998,116.970001,117.910004,2818500,115.369087
"2020-12-16",118.360001,118.360001,115.559998,115.68,1550100,113.187141
"2020-12-17",116.660004,117.32,115.519997,116.160004,1633600,113.656799
"2020-12-18",116.300003,117.919998,115.349998,117.489998,2979700,114.95813
"2020-12-21",115.309998,117.43,115.18,117.050003,1164700,114.527618
"2020-12-22",117.449997,117.610001,115.589996,116.790001,1178500,114.273224
"2020-12-23",117.889999,119.860001,117.769997,119.650002,2120000,117.071587
"2020-12-24",119.379997,120.25,118.93,119.82,627300,117.237923
"2020-12-28",120.669998,121.18,119.68,119.919998,652100,117.33577
"2020-12-29",120.080002,120.349998,118,118.150002,888500,115.603912
"2020-12-30",119,120.349998,119,119.760002,697800,117.179222
"2020-12-31",119.739998,121.230003,119.339996,121.07,760000,118.460983
"2021-01-04",121.190002,122.410004,118.980003,120.300003,1386500,117.707588
"2021-01-05",120.669998,122.849998,120.389999,122.610001,1191400,119.967804
"2021-01-06",125,127.889999,124.449997,126.129997,2306100,123.411934
"2021-01-07",127.160004,129.470001,126.800003,128.660004,1875000,125.887428
"2021-01-08",129.889999,131.75,128.240005,130.470001,2301300,127.658424
"2021-01-11",128.490005,130.669998,128.490005,130.470001,2445800,127.658424
"2021-01-12",130.889999,131.039993,128.380005,129.529999,1473500,126.738678
"2021-01-13",129.860001,130.479996,129.240005,129.910004,1430300,127.110504
"2021-01-14",130.559998,131.970001,130.100006,130.199997,1970800,127.394218
"2021-01-15",129.380005,129.380005,127.040001,127.949997,1482500,125.192726
"2021-01-19",129.669998,130.479996,129.039993,129.520004,1612500,126.728897
"2021-01-20",130.110001,131.339996,129.009995,130.380005,1362500,127.570366
"2021-01-21",130.740005,131.800003,129.729996,130.309998,1498100,127.501877
"2021-01-22",129.070007,129.559998,128.179993,128.389999,1540500,125.623238
"2021-01-25",127.709999,128.910004,126.419998,127.699997,1479400,124.948105
"2021-01-26",127.550003,127.690002,123.480003,123.540001,2722700,120.877769
"2021-01-27",122.5,125,116.870003,119.93,2444000,117.345566
"2021-01-28",121.699997,124.120003,119.699997,119.849998,3148400,117.267273
"2021-01-29",119.059998,121.309998,117.860001,120.400002,3439400,117.805435
"2021-02-01",122.190002,125.400002,121.010002,124.529999,2544600,121.84642
"2021-02-02",126.309998,126.82,123.800003,124.199997,2396900,121.523529
"2021-02-03",124.5,129.100006,124.160004,128.690002,3415500,125.916801
"2021-02-04",128.75,130.740005,127.550003,128.889999,2615800,126.112473
"2021-02-05",130.470001,130.470001,127.510002,128.059998,1866600,125.300362
"2021-02-08",128.5,130,127.580002,129.990005,1347300,127.188774
"2021-02-09",129.75,129.899994,128.339996,128.789993,1761000,126.014618
"2021-02-10",130,130,126.32,126.489998,1806400,123.764191
"2021-02-11",127.32,128.320007,126.419998,127.610001,1323000,124.860046
"2021-02-12",126.860001,129.889999,126.860001,129.770004,1126200,126.973503
"2021-02-16",130.490005,132.649994,130.449997,131.259995,1174300,128.431396
"2021-02-17",130.889999,131.190002,128.740005,129.710007,1910800,126.914787
"2021-02-18",129,129.190002,127.440002,128.589996,873700,126.286255
"2021-02-19",129.380005,132.639999,129.360001,132.220001,1681600,129.851242
"2021-02-22",131.179993,132.240005,129.889999,129.929993,2154200,127.602242
"2021-02-23",129.649994,129.770004,125.980003,129.039993,2080200,126.728195
"2021-02-24",128.199997,132.460007,128.110001,130.720001,1766700,128.378082
"2021-02-25",129.860001,130.619995,125.050003,125.940002,1841100,123.683746
"2021-02-26",127.43,130.850006,126.559998,130.029999,2262000,127.70047
"2021-03-01",131.559998,134.820007,131.559998,134.179993,1613800,131.776108
"2021-03-02",134.839996,135.529999,133.089996,134.789993,2186700,132.375168
"2021-03-03",134.100006,135.050003,130.600006,131.289993,1141500,128.937881
"2021-03-04",129.970001,131,124.709999,127.860001,2086000,125.569344
"2021-03-05",129.559998,130.550003,123.800003,130.039993,1343700,127.710281
"2021-03-08",130.5,131.610001,127.139999,127.150002,1390200,124.87207
"2021-03-09",128.820007,130.5,127.720001,129.410004,1543500,127.091576
"2021-03-10",129.729996,130.970001,128.960007,130.089996,877800,127.759377
"2021-03-11",131.479996,132.399994,130.669998,131.660004,1349700,129.30127
"2021-03-12",130.449997,131.839996,130.160004,131.210007,1062900,128.859344
"2021-03-15",131.940002,134.720001,131.660004,134.380005,1628400,131.972534
"2021-03-16",134.509995,134.570007,132.600006,134,1435700,131.59935
"2021-03-17",133.360001,134.660004,132.039993,133.779999,2375800,131.38327
"2021-03-18",133.490005,136.009995,131.649994,131.880005,1765900,129.517319
"2021-03-19",132.119995,132.699997,129.100006,129.149994,5239000,126.836227
"2021-03-22",129.020004,130.25,127.910004,128.509995,3112100,126.207687
"2021-03-23",127.849998,128.210007,123.309998,123.75,2275300,121.532974
"2021-03-24",124.5,126.660004,124.169998,124.889999,1318600,122.65255
"2021-03-25",124.169998,126.779999,123.389999,125.900002,1845900,123.644455
"2021-03-26",126.540001,129.190002,125.589996,128.75,2152400,126.44339
"2021-03-29",128.830002,128.830002,126.059998,127.589996,3170000,125.304169
"2021-03-30",127.57,128.509995,127.010002,127.480003,1543400,125.196152
"2021-03-31",127.949997,129.979996,127.760002,129.110001,1727800,126.796959
"2021-04-01",130.169998,130.860001,128.820007,130.789993,1149100,128.446838
"2021-04-05",132.389999,133.889999,131.350006,132.770004,949000,130.391373
"2021-04-06",132.460007,133.259995,131.869995,132.100006,1791500,129.733383
"2021-04-07",131.570007,132.089996,128.990005,129.5,2193400,127.179955
"2021-04-08",130.789993,131.070007,128.919998,130.940002,1294900,128.594162
"2021-04-09",131.210007,131.559998,130.119995,131.539993,912300,129.183411
"2021-04-12",131.820007,132.220001,131.259995,131.860001,923500,129.497681
"2021-04-13",131.559998,132.279999,130.110001,131.440002,1730300,129.08522
"2021-04-14",129.960007,131.800003,129.679993,130.880005,1359600,128.535233
"2021-04-15",131.279999,132.75,131.020004,132.639999,908900,130.263702
"2021-04-16",133.289993,133.889999,132.460007,133.399994,1696700,131.010086
"2021-04-19",131.570007,132.380005,130.149994,130.350006,1810000,128.014725
"2021-04-20",129.779999,130.600006,127.540001,128.389999,3714800,126.089844
"2021-04-21",131.5,133.600006,128.410004,133.5,3229800,131.108307
"2021-04-22",133.600006,134.589996,131.979996,132.009995,2050400,129.645004
"2021-04-23",132.210007,134.729996,132,134.720001,1655500,132.306458
"2021-04-26",135,136.229996,134.850006,135.169998,1450300,132.748383
"2021-04-27",135.990005,136.179993,133.220001,135.149994,1313100,132.728745
"2021-04-28",134.820007,136.369995,134.160004,135.919998,2006400,133.484924
"2021-04-29",136.809998,138.25,136.110001,138.179993,1748900,135.704453
"2021-04-30",136.990005,137.630005,134.300003,134.470001,1923500,132.060928
"2021-05-03",136.110001,136.110001,132.869995,133.330002,1309200,130.941345
"2021-05-04",132.270004,133.389999,129.880005,133.289993,2200000,130.902069
"2021-05-05",134.580002,135.509995,133.199997,134.710007,1329900,132.296631
"2021-05-06",134.389999,135.770004,132.860001,135.740005,1606300,133.308182
"2021-05-07",136.139999,138.429993,135.600006,138,973300,135.527679
"2021-05-10",138,138.990005,136.470001,136.5,1071000,134.054535
"2021-05-11",134.139999,134.339996,131.470001,133.789993,1585000,131.393082
"2021-05-12",132.809998,132.809998,129.039993,129.139999,1405200,126.826416
"2021-05-13",129.740005,132.580002,129.740005,131.539993,1641200,129.183411
"2021-05-14",132.860001,134.899994,132.419998,134.199997,1272700,131.795761
"2021-05-17",133.210007,134.320007,132.509995,134.160004,913100,131.75647
"2021-05-18",134.149994,134.539993,131.25,131.25,1622500,128.898605
"2021-05-19",129.710007,133.339996,129.229996,132.699997,1525500,130.322617
"2021-05-20",133.770004,133.869995,131.970001,133.5,1395700,131.604172
"2021-05-21",133.970001,135.429993,132.839996,132.889999,1321700,131.002823
"2021-05-24",134.199997,135.039993,133.960007,134.539993,810500,132.629395
"2021-05-25",135.039993,135.850006,133.550003,133.940002,1361600,132.037918
"2021-05-26",133.699997,134.800003,133.240005,134.669998,1056200,132.757553
"2021-05-27",135.649994,136.369995,134.990005,135.320007,2835500,133.398346
"2021-05-28",136.229996,136.889999,135.270004,135.679993,1128100,133.753204
"2021-06-01",137.25,138.240005,136.589996,137.520004,1393500,135.567078
"2021-06-02",137.660004,138.369995,136.75,137.169998,1747200,135.222061
"2021-06-03",136.080002,138.240005,135.410004,137.119995,1362500,135.17276
"2021-06-04",137.979996,139.410004,137.679993,139.360001,1336200,137.380966
"2021-06-07",139.369995,139.580002,138.070007,139.009995,1759000,137.035919
"2021-06-08",139.259995,139.5,137.25,137.949997,1504600,135.990967
"2021-06-09",138.199997,138.199997,135.369995,135.690002,1673600,133.763062
"2021-06-10",136.580002,137.089996,135.25,136.940002,962500,134.995316
"2021-06-11",138.740005,138.940002,136.339996,137,952200,135.054459
"2021-06-14",136.5,137.119995,135.899994,137.100006,1177500,135.153061
"2021-06-15",137.070007,137.220001,136.070007,136.649994,597400,134.709427
"2021-06-16",136.630005,137.529999,135.360001,135.960007,976200,134.029251
"2021-06-17",135.869995,136.110001,132.690002,133.809998,1519600,131.90976
"2021-06-18",132.009995,132.600006,129.149994,129.160004,2580200,127.325813
"2021-06-21",130.210007,131.800003,130.139999,131.639999,1568000,129.770584
"2021-06-22",131.320007,132.330002,130.479996,131.679993,1049600,129.809998
"2021-06-23",132.339996,133.100006,131.240005,132.169998,1040100,130.29306
"2021-06-24",133.570007,133.910004,132.720001,133.639999,661900,131.742172
"2021-06-25",134.199997,134.660004,133.410004,133.800003,1078300,131.899902
"2021-06-28",134.330002,134.509995,131.5,133.029999,1620200,131.140854
"2021-06-29",133.449997,135.509995,133.369995,135.160004,1120000,133.240616
"2021-06-30",134.369995,135.729996,134.039993,135.210007,1562100,133.289902
"2021-07-01",136.070007,136.869995,135.190002,136.729996,1711900,134.7883
"2021-07-02",137.190002,138.330002,136.669998,138.270004,1262700,136.306442
"2021-07-06",137.759995,138.080002,134.839996,135.820007,1718900,133.89122
"2021-07-07",136.350006,137.539993,135.529999,137.050003,1145100,135.103745
"2021-07-08",134.070007,135.919998,133.009995,135.039993,1164800,133.122299
"2021-07-09",136.960007,138.199997,135.850006,138,1027600,136.040268
"2021-07-12",137.949997,138.960007,137.429993,138.639999,590600,136.671173
"2021-07-13",137.929993,138.320007,137.440002,137.610001,1263200,135.655807
"2021-07-14",138.759995,139.5,137.229996,138.389999,1090500,136.424744
"2021-07-15",137.080002,137.990005,135.860001,136.880005,1011500,134.936157
"2021-07-16",137.389999,137.820007,134.169998,134.309998,846200,132.402679
"2021-07-19",131.820007,132.910004,130.720001,132.380005,1255200,130.500076
"2021-07-20",132.529999,135.990005,132.139999,135.520004,1358800,133.59549
"2021-07-21",136.589996,139.339996,136.380005,139.300003,1153600,137.321823
"2021-07-22",139.429993,139.429993,136.639999,137.970001,1388900,136.010696
"2021-07-23",139.210007,139.320007,137.520004,138.350006,1527500,136.3853
"2021-07-26",138.320007,138.940002,137.410004,138.660004,1155100,136.690903
"2021-07-27",138.050003,138.050003,135.619995,137.649994,1737600,135.695236
"2021-07-28",141,144.669998,140.279999,141.929993,3087400,139.914444
"2021-07-29",143.539993,146.660004,142.529999,146.169998,1745300,144.094238
"2021-07-30",145.449997,147.690002,145.419998,147.470001,1762000,145.375793
"2021-08-02",148.289993,150.580002,148,148.5,2823300,146.391159
"2021-08-03",148.949997,149.600006,147.460007,149.399994,1550400,147.278351
"2021-08-04",149.130005,150,148.229996,148.940002,1255400,146.824905
"2021-08-05",149.5,149.5,147.789993,148.520004,1061400,146.410889
"2021-08-06",148.970001,150.160004,148.710007,149.619995,849300,147.495239
"2021-08-09",149.229996,150.020004,148.529999,149.610001,698100,147.485397
"2021-08-10",148.940002,150.820007,148.940002,149.990005,1179600,147.860001
"2021-08-11",150.139999,151.619995,150.070007,151.550003,1154200,149.397858
"2021-08-12",151.550003,152.820007,150.649994,152.649994,1318100,150.482224
"2021-08-13",152.820007,153.139999,152,152.570007,876700,150.403366
"2021-08-16",152.110001,153.479996,151.5,153.440002,772900,151.261002
"2021-08-17",152.449997,152.509995,148.869995,150.440002,1069400,148.303604
"2021-08-18",150.039993,151.330002,149.190002,149.339996,831800,147.219223
"2021-08-19",146.539993,147.889999,146.270004,147.020004,1580200,145.419037
"2021-08-20",147.289993,148.470001,147.119995,148.059998,1092900,146.447723
"2021-08-23",149.089996,150.539993,148.020004,150.149994,1268500,148.514954
"2021-08-24",150.679993,151.929993,150.669998,151.149994,1755700,149.504074
"2021-08-25",151.160004,151.610001,150.440002,150.809998,1812500,149.16777
"2021-08-26",149.690002,151.25,149.690002,150.850006,884200,149.207352
"2021-08-27",150.910004,152.970001,150.589996,152.699997,730800,151.037186
"2021-08-30",153,153.539993,152.399994,152.690002,884000,151.027313
"2021-08-31",153.119995,153.270004,150.020004,150.220001,2193600,148.584198
"2021-09-01",151,151,149.740005,150.479996,1337500,148.841354
"2021-09-02",151.169998,151.369995,149.850006,151.080002,951400,149.43483
"2021-09-03",150.820007,151.440002,149.570007,149.669998,1077500,148.040192
"2021-09-07",149.440002,149.440002,148.169998,148.710007,1006300,147.090637
"2021-09-08",148.139999,148.570007,145.940002,147.029999,972300,145.428925
"2021-09-09",146.679993,147.910004,145.690002,145.770004,804100,144.182663
"2021-09-10",147.050003,147.300003,145.289993,145.399994,937900,143.816696
"2021-09-13",146.410004,146.889999,145.270004,146.339996,1194100,144.746429
"2021-09-14",146.979996,147.240005,144.580002,144.740005,1349400,143.163879
"2021-09-15",145.160004,145.600006,144.210007,145,1864200,143.421036
"2021-09-16",144.470001,145.220001,142.699997,143.789993,1734600,142.224213
"2021-09-17",142.919998,144.119995,140.710007,141.830002,3016800,140.285553
"2021-09-20",139.389999,140.059998,137.699997,139.539993,1895600,138.020493
"2021-09-21",140.539993,140.850006,137.300003,138.240005,1905900,136.734665
"2021-09-22",139.509995,141.419998,139.509995,140.539993,1462100,139.009598
"2021-09-23",141.839996,144.300003,141.440002,144,1161300,142.431931
"2021-09-24",143.089996,144.320007,143.089996,144.050003,1245500,142.481384
"2021-09-27",143.350006,145.580002,143.350006,144.899994,933100,143.322113
"2021-09-28",143.889999,144.770004,140.679993,140.929993,1315800,139.395355
"2021-09-29",141.509995,141.639999,138.630005,138.710007,1156600,137.199539
"2021-09-30",139.309998,139.860001,137.149994,137.220001,1516400,135.725769
"2021-10-01",138.089996,142.210007,137.5,141.729996,1898300,140.186646
"2021-10-04",141.059998,142.5,139.509995,140.289993,1460400,138.762329
"2021-10-05",141.309998,144.389999,140.949997,143.619995,1762300,142.056061
"2021-10-06",141.820007,144.570007,141.149994,144.389999,1620400,142.817688
"2021-10-07",145.850006,148.100006,145.179993,146.410004,1123300,144.815704
"2021-10-08",147.119995,147.389999,144.960007,145.669998,1079700,144.083755
"2021-10-11",146,148.020004,145.429993,145.630005,1469000,144.044174
"2021-10-12",146.050003,146.350006,141.149994,141.509995,1997300,139.96904
"2021-10-13",141.940002,142.860001,140.210007,141.419998,1642600,139.880035
"2021-10-14",143.029999,147.039993,142.619995,146.899994,1383000,145.300354
"2021-10-15",148,148.440002,146.520004,147.300003,2814100,145.695999
"2021-10-18",146.619995,147.360001,146.119995,147.240005,757000,145.636642
"2021-10-19",147.679993,148.050003,146.839996,147.009995,1144900,145.409149
"2021-10-20",147.449997,147.839996,146.509995,147.139999,3074300,145.537735
"2021-10-21",147,148.779999,146.380005,148.699997,1752700,147.08075
"2021-10-22",148.970001,150.570007,147.429993,147.600006,1065100,145.992737
"2021-10-25",148.100006,149.110001,147.050003,147.690002,1244900,146.081757
"2021-10-26",148.330002,148.330002,146.539993,146.910004,1715200,145.310242
"2021-10-27",145.050003,145.929993,142.740005,142.839996,1964000,141.284561
"2021-10-28",142.539993,145.320007,142.210007,145.179993,1383500,143.599075
"2021-10-29",144.380005,146.479996,144.309998,146,1671400,144.410156
"2021-11-01",146.449997,152.119995,146.149994,151.130005,2123700,149.484299
"2021-11-02",151.199997,152.5,150.990005,152.050003,1310300,150.394287
"2021-11-03",152.309998,153.979996,151.440002,153.460007,1368000,151.788925
"2021-11-04",153.580002,155.589996,153.020004,154.970001,1191200,153.282486
"2021-11-05",156.460007,159.100006,156.020004,158.800003,1534400,157.07077
"2021-11-08",159.970001,160.460007,157.380005,158,1848400,156.279495
"2021-11-09",161.020004,161.550003,159.229996,161.059998,1603600,159.306168
"2021-11-10",159.960007,161.740005,159.789993,160.589996,1230100,158.841278
"2021-11-11",160.979996,163.309998,159.539993,163.229996,1348700,161.45253
"2021-11-12",162.759995,164.529999,160.710007,164.309998,1553900,162.520767
"2021-11-15",164.470001,165.75,163.229996,164.229996,1128000,162.441635
"2021-11-16",164.210007,166.440002,163.279999,164.899994,1409600,163.10434
"2021-11-17",164.460007,166.350006,164.050003,166.050003,1323300,164.241837
"2021-11-18",165.419998,165.990005,162.979996,164.149994,1373500,162.85289
"2021-11-19",164.470001,165.559998,163.509995,165.25,1743000,163.944199
"2021-11-22",165.600006,166.369995,162.520004,162.539993,1279100,161.2556
"2021-11-23",162.259995,163.039993,159.990005,160.75,2317900,159.479752
"2021-11-24",159.75,160.600006,158.059998,160.360001,1678400,159.092834
"2021-11-26",157.029999,158.600006,154.669998,156,1843400,154.767288
"2021-11-29",158.149994,159.830002,156.289993,159.389999,1515400,158.130493
"2021-11-30",157.589996,157.639999,153.419998,153.929993,3319300,152.713638
"2021-12-01",157.970001,158.889999,152.679993,152.720001,1458700,151.513214
"2021-12-02",153.259995,158.669998,153.259995,157.490005,1618100,156.245514
"2021-12-03",158.190002,159.729996,154.270004,155.949997,1459000,154.717682
"2021-12-06",157.759995,159.389999,156.490005,157.729996,888800,156.483612
"2021-12-07",159.509995,160.360001,158.639999,159.220001,1509900,157.961853
"2021-12-08",160.020004,160.449997,158.779999,158.880005,997000,157.624542
"2021-12-09",157.919998,158.759995,157.080002,157.139999,946300,155.898285
"2021-12-10",158.830002,160.899994,158.759995,160.360001,1050500,159.092834
"2021-12-13",159.910004,160.100006,156.759995,158.080002,1129700,156.830856
"2021-12-14",158.080002,159.009995,155.720001,157.100006,1393300,155.858597
"2021-12-15",157.720001,160.880005,156.550003,160.75,1093300,159.479752
"2021-12-16",161.970001,163.699997,159.600006,160.059998,1403600,158.795212
"2021-12-17",159.320007,159.929993,155.5,156.410004,2772600,155.174042
"2021-12-20",153.770004,154.339996,151.080002,153.070007,1426400,151.860443
"2021-12-21",155.539993,156.899994,154.25,156.820007,1258000,155.580826
"2021-12-22",156.449997,157.139999,155.759995,156.759995,729900,155.521286
"2021-12-23",157.619995,159.429993,157.119995,158.449997,632300,157.197922
"2021-12-27",158.820007,162.960007,158.350006,162.789993,829700,161.503616
"2021-12-28",162.600006,163.309998,161.919998,162.589996,687500,161.305206
"2021-12-29",163.839996,164.119995,162.169998,162.429993,1156400,161.146469
"2021-12-30",162.25,163.25,160.160004,160.589996,675400,159.321014
"2021-12-31",160.330002,162.149994,160.330002,161.339996,592200,160.065094
"2022-01-03",161.979996,162.649994,159.830002,161,1152600,159.727783
"2022-01-04",162,165.029999,161,164.130005,1257800,162.833054
"2022-01-05",164.369995,165.809998,160.699997,160.699997,1216600,159.430145
"2022-01-06",160.399994,162.539993,159.309998,161.559998,982000,160.28334
