"","ARE.Open","ARE.High","ARE.Low","ARE.Close","ARE.Volume","ARE.Adjusted"
"2020-10-26",159.270004,159.850006,155.830002,156.830002,823700,150.122345
"2020-10-27",156.449997,158.580002,154.070007,156.160004,811300,149.481003
"2020-10-28",153.410004,154.75,152.020004,152.169998,902100,145.661682
"2020-10-29",152.600006,153.850006,150.399994,151.509995,618300,145.029877
"2020-10-30",151.089996,152.449997,150.080002,151.520004,832800,145.03949
"2020-11-02",152.960007,154.919998,152.300003,154.919998,1104500,148.294037
"2020-11-03",156.259995,157.229996,154.889999,155.75,908400,149.088562
"2020-11-04",156.610001,160.100006,156.110001,158.639999,1140100,151.854935
"2020-11-05",159.600006,159.919998,157.339996,158.389999,612500,151.615646
"2020-11-06",157.919998,159.679993,156.440002,157.119995,1069300,150.399963
"2020-11-09",164.679993,169.470001,153.649994,154.070007,1726900,147.480392
"2020-11-10",154.509995,161.880005,153.619995,161.759995,1421300,154.841507
"2020-11-11",162.320007,163.570007,160.710007,162.75,896600,155.789169
"2020-11-12",162.570007,163.179993,159.919998,161.369995,826600,154.46817
"2020-11-13",161.600006,164.759995,161.539993,164.369995,715400,157.339859
"2020-11-16",166.710007,167.190002,161.630005,165.330002,853500,158.25882
"2020-11-17",164.770004,165.440002,163.410004,165.289993,549700,158.22052
"2020-11-18",165.429993,167.070007,162.520004,162.529999,553500,155.578598
"2020-11-19",162.070007,163.940002,160.660004,163.740005,475200,156.736832
"2020-11-20",163.869995,164.869995,162.880005,164.139999,522200,157.11972
"2020-11-23",164.809998,166.169998,163.490005,163.970001,743000,156.95697
"2020-11-24",165.75,166.399994,162.029999,162.360001,1006900,155.415848
"2020-11-25",162.330002,163.139999,161.059998,162.580002,492200,155.626419
"2020-11-27",162.75,163.210007,161.539993,162.139999,251200,155.205246
"2020-11-30",161.970001,163.919998,160.979996,163.729996,876900,156.727234
"2020-12-01",165.080002,168.830002,164.919998,168.110001,817100,160.919922
"2020-12-02",167.770004,170.179993,165.460007,165.970001,695300,158.871445
"2020-12-03",165.949997,168.839996,165.949997,167.729996,668800,160.556168
"2020-12-04",169.070007,171.240005,168.639999,170.940002,659800,163.628876
"2020-12-07",170.350006,171.669998,170.350006,171.039993,592600,163.724594
"2020-12-08",170.970001,171.929993,170.380005,170.789993,566800,163.485275
"2020-12-09",170.940002,171.949997,168.449997,171.259995,640900,163.935181
"2020-12-10",170.139999,172.399994,170.139999,171.009995,601400,163.695862
"2020-12-11",170.050003,172.649994,170.029999,172.580002,709600,165.198715
"2020-12-14",173.729996,176.919998,172.479996,172.830002,1017600,165.438049
"2020-12-15",172.839996,176.179993,171.330002,176.179993,1066500,168.644745
"2020-12-16",176.759995,178.880005,176.369995,177.630005,716200,170.03273
"2020-12-17",179.009995,179.789993,176.490005,177.699997,901600,170.099747
"2020-12-18",177.360001,178.509995,174.25,175.259995,2900600,167.764099
"2020-12-21",173.190002,175.220001,172.889999,174.619995,975400,167.151474
"2020-12-22",174.389999,176.089996,173.75,175.889999,638300,168.367188
"2020-12-23",176.720001,178.070007,173.100006,173.690002,581700,166.261246
"2020-12-24",173.779999,174.600006,173.059998,174.5,212800,167.036621
"2020-12-28",174.630005,176.199997,174.139999,175.869995,339200,168.348007
"2020-12-29",176.820007,178.470001,174.520004,175.160004,311600,167.668396
"2020-12-30",174.399994,175.800003,173.520004,175.089996,406500,168.650879
"2020-12-31",174.929993,178.369995,173.949997,178.220001,495400,171.665787
"2021-01-04",178.279999,178.979996,170.559998,170.770004,1305900,164.489761
"2021-01-05",170.320007,172.589996,170.130005,170.589996,782600,164.31636
"2021-01-06",164.25,164.919998,161.759995,163.25,4378600,157.246307
"2021-01-07",165.399994,166.419998,163.889999,165.339996,1436100,159.25943
"2021-01-08",165.940002,166.5,163.860001,165.910004,963400,159.808487
"2021-01-11",165.470001,166.160004,163.979996,164.770004,707200,158.710419
"2021-01-12",164.110001,165.149994,161.979996,164.009995,2102700,157.978348
"2021-01-13",164.880005,169.899994,164.100006,168.899994,2018700,162.688492
"2021-01-14",169.240005,169.850006,167.149994,167.669998,1328900,161.503754
"2021-01-15",167.339996,168.729996,165.550003,168.369995,896500,162.178009
"2021-01-19",169.320007,169.460007,165.990005,166.509995,1016900,160.386429
"2021-01-20",166.440002,172.190002,166.059998,171.029999,1015600,164.740189
"2021-01-21",170.850006,171.919998,170.020004,171.639999,669700,165.327744
"2021-01-22",170.960007,172.119995,168.839996,168.839996,689500,162.630737
"2021-01-25",168.399994,170.289993,167.339996,169.479996,833200,163.247192
"2021-01-26",169.740005,170.679993,168.050003,169.009995,397000,162.794479
"2021-01-27",168.039993,169.110001,165,166.240005,706000,160.126358
"2021-01-28",166.240005,169.880005,165.820007,167.339996,523400,161.185867
"2021-01-29",167.059998,168.949997,165.320007,167.110001,1548100,160.964355
"2021-02-01",167.600006,169.570007,166.669998,169.559998,952400,163.324249
"2021-02-02",168.940002,170.509995,166.449997,166.460007,751500,160.338257
"2021-02-03",165.809998,169.119995,165.139999,168.889999,828500,162.678879
"2021-02-04",169.559998,172.660004,168.960007,171.029999,823600,164.740189
"2021-02-05",172,172.429993,170.839996,171.699997,638100,165.385544
"2021-02-08",171.710007,172.410004,170.100006,170.419998,750300,164.152618
"2021-02-09",170.940002,171.809998,169.970001,171.339996,387400,165.038788
"2021-02-10",172.839996,174.330002,171,172.910004,720800,166.551041
"2021-02-11",172.759995,173.289993,170.880005,171.979996,662300,165.655243
"2021-02-12",171.440002,173.470001,170.949997,173.059998,793500,166.695511
"2021-02-16",174.020004,174.020004,169.160004,170.600006,959700,164.325989
"2021-02-17",170.75,170.75,168.669998,169.5,583200,163.266449
"2021-02-18",168.660004,169.770004,167.880005,168.309998,940600,162.120193
"2021-02-19",169,170,166,166.240005,860200,160.126358
"2021-02-22",165.839996,166.210007,163.649994,165.800003,1329200,159.70253
"2021-02-23",165.910004,166.279999,163.580002,163.630005,1009700,157.61235
"2021-02-24",163.539993,164.509995,162.649994,163.910004,1160500,157.882034
"2021-02-25",163.410004,164.899994,160.800003,162.460007,1298200,156.485367
"2021-02-26",162.619995,163.179993,159.600006,159.690002,2312500,153.817215
"2021-03-01",160.889999,162.740005,159.029999,159.580002,1061700,153.711273
"2021-03-02",159.940002,161.600006,158.729996,160.850006,1259100,154.93457
"2021-03-03",160.839996,161.660004,158.990005,159.479996,1316500,153.614944
"2021-03-04",159.919998,161.149994,156.880005,157.990005,1482100,152.179749
"2021-03-05",158.529999,158.979996,154.369995,158.350006,1365900,152.52652
"2021-03-08",158.570007,161.740005,156.839996,160.350006,907700,154.452957
"2021-03-09",161.679993,164.009995,161.309998,162.960007,1265800,156.96698
"2021-03-10",163.429993,163.509995,161.380005,161.679993,917400,155.734039
"2021-03-11",161.679993,163.529999,161.199997,161.990005,744000,156.032654
"2021-03-12",162.089996,163.600006,161.809998,163.5,917500,157.487106
"2021-03-15",163.470001,166.740005,163.100006,166.320007,846600,160.2034
"2021-03-16",166.630005,169.360001,166.009995,169.160004,582400,162.93895
"2021-03-17",168.899994,169.160004,166.860001,168.720001,668800,162.515137
"2021-03-18",167.979996,169.089996,166.610001,168.869995,549000,162.659622
"2021-03-19",168.759995,169.440002,165.860001,165.889999,1894500,159.7892
"2021-03-22",165.380005,167.089996,164.990005,166.559998,518600,160.434586
"2021-03-23",166.479996,168.309998,165.279999,165.889999,727900,159.7892
"2021-03-24",165.669998,168.580002,165.550003,166.5,756500,160.376785
"2021-03-25",166.679993,169.389999,164.940002,169.100006,561000,162.881149
"2021-03-26",169.210007,169.679993,166.740005,168.979996,625100,162.765564
"2021-03-29",168.509995,169.960007,165.130005,169.149994,1014400,162.929321
"2021-03-30",167.330002,167.860001,165.809998,166.270004,653100,161.19397
"2021-03-31",165.759995,166.380005,164.190002,164.300003,1265700,159.284103
"2021-04-01",164.970001,169.850006,163.910004,169.720001,854000,164.538651
"2021-04-05",170.449997,171.639999,168.860001,170.690002,696700,165.479034
"2021-04-06",170.860001,172.309998,169.699997,171,858400,165.779572
"2021-04-07",170.979996,171.869995,169.809998,170,912300,164.810104
"2021-04-08",170.179993,171.020004,169.119995,169.270004,732400,164.102386
"2021-04-09",169.570007,169.75,167.940002,168.399994,891400,163.258942
"2021-04-12",168.559998,169.539993,167.729996,168.960007,772300,163.801849
"2021-04-13",168.520004,171.919998,168.25,171.130005,982600,165.905594
"2021-04-14",171.600006,172.190002,170.710007,171,509500,165.779572
"2021-04-15",171.550003,174.309998,171.550003,174.220001,615600,168.901245
"2021-04-16",175.009995,176.050003,173.850006,175.649994,658600,170.287613
"2021-04-19",175.699997,176.589996,174.809998,176.580002,645100,171.189194
"2021-04-20",176.580002,179.479996,175.970001,179.240005,862000,173.768021
"2021-04-21",179.699997,181.080002,179,179.880005,619000,174.388474
"2021-04-22",179.639999,180.429993,178.660004,179,685200,173.535324
"2021-04-23",179.210007,179.710007,177.580002,179.350006,520400,173.874664
"2021-04-26",179.699997,181.020004,178.589996,179.570007,565800,174.087936
"2021-04-27",178.5,179.639999,177.410004,178.009995,695500,172.575562
"2021-04-28",177.610001,179.220001,177.610001,178.509995,569100,173.060287
"2021-04-29",179.210007,180.729996,179.210007,179.679993,640300,174.19458
"2021-04-30",179.389999,181.429993,179.25,181.100006,753100,175.571243
"2021-05-03",180.850006,181.320007,179.679993,179.960007,780700,174.466034
"2021-05-04",180.119995,181.5,180.119995,180.919998,637300,175.396729
"2021-05-05",180.070007,180.5,175.350006,175.5,1087700,170.142181
"2021-05-06",176.130005,176.960007,175.330002,176.5,589900,171.111664
"2021-05-07",176.309998,179,176.210007,178.139999,816800,172.701584
"2021-05-10",179.619995,181.770004,178.570007,179.139999,470400,173.671051
"2021-05-11",178.699997,178.699997,175.899994,177.050003,346100,171.644882
"2021-05-12",176.559998,176.559998,172.399994,172.5,708300,167.23378
"2021-05-13",172.679993,174.509995,172.279999,172.779999,675400,167.505234
"2021-05-14",172.839996,174.589996,172.839996,173.830002,471700,168.523178
"2021-05-17",173.990005,175.699997,172.320007,172.850006,547600,167.57309
"2021-05-18",172.360001,174.429993,171.5,173.630005,483000,168.329285
"2021-05-19",173.130005,173.360001,171.619995,173.080002,402000,167.796066
"2021-05-20",172.669998,175.559998,172.669998,175.139999,378400,169.793167
"2021-05-21",174.910004,176.389999,173.929993,174.600006,1145100,169.269669
"2021-05-24",175.529999,178.559998,175.039993,177.990005,591400,172.556198
"2021-05-25",178.050003,178.779999,177.009995,178.350006,423600,172.905182
"2021-05-26",178.729996,179.139999,177.240005,177.419998,380400,172.003571
"2021-05-27",177.279999,178.020004,175.779999,176.149994,1796200,170.772324
"2021-05-28",177.240005,179.25,176.720001,178.259995,833900,172.817917
"2021-06-01",178.960007,180.919998,177.539993,180.720001,595900,175.202835
"2021-06-02",181.320007,182.130005,180.770004,182.020004,850700,176.463135
"2021-06-03",181.720001,183.960007,180.630005,183.529999,664900,177.927048
"2021-06-04",184.429993,184.839996,183.639999,184.089996,852700,178.46994
"2021-06-07",184.279999,188.369995,184.179993,187.520004,846700,181.795242
"2021-06-08",188,189.729996,188,188.309998,583300,182.561111
"2021-06-09",189.210007,190.830002,188.839996,190.419998,665400,184.606705
"2021-06-10",190.289993,193.990005,190.059998,193.759995,709100,187.844742
"2021-06-11",193.470001,193.679993,191.830002,193.419998,768500,187.515106
"2021-06-14",193.529999,193.979996,192.119995,193.529999,748600,187.62175
"2021-06-15",185.240005,185.720001,183.369995,183.720001,3679600,178.111237
"2021-06-16",185.059998,185.139999,181.720001,182.139999,2242400,176.579483
"2021-06-17",182.160004,184.369995,182.070007,183.330002,1486000,177.733154
"2021-06-18",183.210007,186.25,181.330002,182.679993,4407500,177.102997
"2021-06-21",183.25,187.679993,182.429993,186.460007,1275800,180.767609
"2021-06-22",187,187,183.160004,183.440002,989400,177.839798
"2021-06-23",183.399994,184.679993,182.979996,183.929993,677800,178.314835
"2021-06-24",184.619995,184.889999,183.160004,183.880005,675300,178.266357
"2021-06-25",184,184.770004,183.220001,184.669998,1085800,179.032227
"2021-06-28",185.070007,185.070007,182.399994,184.360001,892200,178.731705
"2021-06-29",183.5,184.190002,182.770004,183.020004,659400,178.517136
"2021-06-30",183.020004,184.300003,181.440002,181.940002,1065800,177.463699
"2021-07-01",181.479996,183.529999,180.839996,182.259995,952000,177.775818
"2021-07-02",183.380005,184.259995,182.899994,183.990005,617000,179.463257
"2021-07-06",183.639999,186.679993,182.089996,186.419998,817400,181.833466
"2021-07-07",186.339996,187.350006,185.399994,186.929993,710600,182.330902
"2021-07-08",185.949997,188.020004,185.229996,186.899994,445600,182.301636
"2021-07-09",188.229996,190.860001,187.279999,190.550003,746300,185.861862
"2021-07-12",190.009995,191.800003,189.300003,190.580002,694900,185.891129
"2021-07-13",189.970001,190.380005,187.75,188.600006,384600,183.959839
"2021-07-14",188.779999,190.759995,188.419998,190.25,406000,185.569244
"2021-07-15",189.770004,191.899994,189.770004,191.600006,475500,186.886017
"2021-07-16",192.110001,194.589996,191.520004,193.610001,835100,188.846573
"2021-07-19",192.580002,193.279999,190.179993,192.25,856100,187.520035
"2021-07-20",193.229996,196.100006,192.539993,195.029999,1113100,190.231613
"2021-07-21",195.089996,195.929993,194.729996,195,628000,190.202347
"2021-07-22",194.309998,194.649994,193.029999,194.210007,508800,189.431793
"2021-07-23",194.210007,197.119995,194.210007,196.940002,542100,192.09465
"2021-07-26",195.960007,197.089996,195.139999,196.179993,712600,191.353333
"2021-07-27",200.210007,202.380005,197.690002,200.75,1140700,195.810898
"2021-07-28",200,201,198.149994,198.979996,1064800,194.084457
"2021-07-29",200.020004,200.770004,198.970001,199.75,613800,194.835495
"2021-07-30",200.419998,203.160004,200.419998,201.339996,937500,196.386368
"2021-08-02",202.089996,203.589996,201.839996,203.009995,614400,198.015305
"2021-08-03",203.520004,205.190002,202.800003,204.910004,763700,199.868561
"2021-08-04",204.710007,206.360001,203.440002,204.470001,493200,199.439377
"2021-08-05",205.020004,207.199997,204.850006,207.149994,426400,202.053436
"2021-08-06",206.820007,209.440002,206.710007,208.059998,375000,202.941055
"2021-08-09",208.440002,209.389999,207.259995,209.070007,422200,203.926224
"2021-08-10",209.160004,209.220001,204.389999,204.509995,733700,199.478394
"2021-08-11",205,207.050003,203.860001,204.550003,550600,199.517426
"2021-08-12",204.309998,205.039993,203.619995,204.600006,541000,199.566177
"2021-08-13",205.009995,206.039993,204.690002,205.5,599500,200.444046
"2021-08-16",205.75,206.539993,204.910004,205.800003,555700,200.736664
"2021-08-17",205.160004,207.050003,204.050003,206.490005,636300,201.409698
"2021-08-18",205.669998,206.899994,204.050003,204.419998,407100,199.39061
"2021-08-19",203.809998,205.759995,203.399994,205.190002,431200,200.141663
"2021-08-20",205.550003,208.330002,203.550003,207.059998,681300,201.965652
"2021-08-23",207.160004,208.529999,206.179993,206.229996,644400,201.156067
"2021-08-24",206.179993,206.479996,203.339996,204.520004,608300,199.488159
"2021-08-25",204,205.559998,203.360001,203.839996,750700,198.82489
"2021-08-26",203.75,205.320007,202.899994,204.639999,396800,199.605194
"2021-08-27",205.190002,205.710007,203.919998,204.899994,578200,199.85878
"2021-08-30",204.899994,206.100006,204.5,205.919998,646900,200.853699
"2021-08-31",205.600006,207.25,204.690002,206.369995,1673700,201.292648
"2021-09-01",206.660004,209.759995,206,208.740005,1097600,203.604324
"2021-09-02",208.850006,208.880005,206.240005,208.509995,981100,203.379959
"2021-09-03",208.089996,208.529999,206.119995,208.419998,710200,203.292191
"2021-09-07",208.380005,208.380005,204.470001,205.899994,625100,200.834183
"2021-09-08",205.080002,208.839996,205.070007,207.800003,485900,202.687454
"2021-09-09",206.820007,208.539993,202.259995,202.410004,563700,197.430069
"2021-09-10",202.869995,203.220001,199.559998,199.690002,628400,194.776993
"2021-09-13",201.169998,202.059998,199.339996,199.960007,576800,195.040344
"2021-09-14",200.630005,201.559998,198.589996,199.449997,550300,194.542877
"2021-09-15",199.509995,200.070007,198.600006,198.820007,890700,193.928406
"2021-09-16",199.009995,199.949997,197.520004,198.130005,859900,193.255371
"2021-09-17",196.660004,197.729996,193.550003,193.869995,2291400,189.100159
"2021-09-20",192.910004,196.910004,192.740005,195.580002,1511500,190.768097
"2021-09-21",196.589996,197.830002,194.679993,194.729996,992500,189.939026
"2021-09-22",196.309998,197.130005,194.619995,196.539993,641000,191.704468
"2021-09-23",196.850006,198.169998,196.550003,196.729996,480500,191.889816
"2021-09-24",196.410004,197.149994,195.059998,195.389999,406200,190.582779
"2021-09-27",195.610001,196.389999,192.089996,192.169998,535700,187.441986
"2021-09-28",191.009995,192.100006,189.820007,191.589996,599900,186.876251
"2021-09-29",191.270004,193.580002,191.270004,192.839996,562000,189.201538
"2021-09-30",193.839996,194.210007,190.75,191.070007,885000,187.464966
"2021-10-01",192.669998,195.029999,191.089996,194.029999,782800,190.36911
"2021-10-04",193.580002,195.380005,193.550003,194.139999,462900,190.477036
"2021-10-05",194.369995,195.149994,192.009995,192.130005,555200,188.504959
"2021-10-06",191.339996,195.279999,189.470001,195.179993,590300,191.497391
"2021-10-07",196.529999,197.279999,194.690002,195.130005,489700,191.448364
"2021-10-08",195.330002,195.330002,192.410004,192.440002,299800,188.809113
"2021-10-11",191.490005,192.759995,189.800003,191.860001,590000,188.240051
"2021-10-12",193.240005,194.830002,191.949997,194.479996,448500,190.810608
"2021-10-13",194.240005,197.699997,193.449997,197.520004,606700,193.793274
"2021-10-14",199.139999,201.089996,198.860001,200.860001,596600,197.070236
"2021-10-15",201.910004,202.860001,200.389999,201.649994,508700,197.845337
"2021-10-18",200.130005,202.949997,199.690002,202.789993,554400,198.963821
"2021-10-19",203.649994,203.759995,201.940002,203.160004,324800,199.326843
"2021-10-20",203.910004,206.020004,203.910004,205.75,561300,201.867966
"2021-10-21",206.350006,207.080002,205.020004,206.559998,457900,202.662689
"2021-10-22",207.419998,209.759995,207.139999,208.240005,672300,204.311005
"2021-10-25",208.520004,209.289993,207.149994,208.940002,515900,204.997787
"2021-10-26",209.240005,211.699997,207.520004,209,667000,205.056656
"2021-10-27",209.970001,210.380005,205.539993,205.910004,814700,202.024963
"2021-10-28",206.169998,208.660004,204.039993,205.919998,505800,202.03476
"2021-10-29",205,206.039993,203.059998,204.139999,716800,200.288345
"2021-11-01",204.169998,205.119995,201.850006,205,355600,201.132141
"2021-11-02",205.800003,206,203.75,205.419998,447400,201.544189
"2021-11-03",205.940002,207.850006,205.649994,207.520004,586200,203.604584
"2021-11-04",207.639999,209.600006,205.460007,206.119995,572300,202.230988
"2021-11-05",207.289993,209.830002,205.809998,206.220001,465200,202.329117
"2021-11-08",206.820007,206.820007,204.850006,206.679993,399900,202.780426
"2021-11-09",206.869995,207.380005,205.449997,206.949997,292100,203.045334
"2021-11-10",206.5,207.839996,205.410004,205.419998,532800,201.544189
"2021-11-11",204.949997,205.720001,202.820007,205.580002,362400,201.701187
"2021-11-12",205.699997,206.839996,204.399994,205.550003,433300,201.671753
"2021-11-15",205.940002,206.089996,203.649994,206.039993,456700,202.152496
"2021-11-16",206.429993,206.940002,203.979996,206.220001,483900,202.329117
"2021-11-17",205.039993,207.520004,202.080002,207.270004,575200,203.359314
"2021-11-18",207.639999,208.149994,205.929993,206.399994,592400,202.505722
"2021-11-19",207.009995,207.990005,204.770004,206.600006,697000,202.701935
"2021-11-22",206.289993,207.020004,203.639999,203.729996,641500,199.886078
"2021-11-23",203.490005,207.009995,202.910004,206.449997,622300,202.554764
"2021-11-24",206.559998,211.210007,206.039993,210.380005,544600,206.410629
"2021-11-26",208.070007,209.809998,204.330002,204.449997,425300,200.592499
"2021-11-29",205.949997,208.630005,204.399994,205.259995,724500,201.387222
"2021-11-30",203.889999,204.639999,200.059998,200.070007,1522800,196.295151
"2021-12-01",201,205.679993,198.160004,198.190002,963000,194.450623
"2021-12-02",199.25,203.529999,199.25,202.610001,637300,198.787231
"2021-12-03",203.539993,204.059998,200.119995,202.660004,799100,198.836273
"2021-12-06",203.639999,208.729996,203.429993,206.029999,643800,202.1427
"2021-12-07",207.389999,211.029999,206.610001,210.720001,824300,206.744202
"2021-12-08",210,212.699997,209.149994,212.320007,559900,208.314011
"2021-12-09",212.080002,213.25,210.320007,210.990005,603200,207.009109
"2021-12-10",211.850006,212.330002,210.899994,211.940002,600300,207.941193
"2021-12-13",211.639999,215.020004,210.690002,214.039993,8e+05,210.001556
"2021-12-14",214.070007,214.070007,209.300003,211.990005,643100,207.99025
"2021-12-15",212.960007,219.369995,212.779999,218.570007,840400,214.446106
"2021-12-16",219.080002,219.470001,214.919998,216.570007,713600,212.483841
"2021-12-17",216.570007,219.570007,215.059998,215.369995,1862600,211.306458
"2021-12-20",212.990005,215.220001,211.199997,215.110001,772400,211.051361
"2021-12-21",215.990005,218.889999,215.990005,217.490005,892800,213.386475
"2021-12-22",217.610001,219.240005,217.199997,219.169998,594900,215.03476
"2021-12-23",219.889999,220,216.550003,217.630005,448800,213.523849
"2021-12-27",218.039993,220.309998,217.289993,220.100006,466600,215.947235
"2021-12-28",220.710007,222.830002,219.779999,221.990005,448900,217.801559
"2021-12-29",222.309998,224.029999,220.910004,223.570007,503900,219.351776
"2021-12-30",222.660004,223.850006,221.860001,223.160004,559500,220.081558
"2021-12-31",223.699997,224.949997,222.869995,222.960007,448500,219.884308
"2022-01-03",223.160004,224.330002,215.960007,219.830002,769800,216.797485
"2022-01-04",220.869995,223.059998,219.899994,220.820007,565000,217.773834
"2022-01-05",210,210.220001,205.169998,206.649994,4849000,203.799301
"2022-01-06",207.800003,210.559998,205.610001,209.839996,1805000,206.945297
"2022-01-07",208.279999,210.419998,207.899994,209,1322800,206.116882
"2022-01-10",207.850006,207.919998,205.119995,207.820007,1156100,204.953171
"2022-01-11",207.820007,209.490005,206.059998,208.619995,923300,205.742111
"2022-01-12",208.600006,211.050003,207.759995,209.970001,534600,207.073502
"2022-01-13",210.839996,211.089996,209.309998,209.869995,671500,206.974869
