"","AVB.Open","AVB.High","AVB.Low","AVB.Close","AVB.Volume","AVB.Adjusted"
"2020-09-01",157.050003,158.380005,155.830002,158.199997,1127300,148.310883
"2020-09-02",158.179993,161.330002,157.199997,161.300003,965600,151.217087
"2020-09-03",162.869995,164.119995,158.600006,160.320007,923500,150.298386
"2020-09-04",160.350006,163.309998,159.149994,162.100006,855600,151.967102
"2020-09-08",160.839996,160.929993,157.940002,158.460007,1135500,148.554642
"2020-09-09",158.380005,159.289993,155.929993,156.339996,1214600,146.567154
"2020-09-10",155.720001,156.130005,151.350006,152.520004,1855900,142.985947
"2020-09-11",152.360001,152.429993,148.5,149.869995,1353300,140.501602
"2020-09-14",150.869995,156.080002,150.139999,154.559998,1386100,144.898407
"2020-09-15",154.539993,155.899994,152.470001,152.570007,896400,143.032837
"2020-09-16",152.679993,154.910004,152.190002,153.089996,966900,143.520309
"2020-09-17",151.970001,154.850006,150.509995,153.5,850200,143.904694
"2020-09-18",152.309998,153.5,150.970001,151.059998,1945400,141.617203
"2020-09-21",149.75,149.880005,145.610001,145.929993,1579100,136.807877
"2020-09-22",146.039993,150.470001,146.039993,149.199997,1055900,139.873474
"2020-09-23",149.020004,151.160004,146.520004,147.059998,1294700,137.867264
"2020-09-24",146.440002,148.619995,145.009995,146.960007,1287300,137.773514
"2020-09-25",146.460007,148.100006,145.309998,148.039993,1225400,138.78598
"2020-09-28",150.380005,152.820007,149.580002,151.449997,1126100,141.982819
"2020-09-29",149.339996,150.779999,146.440002,147.520004,851800,139.765823
"2020-09-30",148.649994,150.479996,147.309998,149.339996,1204300,141.490128
"2020-10-01",149.720001,155.630005,149.610001,155.600006,1140100,147.421112
"2020-10-02",153.320007,159.020004,151.589996,157.940002,1487300,149.638123
"2020-10-05",159.039993,160.839996,156.710007,160.429993,1135300,151.997223
"2020-10-06",161.490005,162.330002,157.789993,158.600006,1100700,150.263443
"2020-10-07",159.119995,160.130005,155.75,156.850006,1024900,148.605453
"2020-10-08",157.960007,160.820007,157.350006,160.100006,716100,151.68457
"2020-10-09",161.009995,161.820007,157.289993,158.339996,883700,150.01709
"2020-10-12",158.990005,159.660004,157.330002,159.100006,867300,150.737152
"2020-10-13",155.5,158.160004,152.869995,154.899994,1042500,146.757919
"2020-10-14",154.779999,155.830002,153.600006,153.619995,836300,145.545197
"2020-10-15",152.210007,155.330002,152.210007,153.160004,682700,145.109375
"2020-10-16",152.889999,153.669998,148.940002,148.940002,1420600,141.111191
"2020-10-19",149.729996,150.570007,145.25,145.410004,1158200,137.766739
"2020-10-20",146.820007,147.330002,145.149994,145.550003,1045100,137.899399
"2020-10-21",145.089996,146.389999,144.270004,145.970001,948000,138.297302
"2020-10-22",146.320007,147.240005,144.929993,146.479996,521600,138.780487
"2020-10-23",147.720001,148.25,145.660004,145.789993,788200,138.126755
"2020-10-26",145,145.289993,142.020004,143.380005,912800,135.84346
"2020-10-27",143.020004,143.970001,139.880005,139.880005,969500,132.527435
"2020-10-28",137.5,137.779999,131.380005,132.710007,2059900,125.734306
"2020-10-29",132.710007,137.820007,132.059998,136.130005,1638800,128.974533
"2020-10-30",135.279999,140.089996,135.279999,139.130005,1330500,131.816864
"2020-11-02",140.100006,145.350006,137.899994,145.339996,1180800,137.700424
"2020-11-03",147.029999,153.289993,146.75,151.149994,1330700,143.205017
"2020-11-04",150.580002,150.949997,146.929993,148.330002,1178200,140.533249
"2020-11-05",148.789993,150.699997,147.270004,148.240005,951200,140.448013
"2020-11-06",148.089996,150.410004,146.949997,147.949997,956100,140.173218
"2020-11-09",158.979996,184.490005,158.979996,164.690002,3047800,156.03331
"2020-11-10",165.289993,174.490005,164.550003,171.789993,2680500,162.760101
"2020-11-11",171.199997,171.199997,167.210007,168.820007,1526900,159.946228
"2020-11-12",168.190002,168.589996,164.410004,166.5,980900,157.748154
"2020-11-13",167.389999,169.520004,167.289993,169.339996,894700,160.438889
"2020-11-16",176.279999,176.789993,170.580002,173.350006,962000,164.238129
"2020-11-17",171.460007,175.449997,170.009995,174.119995,664600,164.967636
"2020-11-18",174.960007,175.669998,169.559998,169.600006,832600,160.685242
"2020-11-19",168.639999,170.570007,164.830002,170.300003,961200,161.34845
"2020-11-20",171.020004,172.639999,169.770004,171.899994,984700,162.864334
"2020-11-23",172.350006,174.039993,170.559998,171.050003,1130500,162.059036
"2020-11-24",173.830002,175.369995,172.360001,173.309998,907700,164.200226
"2020-11-25",172.380005,172.639999,169.710007,171.050003,660600,162.059036
"2020-11-27",170.919998,170.919998,167.199997,167.869995,324500,159.046158
"2020-11-30",166.690002,168.570007,164.279999,166.589996,2290100,157.83345
"2020-12-01",169.279999,169.720001,167.050003,167.449997,907200,158.648254
"2020-12-02",168.509995,172.990005,167.830002,169.279999,967900,160.38205
"2020-12-03",169.009995,171.990005,168.710007,171.130005,1204500,162.134811
"2020-12-04",172.139999,174.190002,170.75,173.839996,1012400,164.702347
"2020-12-07",172.449997,174.160004,172.240005,172.679993,550200,163.603317
"2020-12-08",171.639999,172.270004,169.289993,169.350006,1168100,160.448364
"2020-12-09",169.160004,170.539993,164.759995,166.449997,1415100,157.70079
"2020-12-10",165.880005,167.809998,162.320007,162.520004,1071000,153.977356
"2020-12-11",161.100006,162.839996,160.800003,162.360001,1052400,153.825775
"2020-12-14",163.240005,164.839996,159.589996,159.669998,971900,151.277161
"2020-12-15",160.149994,161.979996,158.229996,161.970001,839700,153.456314
"2020-12-16",162,163.25,159.710007,161.509995,1109900,153.020462
"2020-12-17",162.509995,163.330002,160.509995,163.229996,1006000,154.650085
"2020-12-18",162.690002,163.419998,157.009995,158.440002,2432900,150.111832
"2020-12-21",155,158.259995,155,157.960007,952800,149.657059
"2020-12-22",158.309998,158.619995,156.210007,158.559998,823600,150.22554
"2020-12-23",159.580002,160.889999,156.509995,156.720001,564100,148.482269
"2020-12-24",157.389999,158.110001,156.100006,157.740005,246100,149.448639
"2020-12-28",158,160.330002,157.460007,160.330002,973900,151.902496
"2020-12-29",161,161.649994,157.139999,157.210007,550000,148.946503
"2020-12-30",156.449997,158.800003,156.360001,158.050003,577100,151.272293
"2020-12-31",158.479996,160.660004,156.759995,160.429993,430400,153.550217
"2021-01-04",160.070007,161.699997,155,155.520004,1499100,148.850784
"2021-01-05",155.699997,156.600006,154.839996,155.070007,1236500,148.42009
"2021-01-06",156.160004,159.830002,155.389999,159.229996,1185400,152.401642
"2021-01-07",158.320007,158.860001,155.899994,157.059998,834800,150.324722
"2021-01-08",156.899994,158.690002,156.380005,158.440002,784200,151.645538
"2021-01-11",158,158.729996,156.380005,157.380005,597700,150.631012
"2021-01-12",156.580002,157.929993,155.639999,157.380005,838600,150.631012
"2021-01-13",157.710007,160.240005,157.399994,159.190002,867000,152.363388
"2021-01-14",160.399994,162.279999,158.600006,160.490005,869500,153.607651
"2021-01-15",160.130005,164.309998,159.679993,164,847200,156.967133
"2021-01-19",164.809998,165.309998,161.350006,162.410004,752100,155.445313
"2021-01-20",161.639999,167.199997,160.940002,165.919998,926700,158.80481
"2021-01-21",164.389999,166.300003,162.820007,165.460007,521300,158.364532
"2021-01-22",164.710007,165.639999,163.089996,164.729996,911300,157.665817
"2021-01-25",164.229996,167.399994,163.009995,166.610001,845800,159.46521
"2021-01-26",167,169.369995,166.399994,168.110001,776300,160.900864
"2021-01-27",166.809998,167.990005,162.809998,163.869995,845800,156.842667
"2021-01-28",164.110001,169.139999,162.710007,166.020004,555500,158.900497
"2021-01-29",164.509995,166.789993,162.710007,163.669998,976400,156.651276
"2021-02-01",164.639999,165.479996,161.100006,165.229996,1267500,158.144379
"2021-02-02",165.869995,167.559998,164.729996,166.440002,893500,159.302475
"2021-02-03",165.050003,168.800003,164.210007,167.789993,1438800,160.594604
"2021-02-04",165.919998,174.059998,164.199997,171.850006,2339900,164.480499
"2021-02-05",172.229996,172.880005,169,172.220001,1121900,164.834625
"2021-02-08",172,173.669998,170.490005,173.330002,801000,165.897018
"2021-02-09",173.929993,174.509995,172.580002,173.830002,554400,166.37561
"2021-02-10",174.110001,176.020004,173.210007,175.850006,576500,168.308975
"2021-02-11",176.199997,179.619995,174.089996,178.929993,1150600,171.256866
"2021-02-12",177.759995,179.679993,176.929993,179.509995,765600,171.811996
"2021-02-16",179.759995,179.949997,177.970001,178.559998,806900,170.90274
"2021-02-17",178.330002,179.25,175.860001,179,805100,171.323883
"2021-02-18",178.639999,179.139999,177.050003,177.770004,501500,170.146637
"2021-02-19",177.910004,178.830002,177.080002,178.009995,855100,170.376328
"2021-02-22",178.690002,180.570007,177.149994,178.279999,843700,170.63475
"2021-02-23",179.860001,182.229996,178.649994,180.740005,966900,172.989258
"2021-02-24",181.050003,185.309998,180.429993,185,1103000,177.066559
"2021-02-25",185.100006,185.660004,179.539993,180.320007,770700,172.587265
"2021-02-26",180.470001,180.539993,175.679993,175.75,1412000,168.213226
"2021-03-01",178.100006,181.330002,176.949997,177.020004,745600,169.428802
"2021-03-02",176.130005,179.300003,175.820007,178.220001,910600,170.577316
"2021-03-03",178.770004,183.419998,178.149994,181.399994,1070000,173.620956
"2021-03-04",181.210007,181.949997,176.020004,178.050003,1076500,170.414612
"2021-03-05",178.899994,180,174.850006,177.649994,1136500,170.031754
"2021-03-08",178.940002,185.089996,177.029999,183.910004,1109300,176.023315
"2021-03-09",183.910004,186.449997,181.949997,182.020004,686500,174.214355
"2021-03-10",182.350006,185.929993,178.649994,185.179993,830400,177.238846
"2021-03-11",185.240005,188.300003,184.860001,186.320007,1341300,178.329987
"2021-03-12",186.960007,190.490005,186.960007,190.490005,1056500,182.321136
"2021-03-15",190.570007,195.460007,188.770004,193.419998,774200,185.125488
"2021-03-16",193.5,194.210007,189.050003,190.300003,741200,182.139297
"2021-03-17",191.160004,191.160004,187.179993,189.720001,876300,181.584152
"2021-03-18",189.429993,189.610001,187.210007,188.699997,641700,180.60791
"2021-03-19",187.669998,188,182.429993,182.789993,1691600,174.95134
"2021-03-22",182.800003,186.100006,181.440002,185.130005,709100,177.19101
"2021-03-23",185.589996,186.830002,183.490005,184.75,833800,176.827301
"2021-03-24",181.990005,186.679993,181.240005,184.850006,1019700,176.923019
"2021-03-25",184.850006,187.529999,182.690002,187.339996,645500,179.306229
"2021-03-26",187.589996,189.460007,187.210007,189.119995,561200,181.009888
"2021-03-29",188.600006,189.369995,185.449997,187.350006,458200,179.315796
"2021-03-30",185.880005,187.75,185.610001,187.369995,434400,180.869949
"2021-03-31",185.029999,186.649994,183.210007,184.509995,894800,178.109146
"2021-04-01",184.919998,187.119995,183.679993,186.899994,603700,180.416245
"2021-04-05",187.869995,188,183.580002,185.990005,544700,179.537827
"2021-04-06",185.199997,186.600006,184.729996,186.5,560900,180.030151
"2021-04-07",187.179993,188.610001,185.229996,187.779999,417700,181.265732
"2021-04-08",186.330002,187.839996,185.550003,185.649994,397400,179.20961
"2021-04-09",186.539993,186.899994,185.119995,185.940002,538600,179.489563
"2021-04-12",186.369995,187.350006,184.850006,187.119995,490300,180.628601
"2021-04-13",186.770004,188.050003,186,187.800003,530900,181.285034
"2021-04-14",187.5,188.660004,186.130005,186.259995,392000,179.798447
"2021-04-15",188.059998,188.75,187.100006,188.460007,958200,181.92215
"2021-04-16",189.649994,190.100006,188.169998,189.809998,661900,183.225296
"2021-04-19",191.059998,191.139999,189.259995,190.360001,492900,183.756226
"2021-04-20",190.130005,192.970001,190.130005,192.679993,733400,185.995728
"2021-04-21",192.919998,194.360001,191.25,193.619995,625000,186.903137
"2021-04-22",194.149994,195.270004,192.330002,192.399994,925600,185.725449
"2021-04-23",192.550003,194.529999,192.080002,193.880005,564900,187.154114
"2021-04-26",194.990005,195.550003,194.190002,194.770004,613500,188.013229
"2021-04-27",195.520004,196.440002,193.699997,195.309998,506900,188.5345
"2021-04-28",195.229996,195.289993,191.350006,191.350006,1043900,184.711884
"2021-04-29",192.320007,196.210007,189.830002,191.509995,695600,184.866333
"2021-04-30",191.589996,192.550003,190.399994,192,714900,185.339325
"2021-05-03",193.119995,193.529999,191.210007,191.649994,555000,185.001465
"2021-05-04",191.990005,193.25,189.460007,190.389999,606500,183.785187
"2021-05-05",189.630005,191.009995,186.610001,187.960007,739100,181.439484
"2021-05-06",188.339996,193.330002,188.339996,193.289993,710900,186.584564
"2021-05-07",192.589996,195.690002,192.589996,195.529999,750900,188.746841
"2021-05-10",196.800003,199.479996,196.419998,196.990005,490400,190.156219
"2021-05-11",196,197.039993,194.559998,196.179993,626900,189.374313
"2021-05-12",196.690002,196.710007,191.690002,192.839996,1001000,186.150192
"2021-05-13",192.729996,198.399994,192.729996,196.5,842900,189.683228
"2021-05-14",196.490005,198.929993,196.490005,197.960007,993400,191.09256
"2021-05-17",198.25,199.089996,197.309998,198.270004,454900,191.39183
"2021-05-18",197.860001,199.809998,197.080002,199,930700,192.096497
"2021-05-19",198,198,194.610001,196.669998,1260000,189.847321
"2021-05-20",196,200.25,195.509995,199.880005,944200,192.945969
"2021-05-21",200.520004,202,199.570007,200.410004,779200,193.457565
"2021-05-24",201.639999,204.440002,201.440002,203.399994,656000,196.343842
"2021-05-25",203.550003,204.869995,202.610001,204.399994,797000,197.309143
"2021-05-26",204.190002,205.979996,203.160004,204.869995,720700,197.762848
"2021-05-27",205.669998,205.789993,203.5,204.070007,1009700,196.990616
"2021-05-28",204.850006,207.389999,204.020004,206.940002,862100,199.761047
"2021-06-01",207.580002,210.759995,206.600006,210.679993,684900,203.371307
"2021-06-02",212.029999,213.669998,210.520004,212.75,940200,205.369476
"2021-06-03",213.369995,213.460007,211.919998,213.100006,790700,205.707352
"2021-06-04",212.759995,213.130005,210.850006,211.75,629800,204.404175
"2021-06-07",212.300003,214.220001,211.470001,212.139999,789400,204.78064
"2021-06-08",211.789993,213.809998,210.820007,211.029999,1082900,203.709152
"2021-06-09",211.899994,212.419998,210.309998,210.759995,1438600,203.448517
"2021-06-10",210.720001,216.639999,209.619995,214.660004,1882900,207.213242
"2021-06-11",214.460007,215.119995,212.800003,214.639999,1039100,207.193939
"2021-06-14",213.070007,214.210007,212.410004,214.210007,572000,206.778839
"2021-06-15",213.710007,213.710007,210.380005,210.970001,568700,203.651245
"2021-06-16",210.979996,212.440002,209.539993,209.690002,1094200,202.415649
"2021-06-17",209.740005,210.490005,207.899994,210.020004,706900,202.734207
"2021-06-18",210,210.830002,205.910004,206.100006,1899900,198.950195
"2021-06-21",207.259995,212.869995,206.610001,212.100006,799600,204.74205
"2021-06-22",212.179993,212.330002,210.190002,211.580002,790400,204.240067
"2021-06-23",211.940002,213.229996,210.520004,212.710007,1107800,205.330872
"2021-06-24",212.710007,213.229996,210.699997,212.029999,778300,204.674469
"2021-06-25",211.809998,214.020004,211.559998,213.940002,836000,206.518204
"2021-06-28",214.119995,214.119995,210.869995,212.380005,689900,205.012344
"2021-06-29",210.259995,212.570007,210.009995,210.309998,888200,204.545486
"2021-06-30",210.020004,211.809998,207.929993,208.690002,930600,202.969879
"2021-07-01",209.039993,212.330002,208.149994,210.509995,672700,204.73999
"2021-07-02",210.899994,212.699997,210.899994,211.330002,467400,205.537537
"2021-07-06",211.240005,213.899994,209.410004,213.550003,680400,207.696686
"2021-07-07",213.729996,216.25,212.350006,215.729996,690600,209.816925
"2021-07-08",214.440002,217.710007,213.800003,217.270004,596800,211.314713
"2021-07-09",218.919998,221.080002,217.330002,220.830002,656500,214.77713
"2021-07-12",220.830002,224.410004,220.369995,223.970001,645100,217.831055
"2021-07-13",223.509995,223.699997,220.360001,221.220001,346000,215.156448
"2021-07-14",222,224.309998,221.539993,224.070007,345900,217.928329
"2021-07-15",223.330002,225.309998,223.100006,224.929993,618200,218.76474
"2021-07-16",226.240005,227.160004,225.169998,225.869995,613500,219.678986
"2021-07-19",223.199997,225.240005,221.149994,223.169998,703100,217.052994
"2021-07-20",224.440002,229.449997,223.970001,228.740005,604200,222.470337
"2021-07-21",229.190002,230.600006,227.910004,228.179993,609100,221.925674
"2021-07-22",227.039993,227.119995,224.029999,224.449997,938600,218.297913
"2021-07-23",224.460007,226.949997,224.179993,226.800003,803300,220.583511
"2021-07-26",226.160004,227.809998,225.259995,226.199997,333500,219.999954
"2021-07-27",226.199997,229.470001,224.949997,228.279999,458000,222.022934
"2021-07-28",228.339996,229.5,227.089996,227.449997,604700,221.215683
"2021-07-29",227.550003,232.25,227.550003,229.919998,416400,223.617981
"2021-07-30",230.990005,232.720001,227.75,227.830002,784100,221.585266
"2021-08-02",229.710007,231.889999,227.5,228.809998,588600,222.538406
"2021-08-03",229.220001,229.240005,226.279999,228.899994,344100,222.625916
"2021-08-04",229,229.669998,227.110001,227.880005,405000,221.633896
"2021-08-05",229.449997,230.110001,226.770004,229.190002,324500,222.90799
"2021-08-06",230,230,227.630005,228.919998,299200,222.645386
"2021-08-09",228.630005,228.660004,226.350006,227.539993,414400,221.303207
"2021-08-10",227.529999,227.610001,222.729996,222.779999,705400,216.673676
"2021-08-11",223.990005,224.460007,221.559998,222.199997,641100,216.109589
"2021-08-12",222.970001,223.75,221.729996,222.300003,412200,216.206848
"2021-08-13",223.070007,225.199997,222.309998,224.550003,401300,218.395172
"2021-08-16",224.160004,226.720001,223.020004,225.110001,474300,218.939819
"2021-08-17",223.889999,225.350006,222.300003,224.589996,324600,218.434067
"2021-08-18",223.850006,224.740005,221.809998,222.869995,356600,216.7612
"2021-08-19",221.550003,224.610001,220.669998,223.949997,415900,217.8116
"2021-08-20",223.460007,225.729996,222.059998,224.630005,473800,218.472977
"2021-08-23",225.240005,225.910004,222.050003,223.149994,332700,217.033524
"2021-08-24",223.25,223.25,220.309998,221.789993,425700,215.7108
"2021-08-25",221.550003,224.289993,220.470001,222.259995,339900,216.167938
"2021-08-26",223.5,224.919998,222.460007,224.389999,451000,218.239563
"2021-08-27",225.479996,226.809998,224.610001,225.619995,271000,219.435852
"2021-08-30",225.679993,228.460007,224.820007,228.220001,451100,221.964584
"2021-08-31",227.539993,229.690002,226.75,229.580002,662400,223.287308
"2021-09-01",229.190002,232.699997,228.339996,232.600006,572900,226.224533
"2021-09-02",232.619995,233.449997,230.410004,233.020004,820900,226.633011
"2021-09-03",232.399994,233.479996,229.940002,232.850006,480700,226.467667
"2021-09-07",232.25,232.25,226.309998,227.589996,655400,221.351837
"2021-09-08",226.720001,231.759995,226.199997,230.490005,412000,224.172363
"2021-09-09",229.770004,230.059998,225.929993,226,544300,219.805405
"2021-09-10",226.889999,226.889999,223.419998,223.550003,488500,217.422592
"2021-09-13",225.869995,227.320007,223.179993,223.710007,626500,217.578186
"2021-09-14",224.949997,225.610001,222.820007,224.289993,305500,218.142288
"2021-09-15",224.369995,226.300003,223.679993,224.75,470300,218.589691
"2021-09-16",224.520004,225.470001,222.199997,223.679993,560100,217.548996
"2021-09-17",222.320007,223.949997,219.300003,219.889999,1239100,213.8629
"2021-09-20",218.119995,221.089996,216.710007,220.479996,529100,214.436722
"2021-09-21",222.009995,223.869995,220.639999,220.710007,399100,214.660431
"2021-09-22",222.779999,224.710007,222.449997,223.479996,566300,217.354492
"2021-09-23",225.009995,229.320007,224.710007,227.270004,798400,221.040619
"2021-09-24",227.429993,230.149994,225.979996,226.410004,770200,220.204193
"2021-09-27",226.889999,228.25,221.429993,221.660004,495500,215.584381
"2021-09-28",220.199997,223.039993,218.699997,222.149994,551200,216.060944
"2021-09-29",223.449997,227.309998,222.880005,225,479400,218.83284
"2021-09-30",225.179993,226.470001,221.509995,221.639999,577200,215.564926
"2021-10-01",221.850006,224.080002,218.770004,222.759995,338600,218.219696
"2021-10-04",221.910004,225.460007,221.910004,224.789993,568200,220.208313
"2021-10-05",225.729996,225.910004,222.669998,224.460007,847200,219.885056
"2021-10-06",223.75,226.960007,219.960007,226.350006,442200,221.736526
"2021-10-07",227.910004,228.639999,225.289993,226.039993,446800,221.432831
"2021-10-08",226.139999,226.410004,223.419998,223.850006,251600,219.287476
"2021-10-11",224.490005,225.139999,221.669998,223.809998,294100,219.248291
"2021-10-12",225.539993,227.309998,222.699997,226.5,388300,221.883484
"2021-10-13",225.800003,228.429993,224.440002,228.300003,376100,223.646774
"2021-10-14",229.520004,232.759995,229.25,232.389999,417000,227.653412
"2021-10-15",234,234,229.029999,230.630005,485000,225.929291
"2021-10-18",229.229996,231.220001,228.600006,230,494300,225.312119
"2021-10-19",230.809998,230.940002,227.309998,228.5,457000,223.842697
"2021-10-20",228.970001,233.130005,228.5,233,419400,228.250992
"2021-10-21",233,233.320007,231.039993,232.009995,390200,227.281143
"2021-10-22",232.720001,234.610001,232.119995,232.759995,367900,228.015869
"2021-10-25",232.630005,233.630005,230.729996,232.770004,393100,228.025665
"2021-10-26",233.039993,235.820007,231.5,234.410004,355000,229.632248
"2021-10-27",235,238.5,233.630005,236.630005,602100,231.806992
"2021-10-28",236.139999,241.639999,235.059998,239.199997,776900,234.3246
"2021-10-29",238.410004,239.860001,236.029999,236.679993,923800,231.855972
"2021-11-01",237.320007,237.320007,230.740005,235.100006,589800,230.308182
"2021-11-02",236.520004,237.100006,233.869995,235.600006,631500,230.797989
"2021-11-03",236.539993,237.110001,234.190002,236.729996,785500,231.904938
"2021-11-04",236.770004,237.889999,231.449997,233.720001,518000,228.956299
"2021-11-05",235.699997,238.679993,234.470001,237.839996,771000,232.992325
"2021-11-08",240.75,241,235.350006,238.380005,644200,233.521317
"2021-11-09",238.679993,240.220001,237.699997,240.130005,457900,235.235657
"2021-11-10",239.5,241.220001,239.5,240.360001,389900,235.460968
"2021-11-11",240.720001,241.089996,238.740005,241.020004,533800,236.107513
"2021-11-12",241.320007,242.169998,239.619995,241.009995,386200,236.097717
"2021-11-15",241.050003,245.470001,240.380005,245.429993,383100,240.427628
"2021-11-16",245.429993,245.899994,241.179993,241.889999,471100,236.959793
"2021-11-17",240.839996,244.029999,235.220001,243.899994,623800,238.928802
"2021-11-18",244.100006,246.339996,242.830002,246.119995,551300,241.103561
"2021-11-19",246.179993,246.179993,241.550003,242.009995,495500,237.077347
"2021-11-22",242.210007,242.5,238.289993,238.380005,717800,233.521317
"2021-11-23",239.160004,243.600006,237.330002,242.729996,795800,237.782654
"2021-11-24",242.470001,247.449997,242.270004,246.860001,323700,241.828491
"2021-11-26",243.130005,244.050003,237.889999,239.389999,395500,234.510727
"2021-11-29",241.600006,243.389999,239.300003,240.779999,1087000,235.872406
"2021-11-30",239.630005,241.710007,238.190002,238.869995,1285800,234.001343
"2021-12-01",241.259995,241.259995,230,230.100006,1386100,225.410095
"2021-12-02",231.830002,239.190002,230.740005,238.419998,1077500,233.560501
"2021-12-03",239.139999,239.679993,235.720001,237.960007,772800,233.109894
"2021-12-06",240.639999,244.789993,240.050003,240.860001,569700,235.95079
"2021-12-07",241.25,243.800003,237.720001,241.229996,1655100,236.313217
"2021-12-08",241.410004,246.660004,240.550003,245.460007,1022000,240.457016
"2021-12-09",244.809998,245.529999,242.229996,242.520004,625900,237.57695
"2021-12-10",246.059998,246.059998,242.800003,244.869995,711100,239.879044
"2021-12-13",244.820007,249.380005,243.309998,248.070007,606300,243.01384
"2021-12-14",247.919998,248.419998,242.360001,244.240005,700400,239.261902
"2021-12-15",245.270004,249.789993,244.820007,248.899994,894100,243.826904
"2021-12-16",249.050003,250.229996,244.179993,245.910004,1086000,240.897842
"2021-12-17",246,248.490005,243.929993,244.529999,1547900,239.545975
"2021-12-20",242.399994,244.699997,240.059998,241.550003,807200,236.626709
"2021-12-21",242.889999,247.220001,242.550003,245.169998,557300,240.172928
"2021-12-22",244.919998,247.910004,244.869995,247.179993,319900,242.141968
"2021-12-23",247.509995,248.259995,244.630005,245.770004,404500,240.760712
"2021-12-27",246.630005,249.889999,245.089996,249.699997,396800,244.610596
"2021-12-28",249.119995,251.419998,248.919998,250.410004,384500,245.306122
"2021-12-29",251.139999,253.449997,248.559998,252.550003,393800,247.402512
"2021-12-30",251,252.580002,249.869995,251.259995,564000,247.698242
"2021-12-31",251.419998,254.610001,251.419998,252.589996,452400,249.009399
"2022-01-03",255.910004,255.910004,248.720001,252.619995,626200,249.038986
"2022-01-04",253.070007,257.519989,253.070007,255.119995,651400,251.50354
"2022-01-05",254.570007,255.360001,250.509995,251.149994,826700,247.589813
"2022-01-06",251.990005,253.75,250.080002,251.929993,623200,248.358749
"2022-01-07",250.699997,251.279999,248.610001,248.869995,612700,245.342133
"2022-01-10",248.5,250.149994,246.389999,248.639999,734100,245.115402
"2022-01-11",248.860001,250.119995,245.289993,249.210007,504200,245.677338
"2022-01-12",249.259995,251.330002,248.710007,250.720001,455100,247.165909
"2022-01-13",250.929993,253,250.479996,251.070007,426300,247.510956
