"","MPWR.Open","MPWR.High","MPWR.Low","MPWR.Close","MPWR.Volume","MPWR.Adjusted"
"2020-09-30",275.459991,282.880005,275.459991,279.609985,263300,276.669281
"2020-10-01",280.850006,285.329987,278.170013,280.339996,348900,277.391571
"2020-10-02",274.730011,277.450012,271.730011,272.369995,254100,269.505432
"2020-10-05",274.839996,282.76001,273.690002,282.5,372400,279.528839
"2020-10-06",281.589996,292.100006,281.589996,286.51001,357300,283.496735
"2020-10-07",292.820007,298.829987,289.480011,298.320007,347300,295.182465
"2020-10-08",299,303.690002,297.329987,303,204100,299.813263
"2020-10-09",305.700012,317.970001,305.700012,315.459991,397400,312.142212
"2020-10-12",319.640015,322.73999,314.190002,316.200012,311400,312.874481
"2020-10-13",315.869995,320.070007,314.429993,315.480011,265700,312.161987
"2020-10-14",315.480011,317.839996,312.799988,314.390015,333500,311.083496
"2020-10-15",309.179993,322.869995,306.100006,320.929993,272100,317.554688
"2020-10-16",324.140015,325.179993,314.01001,315.209991,259800,311.894836
"2020-10-19",317.73999,322.75,310.980011,312.410004,384700,309.124359
"2020-10-20",313.529999,318.529999,313.119995,315.920013,237800,312.597382
"2020-10-21",317.230011,318.730011,310.829987,311.179993,255700,307.907257
"2020-10-22",311.880005,318.269989,309.779999,314.829987,252300,311.518799
"2020-10-23",316.369995,321.75,314.160004,321.450012,233800,318.069244
"2020-10-26",317.899994,324.440002,310.559998,316.950012,241600,313.616577
"2020-10-27",319.339996,321.679993,316.23999,319.880005,260600,316.515717
"2020-10-28",313.540009,319.5,303.549988,303.76001,298000,300.565308
"2020-10-29",304.700012,324.380005,304.700012,318.630005,450700,315.27887
"2020-10-30",307.619995,320.290009,302.880005,319.600006,561900,316.238708
"2020-11-02",325.839996,326.910004,313.049988,315.26001,342800,311.944366
"2020-11-03",319.799988,322.480011,313.329987,314.390015,391200,311.083496
"2020-11-04",319.48999,338.920013,318.269989,335.859985,667200,332.327667
"2020-11-05",342.25,357.470001,338.26001,356.600006,729100,352.849548
"2020-11-06",356.299988,358.690002,347.190002,357.179993,285500,353.423431
"2020-11-09",356.799988,358.290009,316.01001,316.839996,826700,313.50769
"2020-11-10",314.559998,319.940002,302.48999,309.76001,567700,306.502228
"2020-11-11",313.529999,322,313.350006,317.440002,599700,314.10141
"2020-11-12",318.779999,319.579987,309.450012,310.75,309600,307.481812
"2020-11-13",314.920013,317.600006,303.23999,306.950012,368100,303.721802
"2020-11-16",304.859985,307.339996,296.209991,306,489600,302.781708
"2020-11-17",306.130005,306.649994,300,302.850006,298400,299.664886
"2020-11-18",302.690002,307.130005,299.829987,300.109985,230800,296.953644
"2020-11-19",301.100006,313.929993,300.450012,312.320007,416500,309.035248
"2020-11-20",313.209991,320.209991,309.690002,315.730011,292100,312.409363
"2020-11-23",317.359985,322.200012,309.809998,318.899994,382100,315.546051
"2020-11-24",318.420013,319.399994,301.390015,304.690002,763400,301.485504
"2020-11-25",309.880005,310.799988,300.549988,306.420013,696100,303.197296
"2020-11-27",313.209991,329.519989,309.869995,328.140015,468000,324.688904
"2020-11-30",330.869995,330.869995,309,319.959991,2944700,316.59494
"2020-12-01",322.190002,327.779999,317.899994,319.799988,391800,316.436554
"2020-12-02",319.079987,326.940002,313.959991,320.829987,377500,317.455719
"2020-12-03",319.230011,327.380005,315.019989,324.140015,242900,320.730988
"2020-12-04",323.399994,333.589996,320.440002,321.380005,664500,318
"2020-12-07",321.600006,324.600006,319.549988,322.440002,487400,319.048798
"2020-12-08",321.880005,325.339996,317.959991,323.48999,371700,320.087738
"2020-12-09",321.450012,322.660004,305.850006,308.609985,467200,305.364288
"2020-12-10",307.390015,313.459991,305.859985,307.269989,615700,304.03833
"2020-12-11",306.359985,313.75,303.600006,306.570007,656800,303.345764
"2020-12-14",310.959991,320.910004,310.5,319.459991,685100,316.100128
"2020-12-15",322.459991,332.579987,320.01001,331.559998,918700,328.072937
"2020-12-16",333.600006,334.040009,325.070007,332.029999,686600,328.537933
"2020-12-17",334.440002,345.649994,334.200012,341.470001,431500,337.878662
"2020-12-18",345.070007,351.170013,340.470001,348.230011,912200,344.567596
"2020-12-21",343.440002,349.609985,343.089996,346.570007,514700,342.925049
"2020-12-22",347.470001,355.570007,347.130005,354.059998,570600,350.336273
"2020-12-23",355.970001,361.880005,351.269989,353.890015,431200,350.16803
"2020-12-24",356.829987,358.609985,351.369995,357.070007,124100,353.314636
"2020-12-28",362.779999,365.029999,355.880005,360.459991,272700,356.669006
"2020-12-29",361.559998,364.519989,348.399994,352.190002,305700,348.485901
"2020-12-30",355.190002,362.640015,355.190002,360.730011,225600,357.443542
"2020-12-31",363.380005,367.049988,358.959991,366.230011,277200,362.893463
"2021-01-04",371.899994,381.779999,361.230011,364.820007,514000,361.496307
"2021-01-05",361.540009,371.410004,361.540009,370.559998,355800,367.184021
"2021-01-06",363.200012,377.98999,356.899994,358.600006,632700,355.332977
"2021-01-07",365.410004,382.220001,364.200012,381.25,348100,377.776611
"2021-01-08",386.970001,392.73999,382.540009,387.410004,413100,383.880493
"2021-01-11",384.429993,396.089996,382.5,392.459991,523500,388.88446
"2021-01-12",397.390015,397.390015,386.089996,391.519989,330900,387.953064
"2021-01-13",391.23999,396.190002,387.809998,388.220001,216200,384.683136
"2021-01-14",389.929993,393.690002,385.119995,386.200012,278000,382.681519
"2021-01-15",386.799988,387.079987,375.329987,379.230011,477000,375.775055
"2021-01-19",386.279999,395.25,383.269989,391.320007,416200,387.754852
"2021-01-20",396.329987,401.170013,394.269989,396.420013,282100,392.808472
"2021-01-21",401,404.309998,395.019989,403.179993,208000,399.506836
"2021-01-22",398.799988,406.329987,393.579987,396.910004,164400,393.293945
"2021-01-25",405.309998,406.75,383.48999,391.320007,195600,387.754852
"2021-01-26",391.25,391.720001,380.98999,383.25,266100,379.758392
"2021-01-27",375.019989,377.290009,351,351.75,524000,348.54541
"2021-01-28",361.23999,372.25,354.779999,367.980011,373600,364.627472
"2021-01-29",376.670013,376.670013,354.980011,355.290009,435000,352.053131
"2021-02-01",363.480011,368.700012,358.73999,367.929993,283100,364.577942
"2021-02-02",374.480011,378.26001,368,374.570007,289900,371.157501
"2021-02-03",375.540009,379.5,363.929993,366.019989,356100,362.685364
"2021-02-04",369.209991,372.769989,360.670013,367.600006,510200,364.251007
"2021-02-05",388.100006,392.48999,357,359.51001,775500,356.234711
"2021-02-08",364,370.390015,358.899994,368.619995,549900,365.261688
"2021-02-09",367.070007,382.839996,365.01001,379.160004,1092200,375.705658
"2021-02-10",379.970001,383.709991,370.570007,373.73999,657100,370.335022
"2021-02-11",379.829987,386,371.019989,384.670013,10003300,381.165466
"2021-02-12",384.48999,388.850006,377.309998,385.920013,421900,382.404083
"2021-02-16",387.73999,398.890015,386.350006,387.959991,492500,384.425476
"2021-02-17",384.959991,384.959991,371.850006,380.279999,385400,376.81546
"2021-02-18",375.73999,377.73999,367.450012,375.880005,317000,372.455536
"2021-02-19",379.929993,394.5,378.160004,393.75,470600,390.16272
"2021-02-22",384.140015,388.970001,370.649994,372.660004,506400,369.264923
"2021-02-23",359.100006,376,351.649994,371.660004,531200,368.274017
"2021-02-24",370.309998,388.420013,363.98999,387.859985,438900,384.326385
"2021-02-25",381.709991,386.23999,360.679993,362.589996,377600,359.286621
"2021-02-26",368.410004,377.23999,364.140015,374.519989,448300,371.107971
"2021-03-01",380.950012,391.769989,379.029999,389.049988,444900,385.505524
"2021-03-02",390.440002,390.440002,369.290009,370.579987,354700,367.203827
"2021-03-03",370.290009,373.380005,354.410004,354.809998,367500,351.577484
"2021-03-04",350.549988,352.140015,325.959991,327.970001,808800,324.982056
"2021-03-05",334.359985,338.470001,309.119995,332.910004,659100,329.877045
"2021-03-08",330.049988,333.649994,301.51001,302.049988,723000,299.298157
"2021-03-09",314.829987,334.019989,313.130005,323.859985,1054600,320.909454
"2021-03-10",330.640015,334.359985,322.73999,323.410004,572200,320.463562
"2021-03-11",339.640015,344.730011,336.170013,337.600006,571100,334.524323
"2021-03-12",330.579987,333.290009,325.040009,331,426800,327.984406
"2021-03-15",332.48999,342.279999,330.48999,341.640015,340700,338.527557
"2021-03-16",347.440002,351.910004,340.369995,342.649994,262400,339.52829
"2021-03-17",335.470001,356.73999,330.799988,352.200012,694000,348.991302
"2021-03-18",345.200012,350.459991,335.589996,335.76001,506700,332.70105
"2021-03-19",342.51001,349.790009,336.839996,343.179993,1149900,340.053436
"2021-03-22",347.649994,355.920013,343.769989,348.23999,410200,345.067322
"2021-03-23",348.339996,349.899994,333.5,336.700012,446900,333.632507
"2021-03-24",338.730011,338.950012,330.869995,330.98999,255000,327.974487
"2021-03-25",326.660004,332.899994,317.959991,331.579987,271300,328.559143
"2021-03-26",317.339996,351.190002,317.339996,350.970001,386900,347.772491
"2021-03-29",350.339996,350.839996,336,340.540009,536800,337.4375
"2021-03-30",338,344.829987,333.920013,342.589996,360500,340.068024
"2021-03-31",345.450012,357.109985,345.450012,353.209991,428000,350.609833
"2021-04-01",358.790009,368.040009,357.630005,367.519989,507600,364.814453
"2021-04-05",373.869995,378.950012,367.850006,378.079987,378000,375.296753
"2021-04-06",376.600006,383.140015,372.459991,374.540009,486500,371.782806
"2021-04-07",371.450012,378.679993,370.589996,373.119995,314900,370.37323
"2021-04-08",379.209991,383.190002,374.190002,378.369995,352800,375.584625
"2021-04-09",374.529999,377.980011,368.290009,376.869995,293500,374.095642
"2021-04-12",375.410004,377.5,367.589996,373.920013,283100,371.167358
"2021-04-13",374.970001,379.230011,371.299988,376.519989,192700,373.748199
"2021-04-14",375,383,369.100006,369.920013,251900,367.196808
"2021-04-15",374.640015,383.640015,374.320007,381.570007,237000,378.761047
"2021-04-16",382.119995,386.519989,375.380005,378.619995,322000,375.832794
"2021-04-19",377.029999,379.209991,362.76001,369.600006,238900,366.879181
"2021-04-20",370.589996,371.399994,361.940002,364.279999,266600,361.598328
"2021-04-21",362.850006,377.869995,362.119995,377.570007,234900,374.790497
"2021-04-22",376.839996,379.899994,369.670013,372.179993,237200,369.440186
"2021-04-23",379.130005,387.130005,377.25,380.790009,416200,377.986816
"2021-04-26",380.290009,391.100006,379.339996,389.529999,277900,386.662445
"2021-04-27",393.899994,395.890015,383.350006,385,195100,382.165802
"2021-04-28",382.190002,382.190002,375.429993,377.519989,257600,374.740814
"2021-04-29",381.579987,384.839996,368.160004,371.109985,290600,368.378021
"2021-04-30",365.320007,372.23999,358.820007,361.380005,327700,358.719696
"2021-05-03",362.25,365.390015,349.339996,350.279999,541400,347.701385
"2021-05-04",343.579987,345.459991,330.279999,334.119995,494900,331.660339
"2021-05-05",345,349.290009,336.619995,337.820007,510000,335.33313
"2021-05-06",333.040009,335.359985,326.309998,333.380005,355800,330.925812
"2021-05-07",339.790009,344.380005,336.149994,342.790009,295500,340.266571
"2021-05-10",337.160004,340.859985,319.619995,321.859985,486300,319.490601
"2021-05-11",314.100006,325.230011,310.01001,320.410004,611400,318.05127
"2021-05-12",314.459991,316.75,305.519989,306.100006,429900,303.846649
"2021-05-13",312.600006,320.350006,303.940002,306.329987,518000,304.074951
"2021-05-14",310.609985,319.48999,309.320007,316.519989,462200,314.189941
"2021-05-17",311.910004,314.809998,305.790009,312.299988,382100,310.000977
"2021-05-18",315.279999,318.769989,309.230011,309.399994,326800,307.122345
"2021-05-19",303,321.179993,301.529999,319.799988,428200,317.44577
"2021-05-20",323.600006,334.179993,320.01001,331.970001,398000,329.526184
"2021-05-21",332.660004,334.269989,322.350006,324.440002,425500,322.051575
"2021-05-24",326.390015,332,326.390015,329.899994,261300,327.471436
"2021-05-25",332,334.790009,329.350006,331.350006,255100,328.910736
"2021-05-26",333.679993,339.649994,331.690002,339.029999,420200,336.53421
"2021-05-27",336.109985,346.200012,334.209991,342.570007,478900,340.048126
"2021-05-28",345.220001,346.869995,341.970001,343.119995,251700,340.594116
"2021-06-01",345.450012,350.910004,339.299988,342.440002,278800,339.919098
"2021-06-02",342.559998,345.660004,339.410004,343.630005,365100,341.100372
"2021-06-03",339.380005,342.119995,333.440002,335.940002,335700,333.466919
"2021-06-04",339,347.51001,339,347.029999,267700,344.475311
"2021-06-07",343.049988,344.850006,339.76001,342.640015,225700,340.117676
"2021-06-08",347.279999,347.609985,336.029999,338.660004,222100,336.166931
"2021-06-09",340.950012,344.980011,337.119995,340.51001,184800,338.003326
"2021-06-10",341.299988,345.529999,339.230011,343.399994,233500,340.87204
"2021-06-11",344.869995,347.660004,340.929993,347.160004,220700,344.60437
"2021-06-14",348.179993,353.040009,345.529999,351.790009,254500,349.200287
"2021-06-15",350.140015,352.070007,344.600006,345.410004,197400,342.867279
"2021-06-16",345.399994,348.890015,340.470001,343.679993,280400,341.149963
"2021-06-17",342.899994,358.929993,342.899994,356.079987,367900,353.458679
"2021-06-18",352.769989,357.130005,350.070007,353.959991,625900,351.354248
"2021-06-21",353.170013,355.309998,349.429993,354.109985,236800,351.503174
"2021-06-22",353.720001,355.23999,349.549988,353.720001,213500,351.116089
"2021-06-23",353.730011,355.029999,349.779999,350.079987,490700,347.502838
"2021-06-24",353.570007,360.209991,352.309998,359.350006,198400,356.70462
"2021-06-25",362.160004,367.619995,358.859985,365.679993,518800,362.988007
"2021-06-28",367.649994,377.600006,367.649994,374.480011,298700,371.723236
"2021-06-29",373.850006,378.700012,369.709991,377.399994,239400,375.2229
"2021-06-30",377.130005,378.600006,371.73999,373.450012,234100,371.295746
"2021-07-01",376.220001,376.220001,368.130005,370.179993,376600,368.044617
"2021-07-02",374.040009,376.660004,371.730011,376.309998,223400,374.139221
"2021-07-06",376.429993,384.149994,375.079987,383.459991,541300,381.247986
"2021-07-07",387.269989,387.269989,371.5,376.920013,440300,374.745697
"2021-07-08",370.410004,373.440002,363.450012,373,354000,370.848328
"2021-07-09",373.959991,383.359985,370.209991,382.600006,272100,380.392975
"2021-07-12",385.649994,387.329987,381.149994,386.950012,340300,384.717865
"2021-07-13",384.670013,388.75,381.940002,387.450012,328700,385.214996
"2021-07-14",390.320007,396.320007,381.329987,382.869995,572600,380.661377
"2021-07-15",382.670013,382.75,373.559998,379.51001,529500,377.32077
"2021-07-16",381.109985,384.119995,378.640015,379.459991,852200,377.271027
"2021-07-19",374.279999,381.339996,370.089996,380.73999,383600,378.543671
"2021-07-20",382.769989,394.350006,379.899994,392.359985,368500,390.096619
"2021-07-21",392.559998,405.549988,392.399994,405.299988,319300,402.962006
"2021-07-22",403.839996,407.269989,399.660004,405,311800,402.663727
"2021-07-23",407.130005,415.850006,404.48999,414.26001,292400,411.870331
"2021-07-26",411.269989,417.309998,409.420013,412.940002,335100,410.557922
"2021-07-27",411.390015,411.390015,395.48999,407.26001,515600,404.910706
"2021-07-28",410,432.01001,405.130005,431,581500,428.513733
"2021-07-29",429.220001,440.980011,427.980011,440.059998,798500,437.521515
"2021-07-30",435.619995,450.980011,434,449.26001,462200,446.668427
"2021-08-02",451.839996,457.600006,450.459991,454.459991,497900,451.838409
"2021-08-03",456.820007,460,446.890015,456.540009,286900,453.906433
"2021-08-04",457.850006,470.339996,457.850006,466.429993,231300,463.739349
"2021-08-05",467.369995,470.73999,459.619995,463.480011,362400,460.806396
"2021-08-06",458.380005,462.779999,455.529999,461.790009,218500,459.126129
"2021-08-09",461.790009,464.359985,454.380005,459.769989,203500,457.117767
"2021-08-10",462.940002,462.940002,452.98999,458.380005,255600,455.73584
"2021-08-11",459.450012,460.769989,450.829987,459.230011,187500,456.580933
"2021-08-12",456.079987,463.329987,450.410004,462.339996,270100,459.672943
"2021-08-13",460.799988,468.089996,460.410004,464.850006,168600,462.168488
"2021-08-16",462.100006,465.01001,454.149994,458.529999,263900,455.884949
"2021-08-17",453.839996,455.350006,443.309998,452.670013,332400,450.058777
"2021-08-18",452.820007,462.959991,449,457.910004,336400,455.268524
"2021-08-19",453.160004,472.339996,452.51001,467.220001,274800,464.524841
"2021-08-20",469.23999,477.630005,467.570007,476.170013,356500,473.423187
"2021-08-23",478.369995,486.670013,478.149994,485.179993,388300,482.381195
"2021-08-24",487.160004,491.329987,484.519989,485.329987,240200,482.530334
"2021-08-25",485.109985,490.980011,476.660004,483.269989,353700,480.482178
"2021-08-26",482.600006,490.790009,481.140015,487.220001,394700,484.409454
"2021-08-27",486.910004,496.809998,484.929993,494.959991,280100,492.104797
"2021-08-30",498.459991,504.549988,492.579987,502.940002,233900,500.038788
"2021-08-31",504.109985,504.109985,492.890015,494.929993,390200,492.074951
"2021-09-01",498.51001,501.549988,494.170013,496.089996,256200,493.228241
"2021-09-02",499.899994,504.029999,496.98999,498.019989,297200,495.147125
"2021-09-03",497.820007,503.779999,496.549988,502.130005,244000,499.233459
"2021-09-07",501.130005,505.820007,495.679993,497.359985,308900,494.490906
"2021-09-08",495.459991,496.51001,488.950012,492.059998,279400,489.221497
"2021-09-09",492.75,495.279999,487.679993,488.329987,438500,485.513031
"2021-09-10",493.98999,505.140015,490.190002,494.019989,304700,491.170227
"2021-09-13",497.130005,497.549988,482.470001,489.380005,300400,486.557007
"2021-09-14",491.880005,497.130005,486.820007,495.459991,283800,492.601898
"2021-09-15",495.630005,497.440002,489.929993,495.98999,392900,493.128815
"2021-09-16",491.079987,500.76001,490.619995,498.829987,411800,495.952454
"2021-09-17",496.089996,503.459991,488.640015,497.519989,811300,494.650024
"2021-09-20",487.040009,489.950012,480.170013,488.619995,500200,485.801361
"2021-09-21",492.209991,495.950012,485.570007,492.670013,328300,489.828003
"2021-09-22",495.790009,508.480011,493.230011,507.929993,339300,504.999969
"2021-09-23",507.929993,521.669983,504.209991,517.75,374400,514.763306
"2021-09-24",518.599976,521.400024,512.210022,517.919983,201300,514.932373
"2021-09-27",513.099976,516.130005,505.420013,509.140015,181000,506.202972
"2021-09-28",498.700012,500.549988,487.470001,490.190002,374900,487.362305
"2021-09-29",492.51001,497.01001,482.609985,484.609985,340300,482.404968
"2021-09-30",491.359985,494.079987,483.950012,484.679993,365500,482.47467
"2021-10-01",487.230011,490.119995,467.690002,483.079987,383800,480.881927
"2021-10-04",480,482.790009,461.220001,464.01001,397700,461.898712
"2021-10-05",468.540009,470.98999,461.540009,469.51001,586700,467.373718
"2021-10-06",463.850006,469.700012,460.23999,466.820007,249500,464.695953
"2021-10-07",472.869995,479.019989,471.850006,472.200012,221900,470.051483
"2021-10-08",473.179993,476.049988,467.299988,468.720001,260200,466.587311
"2021-10-11",465.269989,472.959991,460.179993,460.829987,186800,458.733185
"2021-10-12",464.859985,466.230011,459.109985,461.690002,243600,459.589294
"2021-10-13",467.320007,469.470001,461.700012,465.970001,248700,463.849792
"2021-10-14",472.859985,480.130005,472.859985,480.059998,222800,477.875671
"2021-10-15",483.049988,487.73999,480.359985,481.040009,231500,478.851196
"2021-10-18",479.149994,493.440002,478.100006,490.320007,274700,488.08902
"2021-10-19",492.100006,497.209991,490.779999,496.070007,172300,493.812836
"2021-10-20",494.98999,501.649994,494.51001,500.970001,212500,498.690521
"2021-10-21",501.119995,517.780029,500.459991,517.5,265500,515.145325
"2021-10-22",519.469971,526.090027,510.809998,510.950012,316900,508.625122
"2021-10-25",512.630005,525.929993,509.230011,522.809998,227700,520.431152
"2021-10-26",523.700012,529.47998,520.26001,523.320007,182000,520.938782
"2021-10-27",521.5,532.409973,520.48999,525,301000,522.611206
"2021-10-28",528.929993,551.5,521.099976,549.710022,432100,547.20874
"2021-10-29",512.359985,527.150024,500.059998,525.460022,626700,523.069092
"2021-11-01",527.299988,534.98999,518.659973,529.280029,394500,526.871704
"2021-11-02",529.27002,536.599976,521.080017,535.97998,318300,533.54126
"2021-11-03",539,541.25,530.780029,539.059998,266200,536.607239
"2021-11-04",542.549988,547.530029,529.52002,535.070007,700900,532.635437
"2021-11-05",540,549.359985,535,546.280029,373900,543.794434
"2021-11-08",550.859985,556.679993,544.390015,548.349976,244900,545.854919
"2021-11-09",549.919983,554.659973,540.030029,553.469971,297000,550.951599
"2021-11-10",547.359985,552.380005,533,537.599976,209800,535.15387
"2021-11-11",543.72998,555.799988,540.330017,554.590027,193300,552.066528
"2021-11-12",556,563.289978,546.669983,561.77002,248300,559.213928
"2021-11-15",565,565,556.140015,562.960022,197500,560.398438
"2021-11-16",561.320007,576.700012,560.25,575.969971,222600,573.349243
"2021-11-17",576.190002,576.190002,561.159973,563.549988,244000,560.985779
"2021-11-18",568.450012,569.070007,557.02002,560.950012,223400,558.397644
"2021-11-19",560.48999,572.919983,559.830017,570.590027,267900,567.993774
"2021-11-22",572.309998,580,557.289978,557.859985,239500,555.321716
"2021-11-23",564.030029,564.030029,539.23999,545.840027,303700,543.356384
"2021-11-24",538.349976,552.919983,531.359985,552.580017,269800,550.065674
"2021-11-26",545.559998,556.340027,530.75,535.02002,195100,532.585632
"2021-11-29",544.809998,566.299988,542.309998,564.320007,294000,561.752319
"2021-11-30",562.400024,562.48999,542.929993,553.460022,397400,550.941711
"2021-12-01",563.349976,573.599976,554,555.200012,303200,552.673828
"2021-12-02",552.77002,562.039978,546.98999,554.460022,264800,551.937134
"2021-12-03",559.179993,564.840027,534.280029,544.619995,200900,542.141907
"2021-12-06",544.969971,544.969971,497.429993,510.220001,591000,507.898438
"2021-12-07",523.340027,541.679993,522.880005,538.780029,392500,536.328552
"2021-12-08",535.700012,544.200012,528.27002,539.01001,227000,536.557434
"2021-12-09",536.830017,548.48999,513.27002,515.590027,452000,513.24408
"2021-12-10",523.02002,530.690002,498.75,503.410004,505400,501.119446
"2021-12-13",508.209991,513.099976,479.73999,480.01001,695500,477.825928
"2021-12-14",478.059998,482.320007,468.209991,477.920013,514700,475.745422
"2021-12-15",480.399994,491.290009,466.230011,490.399994,525300,488.16864
"2021-12-16",491.559998,495.309998,470.649994,475.5,432900,473.336426
"2021-12-17",478.279999,490.350006,470.809998,482.98999,736000,480.792328
"2021-12-20",474.350006,483.820007,471.640015,477.480011,398500,475.307434
"2021-12-21",484.700012,487.950012,474.660004,485.450012,260300,483.24118
"2021-12-22",484.660004,494.279999,483.549988,492.799988,208000,490.557709
"2021-12-23",492,495.829987,491.609985,495.600006,236000,493.345001
"2021-12-27",499.959991,513.47998,499.359985,511.089996,194500,508.764496
"2021-12-28",513.650024,513.650024,497.549988,498.079987,157800,495.81369
"2021-12-29",498.820007,503.130005,496.230011,498.320007,147600,496.052612
"2021-12-30",500.48999,500.910004,490.459991,491.5,175100,489.853455
"2021-12-31",491.850006,498.029999,490.609985,493.329987,166300,491.677307
"2022-01-03",491.790009,497,486,494.850006,300800,493.19223
"2022-01-04",499.25,504.170013,475.190002,491.25,328400,489.604309
"2022-01-05",487.440002,488.839996,460.410004,460.529999,473700,458.987213
"2022-01-06",460.429993,468.670013,449.410004,465.609985,387700,464.050171
"2022-01-07",464.450012,469.809998,444.190002,444.690002,411200,443.200287
"2022-01-10",438,450.290009,426.179993,449.329987,441300,447.824707
"2022-01-11",452.440002,454.709991,437.980011,452.51001,448100,450.99408
"2022-01-12",457.959991,463.730011,444.970001,448.910004,359600,447.406128
"2022-01-13",453.230011,455.73999,433.019989,433.609985,309600,432.157349
"2022-01-14",428.049988,440,427.220001,438.179993,462500,436.712067
"2022-01-18",428.690002,430.899994,415.899994,416.350006,363700,414.9552
