"","BA.Open","BA.High","BA.Low","BA.Close","BA.Volume","BA.Adjusted"
"2021-01-20",213.240005,215.589996,211.210007,211.449997,9727000,211.449997
"2021-01-21",211.720001,211.929993,206.339996,207.410004,11091300,207.410004
"2021-01-22",205.550003,206.699997,204.270004,205.839996,7514600,205.839996
"2021-01-25",203.270004,203.800003,199.300003,203.360001,14276200,203.360001
"2021-01-26",205.339996,208.350006,201.789993,202.059998,11011800,202.059998
"2021-01-27",196.899994,199.470001,191.850006,194.029999,20948500,194.029999
"2021-01-28",198.050003,200.419998,196,197.229996,10403200,197.229996
"2021-01-29",198.300003,201.570007,193.119995,194.190002,13683700,194.190002
"2021-02-01",196,197.380005,192.860001,195.839996,9061900,195.839996
"2021-02-02",198.979996,203.029999,198.089996,200.940002,11130600,200.940002
"2021-02-03",202,208.160004,201.259995,207.389999,11836900,207.389999
"2021-02-04",209.869995,212.479996,208.020004,210.639999,11869900,210.639999
"2021-02-05",212.25,213.199997,206.660004,207.929993,9546100,207.929993
"2021-02-08",209.550003,211.990005,208.300003,211.949997,11182100,211.949997
"2021-02-09",210.600006,216.729996,208.899994,215.119995,13615700,215.119995
"2021-02-10",215.649994,217.490005,211.119995,211.919998,11510700,211.919998
"2021-02-11",212.240005,213.990005,208.570007,210.660004,7140200,210.660004
"2021-02-12",210.360001,213.160004,209.669998,210.979996,6010800,210.979996
"2021-02-16",213.080002,217.399994,212.330002,217.179993,10171100,217.179993
"2021-02-17",215.520004,218.710007,212.679993,215.520004,9276000,215.520004
"2021-02-18",213.449997,214.339996,208.080002,208.479996,9121300,208.479996
"2021-02-19",209.970001,217.639999,209.149994,217.470001,12415300,217.470001
"2021-02-22",211.889999,220.389999,210.800003,212.880005,21413700,212.880005
"2021-02-23",214.149994,214.75,206.600006,212.119995,15996700,212.119995
"2021-02-24",212.100006,229.610001,211.600006,229.339996,30709300,229.339996
"2021-02-25",227.800003,228.5,214.710007,216.449997,19283000,216.449997
"2021-02-26",218.509995,220.660004,211.289993,212.009995,12838400,212.009995
"2021-03-01",219.600006,226.979996,219.020004,224.389999,18735400,224.389999
"2021-03-02",224.789993,227.190002,222.149994,223.139999,11114400,223.139999
"2021-03-03",226.360001,235.399994,225.039993,228.559998,30426000,228.559998
"2021-03-04",232.729996,237.100006,218.699997,224.710007,26645100,224.710007
"2021-03-05",229.009995,229.919998,213.800003,223.220001,20026600,223.220001
"2021-03-08",226.669998,229.889999,223.710007,224.029999,13836800,224.029999
"2021-03-09",226.809998,234.059998,222.580002,230.610001,21001200,230.610001
"2021-03-10",233.809998,246.800003,232.880005,245.339996,27753400,245.339996
"2021-03-11",248.770004,256.649994,246.550003,252,30139200,252
"2021-03-12",253.860001,269.720001,253.5,269.190002,35264300,269.190002
"2021-03-15",274.149994,278.570007,264.329987,265.630005,34816700,265.630005
"2021-03-16",263.230011,264.170013,254.020004,255.210007,28785800,255.210007
"2021-03-17",254.699997,263.609985,253.679993,263.589996,23785500,263.589996
"2021-03-18",261.320007,267.369995,254.729996,256.059998,24595500,256.059998
"2021-03-19",257.75,258.880005,251.309998,255.820007,17330800,255.820007
"2021-03-22",255.820007,257.670013,250.160004,251.229996,15230000,251.229996
"2021-03-23",249.259995,251.300003,239.429993,241.25,21358200,241.25
"2021-03-24",243.75,248.800003,239.059998,239.240005,24055100,239.240005
"2021-03-25",234.339996,247.580002,231.699997,247.190002,27553600,247.190002
"2021-03-26",249.619995,250.899994,240.300003,244.869995,17157100,244.869995
"2021-03-29",251.300003,254.710007,248.029999,250.520004,22198800,250.520004
"2021-03-30",251.240005,253.5,248.910004,252.009995,12577300,252.009995
"2021-03-31",254.699997,257.880005,253.360001,254.720001,14138500,254.720001
"2021-04-01",256.670013,257.880005,251.309998,252.960007,10934500,252.960007
"2021-04-05",256.559998,260.480011,256.25,259.359985,13750300,259.359985
"2021-04-06",257.209991,259.350006,254.660004,255.169998,11180300,255.169998
"2021-04-07",255.309998,255.899994,250.830002,252.580002,9925700,252.580002
"2021-04-08",251.699997,254.949997,249.309998,254.949997,9899900,254.949997
"2021-04-09",250.509995,252.839996,249.440002,252.360001,12255900,252.360001
"2021-04-12",250.570007,251.550003,246.289993,249.520004,10383600,249.520004
"2021-04-13",248.330002,254.490005,246.100006,253.270004,15901400,253.270004
"2021-04-14",255.320007,258.369995,251.279999,252.429993,12661800,252.429993
"2021-04-15",253.559998,254.119995,249.429993,251.110001,9479000,251.110001
"2021-04-16",252,253.050003,246.229996,248.179993,14606000,248.179993
"2021-04-19",247,247,242.220001,244.149994,9249300,244.149994
"2021-04-20",241.029999,241.089996,232.339996,234.059998,19483600,234.059998
"2021-04-21",232.220001,236.759995,230.220001,235.919998,12847000,235.919998
"2021-04-22",235.960007,239.649994,233.380005,234.330002,13854400,234.330002
"2021-04-23",233.889999,238.580002,233.110001,238.380005,11533100,238.380005
"2021-04-26",240.240005,244.649994,240.100006,241.440002,10599600,241.440002
"2021-04-27",241.880005,243.490005,239.410004,242.470001,10583300,242.470001
"2021-04-28",239,239.649994,232.850006,235.460007,19054100,235.460007
"2021-04-29",237,237.679993,231.800003,235.940002,12296100,235.940002
"2021-04-30",233.679993,236.770004,232.699997,234.309998,10380400,234.309998
"2021-05-03",234.110001,237.100006,233.809998,235.190002,9887800,235.190002
"2021-05-04",235.75,236.649994,225.649994,233.630005,17807200,233.630005
"2021-05-05",232.449997,233.490005,227.559998,228.179993,14913500,228.179993
"2021-05-06",229.300003,231.169998,226.550003,229.809998,11857100,229.809998
"2021-05-07",229.800003,235.910004,227.990005,235.470001,12823000,235.470001
"2021-05-10",236.839996,241.100006,232.5,232.929993,14813900,232.929993
"2021-05-11",226.559998,230.130005,223.850006,228.880005,16273200,228.880005
"2021-05-12",227.25,229.740005,220.630005,220.779999,14931200,220.779999
"2021-05-13",223,229.270004,219.070007,222.639999,16503400,222.639999
"2021-05-14",225.990005,228.809998,224.350006,228.470001,10162400,228.470001
"2021-05-17",226.240005,228.259995,223.580002,227.979996,9559300,227.979996
"2021-05-18",227.25,232.270004,226.429993,227.550003,10081100,227.550003
"2021-05-19",223.179993,225.119995,220.279999,224.419998,13162700,224.419998
"2021-05-20",225.130005,228.440002,223.770004,227.649994,9218900,227.649994
"2021-05-21",232.899994,236.300003,231.389999,234.820007,16579000,234.820007
"2021-05-24",235.139999,238.5,232.600006,237.440002,10106000,237.440002
"2021-05-25",240,243.779999,239.229996,240.740005,12908000,240.740005
"2021-05-26",241.699997,242.490005,239.869995,241.369995,7240200,241.369995
"2021-05-27",248.110001,252.600006,247.190002,250.699997,18404400,250.699997
"2021-05-28",247.479996,248.979996,245.369995,247.020004,11197400,247.020004
"2021-06-01",253,255.639999,251.520004,254.729996,13562800,254.729996
"2021-06-02",255.600006,258.399994,254.619995,255.619995,10820400,255.619995
"2021-06-03",252.979996,254.800003,249.690002,250.320007,10402000,250.320007
"2021-06-04",251.509995,251.800003,248.490005,249.919998,8799000,249.919998
"2021-06-07",251.5,253.199997,248.809998,252.660004,10606000,252.660004
"2021-06-08",256.26001,256.309998,250,252.759995,15113900,252.759995
"2021-06-09",251.199997,253.169998,247.910004,248.059998,10693200,248.059998
"2021-06-10",251.720001,255.139999,248.100006,248.339996,14519200,248.339996
"2021-06-11",250.350006,251.119995,245.779999,247.279999,9934200,247.279999
"2021-06-14",246.440002,249.199997,244.399994,245.139999,9344400,245.139999
"2021-06-15",245.360001,248.509995,244.940002,246.539993,10630900,246.539993
"2021-06-16",245.25,246.059998,241.550003,242.270004,10529200,242.270004
"2021-06-17",241.960007,243.5,237.330002,239.220001,10774400,239.220001
"2021-06-18",237.789993,239.309998,235.800003,237.350006,11965000,237.350006
"2021-06-21",238.660004,245.619995,237.25,245.279999,15301800,245.279999
"2021-06-22",244.5,244.630005,241.080002,243.779999,10042500,243.779999
"2021-06-23",244.800003,246.869995,243.169998,243.570007,9874700,243.570007
"2021-06-24",245.199997,250.740005,243.699997,250.570007,13755600,250.570007
"2021-06-25",250.75,252.300003,248.25,248.380005,9625800,248.380005
"2021-06-28",244.729996,245.080002,238.880005,239.960007,18152000,239.960007
"2021-06-29",243.740005,244.369995,235.660004,235.759995,16743900,235.759995
"2021-06-30",236.240005,241.169998,236,239.559998,12089100,239.559998
"2021-07-01",240.360001,241.800003,238.610001,239.729996,9516200,239.729996
"2021-07-02",239.550003,240.110001,233.470001,236.679993,15706600,236.679993
"2021-07-06",236.850006,237.169998,233.470001,236.139999,11045800,236.139999
"2021-07-07",235.169998,238.009995,230.520004,231.779999,11497000,231.779999
"2021-07-08",227.479996,237.470001,226.160004,236.770004,17964300,236.770004
"2021-07-09",237.770004,240.380005,236.220001,239.589996,12385400,239.589996
"2021-07-12",237.990005,240.770004,236.460007,238.289993,9071500,238.289993
"2021-07-13",232.270004,234.490005,228.160004,228.199997,21029500,228.199997
"2021-07-14",229.020004,230.520004,224.300003,224.449997,12137000,224.449997
"2021-07-15",222.880005,226.669998,220.800003,222.759995,12228600,222.759995
"2021-07-16",223.110001,224,217.029999,217.740005,12413400,217.740005
"2021-07-19",211.179993,211.550003,204.800003,206.990005,24123600,206.990005
"2021-07-20",208.100006,217.369995,206.619995,217.149994,17027300,217.149994
"2021-07-21",219.5,224.089996,218.899994,222.539993,11437600,222.539993
"2021-07-22",221.520004,222.25,218.309998,220.869995,9768900,220.869995
"2021-07-23",222.970001,224.630005,220.940002,221.520004,9379500,221.520004
"2021-07-26",220,226.119995,219.889999,225.850006,8933200,225.850006
"2021-07-27",223.169998,225.699997,220.419998,222.270004,8784200,222.270004
"2021-07-28",234.050003,237.490005,231.330002,231.570007,19330500,231.570007
"2021-07-29",233.690002,234.820007,231.119995,231.630005,8667900,231.630005
"2021-07-30",229.389999,231.179993,225.399994,226.479996,9940100,226.479996
"2021-08-02",227.190002,230.470001,224.869995,225.339996,8889100,225.339996
"2021-08-03",225.899994,229.100006,221.300003,229.089996,7326400,229.089996
"2021-08-04",226.419998,232.350006,225.330002,226.630005,9756300,226.630005
"2021-08-05",226.679993,231.539993,226.490005,229.940002,8362600,229.940002
"2021-08-06",231.550003,233.570007,230.419998,231.330002,6061900,231.330002
"2021-08-09",229,233.570007,226.889999,232.270004,8358600,232.270004
"2021-08-10",231.970001,236.850006,231.619995,235.779999,9603500,235.779999
"2021-08-11",236.610001,239.589996,234.580002,239.490005,9664000,239.490005
"2021-08-12",240,241.149994,236.509995,238.179993,6810000,238.179993
"2021-08-13",238.009995,239.690002,234.279999,234.460007,6390300,234.460007
"2021-08-16",231.899994,232.029999,227.139999,229.059998,7622000,229.059998
"2021-08-17",226.199997,226.240005,219.800003,222.220001,13124000,222.220001
"2021-08-18",221.729996,223.649994,218.899994,219,9000900,219
"2021-08-19",216.300003,218.300003,211.729996,212.160004,11404400,212.160004
"2021-08-20",212.309998,214.740005,210.940002,212.669998,9335700,212.669998
"2021-08-23",215.830002,220.179993,215.380005,219.399994,10392100,219.399994
"2021-08-24",220.110001,223.100006,219.800003,221.429993,8942600,221.429993
"2021-08-25",221.5,222.300003,219.100006,221.029999,6528900,221.029999
"2021-08-26",221.410004,222.899994,215.910004,216.5,8341400,216.5
"2021-08-27",217.470001,222.429993,216.860001,221.75,7684900,221.75
"2021-08-30",222.350006,222.369995,217.529999,217.660004,7587800,217.660004
"2021-08-31",217.330002,221.330002,217.089996,219.5,6764500,219.5
"2021-09-01",220,221.759995,217.619995,218.119995,7157400,218.119995
"2021-09-02",218.949997,223.839996,218.080002,220.830002,8899500,220.830002
"2021-09-03",219.449997,221.179993,217.460007,218.169998,6393500,218.169998
"2021-09-07",215.910004,216.710007,212.169998,214.240005,13196100,214.240005
"2021-09-08",213.600006,216.080002,210.509995,211.380005,8877600,211.380005
"2021-09-09",211.149994,216.610001,210.720001,213.940002,9242800,213.940002
"2021-09-10",215.160004,215.889999,210.119995,210.300003,6959700,210.300003
"2021-09-13",211.350006,215.639999,209.880005,214.479996,10175900,214.479996
"2021-09-14",215.839996,216.110001,210.710007,211.570007,9947000,211.570007
"2021-09-15",211.789993,214.350006,210.320007,214.220001,7916300,214.220001
"2021-09-16",213.960007,216.309998,213.309998,213.360001,6370900,213.360001
"2021-09-17",213.119995,215.369995,211.910004,213.360001,7932700,213.360001
"2021-09-20",210.809998,212.429993,206.529999,209.5,10567400,209.5
"2021-09-21",210.25,211.759995,207.720001,208.509995,7139000,208.509995
"2021-09-22",210,217.990005,209.649994,216.979996,10953000,216.979996
"2021-09-23",217.809998,222.619995,217.149994,221.100006,9344600,221.100006
"2021-09-24",219.130005,222.410004,218.660004,221.389999,6498200,221.389999
"2021-09-27",224,228.600006,223.880005,224.160004,9749200,224.160004
"2021-09-28",222.899994,224.580002,216.419998,218.410004,9639800,218.410004
"2021-09-29",227.800003,229.940002,224.860001,225.360001,16808000,225.360001
"2021-09-30",226.080002,226.149994,219.460007,219.940002,10366900,219.940002
"2021-10-01",222.850006,226.720001,220.600006,226,9113600,226
"2021-10-04",225.679993,227.970001,222,223.789993,6946100,223.789993
"2021-10-05",224.270004,226.449997,222.419998,224.419998,5687300,224.419998
"2021-10-06",221.080002,225.070007,219.199997,224.990005,7157600,224.990005
"2021-10-07",227.339996,229,225.899994,226.479996,7748500,226.479996
"2021-10-08",226.75,228.710007,225.399994,226.389999,4515000,226.389999
"2021-10-11",226.5,232.100006,225.320007,226.449997,7287000,226.449997
"2021-10-12",226,228.660004,223.119995,223.570007,8486800,223.570007
"2021-10-13",224,224.300003,219.360001,221.779999,8240200,221.779999
"2021-10-14",221.070007,222.179993,217.039993,217.440002,10427300,217.440002
"2021-10-15",218.169998,219.610001,216.279999,217.039993,8773400,217.039993
"2021-10-18",216,217.279999,214.050003,216.979996,6553500,216.979996
"2021-10-19",217.470001,217.660004,215.279999,215.970001,5963400,215.970001
"2021-10-20",215.490005,218.660004,214.350006,216.169998,8485200,216.169998
"2021-10-21",216.539993,218.110001,213.809998,214.339996,8691500,214.339996
"2021-10-22",214.600006,216.720001,212.580002,212.970001,7077600,212.970001
"2021-10-25",213.25,213.979996,211.699997,212.869995,7239100,212.869995
"2021-10-26",213.190002,214.850006,208.179993,209.809998,11014500,209.809998
"2021-10-27",212.850006,212.899994,205.639999,206.610001,14761700,206.610001
"2021-10-28",206,208.740005,204.600006,207.850006,8825500,207.850006
"2021-10-29",206.839996,208.240005,205.289993,207.029999,8559500,207.029999
"2021-11-01",207,214.690002,206.809998,214.580002,9284900,214.580002
"2021-11-02",213.830002,215.720001,210.699997,212.770004,6160200,212.770004
"2021-11-03",211.470001,213.759995,210.869995,213.380005,4636100,213.380005
"2021-11-04",213.800003,214.820007,211.869995,213.029999,5849600,213.029999
"2021-11-05",217.699997,224.580002,217.699997,224.460007,16936300,224.460007
"2021-11-08",225.240005,226.990005,222.110001,222.679993,9456100,222.679993
"2021-11-09",222.490005,222.850006,217.539993,220.789993,6863700,220.789993
"2021-11-10",219.360001,225.679993,217.270004,218.5,8197600,218.5
"2021-11-11",220.5,222.649994,218.899994,219.380005,6567300,219.380005
"2021-11-12",219.720001,223.75,218.899994,220.960007,6419900,220.960007
"2021-11-15",227.369995,233.940002,226.919998,233.089996,21921900,233.089996
"2021-11-16",232.940002,232.949997,225.509995,225.800003,10120200,225.800003
"2021-11-17",229.539993,231.320007,224.199997,226.619995,10750900,226.619995
"2021-11-18",230.300003,231.5,224.949997,227.25,10983700,227.25
"2021-11-19",225.070007,225.330002,213.229996,214.130005,20844100,214.130005
"2021-11-22",215,215.020004,208.949997,209.899994,10764300,209.899994
"2021-11-23",211.5,212.990005,207.770004,209.130005,8882800,209.130005
"2021-11-24",207.520004,211.220001,206.869995,210.600006,5437600,210.600006
"2021-11-26",197.570007,199.419998,194,199.210007,17636600,199.210007
"2021-11-29",201.869995,204.279999,195.330002,198.5,12276200,198.5
"2021-11-30",196.020004,198.820007,193.850006,197.850006,12638900,197.850006
"2021-12-01",200.809998,201.619995,188,188.190002,13268700,188.190002
"2021-12-02",196.800003,202.539993,192.410004,202.380005,20435400,202.380005
"2021-12-03",198.699997,199.899994,195.419998,198.490005,10742700,198.490005
"2021-12-06",199.770004,206.419998,199.199997,205.880005,11587900,205.880005
"2021-12-07",207.059998,211.649994,206.380005,208.830002,10387900,208.830002
"2021-12-08",209.179993,212.679993,207.710007,211.029999,6986800,211.029999
"2021-12-09",207.529999,208.550003,205.199997,207.559998,7011000,207.559998
"2021-12-10",208.809998,209,203.479996,205.059998,6040000,205.059998
"2021-12-13",202.5,202.809998,195.550003,197.399994,10619600,197.399994
"2021-12-14",195.600006,200.5,195.179993,195.5,8445100,195.5
"2021-12-15",195.279999,196.580002,190.320007,195.429993,10535900,195.429993
"2021-12-16",197,198.320007,190.440002,190.789993,8216800,190.789993
"2021-12-17",190.270004,194.770004,187.880005,192.630005,12618300,192.630005
"2021-12-20",188.110001,190.360001,185.259995,188.479996,10256400,188.479996
"2021-12-21",190.279999,199.690002,190.039993,199.520004,12082300,199.520004
"2021-12-22",199.460007,202.929993,197.940002,201.690002,8145300,201.690002
"2021-12-23",202.130005,205.130005,201.320007,204.220001,7415200,204.220001
"2021-12-27",201.990005,203.429993,199.100006,203.169998,7818900,203.169998
"2021-12-28",202.229996,208.940002,201.649994,206.130005,8879700,206.130005
"2021-12-29",205.360001,205.410004,202.600006,203.660004,6119000,203.660004
"2021-12-30",203,206,202.600006,202.710007,7012600,202.710007
"2021-12-31",202.199997,203.690002,200.029999,201.320007,8053000,201.320007
"2022-01-03",204,210.550003,203.339996,207.860001,9060200,207.860001
"2022-01-04",211.300003,214.559998,209.779999,213.630005,11414600,213.630005
"2022-01-05",216.639999,218.929993,211.809998,213.070007,11564700,213.070007
"2022-01-06",214.639999,216,207.860001,211.339996,7142200,211.339996
