"","ANET.Open","ANET.High","ANET.Low","ANET.Close","ANET.Volume","ANET.Adjusted"
"2020-11-03",60.779999,64.752502,59.811249,62.372501,15318800,62.372501
"2020-11-04",62.125,64.614998,62.002499,63.610001,4462000,63.610001
"2020-11-05",64.059998,64.714996,63.2575,64.25,3917600,64.25
"2020-11-06",63.959999,65.889999,63.647499,65.75,3526800,65.75
"2020-11-09",66.449997,67.627502,65.364998,65.419998,3637600,65.419998
"2020-11-10",64.474998,65.231003,63.9175,64.349998,2958400,64.349998
"2020-11-11",64.75,66.6175,64.4375,66.302498,2221600,66.302498
"2020-11-12",65.932503,67.309998,65.653748,66.772499,1967600,66.772499
"2020-11-13",67.779999,68.580002,66.787498,68.464996,2415200,68.464996
"2020-11-16",68.75,69.047501,67.537498,68.315002,2586000,68.315002
"2020-11-17",68.025002,69.510002,67.9375,69.445,2632800,69.445
"2020-11-18",69.717499,70.087502,67.952499,68.0075,2360400,68.0075
"2020-11-19",67.970001,68.267502,67.264999,68.217499,1567200,68.217499
"2020-11-20",68.25,68.525002,67.057503,67.125,2070000,67.125
"2020-11-23",66.7425,67.737503,66.252502,67.114998,1922000,67.114998
"2020-11-24",67.614998,68.297501,67.110001,68.077499,2106000,68.077499
"2020-11-25",68.300003,68.68,67.502502,67.637497,1271200,67.637497
"2020-11-27",68.025002,68.431252,67.095001,68.139999,1101200,68.139999
"2020-11-30",68.120003,68.722504,66.845001,67.675003,2987200,67.675003
"2020-12-01",67.5,68.43,67.122498,68.25,1855200,68.25
"2020-12-02",67.75,68.212502,67.402496,67.894997,1654800,67.894997
"2020-12-03",67.627502,68.114998,67.252502,67.422501,1516000,67.422501
"2020-12-04",67.459999,67.977501,67.129997,67.527496,1635200,67.527496
"2020-12-07",67.722504,68.932503,67.362503,68.902496,2476000,68.902496
"2020-12-08",69.487503,72.25,69.392502,70.925003,4558000,70.925003
"2020-12-09",70.822502,71.135002,69.147499,69.397499,1763600,69.397499
"2020-12-10",69.067497,69.577499,68.504997,69.092499,1884000,69.092499
"2020-12-11",69.07,70.25,68.790001,69.334999,2442000,69.334999
"2020-12-14",69.434998,70.8675,68.555,68.620003,2052000,68.620003
"2020-12-15",69.307503,70.074997,69.178749,69.897499,2456800,69.897499
"2020-12-16",71.387497,73.375,71.067497,71.425003,4054400,71.425003
"2020-12-17",71.447502,71.849998,70.5,71.342499,2296000,71.342499
"2020-12-18",71.897499,72.745003,71.172501,71.93,5032800,71.93
"2020-12-21",70.839996,71.860001,69.852501,71.815002,2016000,71.815002
"2020-12-22",71.777496,73.029999,71.743752,72.705002,2620400,72.705002
"2020-12-23",72.527496,73.102501,71.597504,71.622498,1344000,71.622498
"2020-12-24",72.172501,72.345001,71.4925,72.209999,407200,72.209999
"2020-12-28",73.055,73.445,72.652496,72.735001,1826800,72.735001
"2020-12-29",72.947502,73.125,71.675003,71.875,1045600,71.875
"2020-12-30",72.324997,73.195,72.012497,72.239998,1333600,72.239998
"2020-12-31",72.5,72.712502,71.904999,72.642502,1241600,72.642502
"2021-01-04",72.690002,72.900002,70.107498,70.790001,3256800,70.790001
"2021-01-05",70.957497,71.980003,70.957497,71.502502,2236000,71.502502
"2021-01-06",72.872498,73.0625,71.022499,71.467499,2918000,71.467499
"2021-01-07",73.237503,74.044998,72.511253,73.9925,3533200,73.9925
"2021-01-08",74.440002,76.805,74.332497,76.529999,4416800,76.529999
"2021-01-11",75.592499,76.055,75.137497,75.739998,2084400,75.739998
"2021-01-12",75.739998,79.222504,75.669998,79.07,3714000,79.07
"2021-01-13",78.290001,78.536247,77.073753,77.407501,1781200,77.407501
"2021-01-14",78.002502,80.063751,77.699997,78.275002,2269200,78.275002
"2021-01-15",78.375,79.885002,77.406998,79.267502,2949600,79.267502
"2021-01-19",79.709999,79.75,78.065002,79.489998,1905200,79.489998
"2021-01-20",80.084999,80.084999,78.303749,78.612503,1590800,78.612503
"2021-01-21",78.839996,79.247498,77.213997,77.915001,1696400,77.915001
"2021-01-22",77.772499,78.123749,76.967499,77.802498,1894000,77.802498
"2021-01-25",78.940002,79.025002,76.567253,76.922501,1986800,76.922501
"2021-01-26",77.2425,77.307503,76.302498,76.75,2335600,76.75
"2021-01-27",76.235001,77.199997,75.207497,76.422501,5153200,76.422501
"2021-01-28",76.209999,77.709999,75.797501,77.342499,2552000,77.342499
"2021-01-29",77.195,78.849998,76.541252,76.889999,2772800,76.889999
"2021-02-01",77.5,79.885002,77.480003,79.050003,2410400,79.050003
"2021-02-02",79.5,80.092499,78.692497,79.107498,1804800,79.107498
"2021-02-03",79.3125,79.712502,78.425003,79.190002,1574800,79.190002
"2021-02-04",79.25,80.035004,78.555,79.995003,1499200,79.995003
"2021-02-05",80.349998,80.958748,79.800003,80.477501,2062800,80.477501
"2021-02-08",80.822502,81.168251,79.647499,80.022499,1320400,80.022499
"2021-02-09",80.059998,80.277,79.495003,79.997498,1307600,79.997498
"2021-02-10",80.425003,80.425003,78.639999,79.637497,2095200,79.637497
"2021-02-11",79.815002,79.989998,78.57,79.512497,1597600,79.512497
"2021-02-12",79.612503,80.879997,78.837502,80.827499,1816400,80.827499
"2021-02-16",81.25,81.550003,79.522499,79.665001,1660400,79.665001
"2021-02-17",78.889999,79.1175,76.760002,78.052498,1953200,78.052498
"2021-02-18",77.044998,77.893753,76.337502,77.212502,2479600,77.212502
"2021-02-19",81.25,81.650002,76.427498,77.737503,5669600,77.737503
"2021-02-22",76.897499,76.987503,72.871246,73.040001,5592800,73.040001
"2021-02-23",69.724998,72.209999,67.565002,71.769997,5636400,71.769997
"2021-02-24",70.925003,72.307503,70,71.589996,2120800,71.589996
"2021-02-25",71.712502,72.077499,69.769997,70.065002,2345600,70.065002
"2021-02-26",70.517502,71.177498,69.352501,69.959999,2575200,69.959999
"2021-03-01",70.625,72.264999,70.580002,71.985001,2034800,71.985001
"2021-03-02",72.055,72.072502,70.635002,71.074997,2496800,71.074997
"2021-03-03",71.205002,71.205002,69.324997,69.735001,2085200,69.735001
"2021-03-04",69.3675,69.917503,66.317497,67.815002,3415600,67.815002
"2021-03-05",67.977501,68.639999,65.519997,68.264999,3166400,68.264999
"2021-03-08",68.169998,69.277496,66.934998,66.957497,2003200,66.957497
"2021-03-09",67.692497,69.707497,67.639999,69.0075,1831200,69.0075
"2021-03-10",69.907501,70,68,68.022499,2179200,68.022499
"2021-03-11",69.5075,69.900002,68.75,68.894997,1908000,68.894997
"2021-03-12",68.955002,70.165001,68.502502,69.902496,2086800,69.902496
"2021-03-15",70.222504,72.192497,70.222504,71.657501,1925200,71.657501
"2021-03-16",71.904999,72.190002,71.144997,71.7575,1709600,71.7575
"2021-03-17",70.849998,72.852501,70.372498,72.332497,2476400,72.332497
"2021-03-18",71.32,72.25,70.904999,70.949997,2102400,70.949997
"2021-03-19",71.232498,72.150002,70.532501,71.305,3767600,71.305
"2021-03-22",71.282501,73.152496,71,72.5625,2330800,72.5625
"2021-03-23",72.559998,72.982498,71.097504,71.502502,1614800,71.502502
"2021-03-24",71.627502,72.43,71.103752,71.114998,1570000,71.114998
"2021-03-25",70.997498,73.025002,70.547501,73,2317200,73
"2021-03-26",73.532501,77.849998,73.15625,77.817497,3569600,77.817497
"2021-03-29",77.637497,78.824997,76.1175,76.922501,2148000,76.922501
"2021-03-30",76.232498,76.237503,74.4375,74.714996,2960000,74.714996
"2021-03-31",75.087502,76.290001,74.300003,75.472504,1982800,75.472504
"2021-04-01",76.014999,78,75.855003,77.010002,1578400,77.010002
"2021-04-05",77.815002,78.349998,77.012497,77.904999,1583600,77.904999
"2021-04-06",77.502502,77.614998,76.839996,76.967499,1652000,76.967499
"2021-04-07",77.084999,77.334999,76.302498,76.955002,1090800,76.955002
"2021-04-08",77.720001,77.892502,76.464996,77.8125,1070000,77.8125
"2021-04-09",78.027496,78.910004,77.703751,78.887497,1223200,78.887497
"2021-04-12",78.75,79.114998,77.841248,78.502502,1282400,78.502502
"2021-04-13",79.160004,80.247498,78.422501,78.582497,1445600,78.582497
"2021-04-14",78.472504,79.035004,77.863747,78.1175,907600,78.1175
"2021-04-15",78.557503,78.739998,77.620003,78.709999,1140000,78.709999
"2021-04-16",78.959999,79.440002,78.557503,79.167503,845200,79.167503
"2021-04-19",79.212502,79.512497,78.596252,78.702499,1014800,78.702499
"2021-04-20",78.2425,78.379997,77.042503,77.3825,1329200,77.3825
"2021-04-21",77.845001,79.1175,77.402496,79.105003,820800,79.105003
"2021-04-22",78.93,79.082497,77.800003,78.207497,1732800,78.207497
"2021-04-23",78.75,79.904999,78.608749,79.660004,1035200,79.660004
"2021-04-26",79.652496,80.686752,79.552498,80.267502,1350000,80.267502
"2021-04-27",80.567497,80.567497,79.324997,79.754997,1202800,79.754997
"2021-04-28",79.995003,80.217499,79.324997,80.190002,1053200,80.190002
"2021-04-29",80.012497,80.847504,79.165001,80.627502,1653600,80.627502
"2021-04-30",80.07,80.279999,78.629997,78.792503,2153600,78.792503
"2021-05-03",78.955002,79.620003,77.849998,78.677498,1485600,78.677498
"2021-05-04",77.577499,77.870003,75.650002,76.385002,2336000,76.385002
"2021-05-05",79.102501,80.614998,77.300003,79.184998,3065600,79.184998
"2021-05-06",79,81.879997,79,81.815002,2795200,81.815002
"2021-05-07",82.372498,82.75,81.387497,82.129997,1881200,82.129997
"2021-05-10",82.5,82.962502,81.050003,81.550003,1875600,81.550003
"2021-05-11",80.099998,82.190002,79.807503,81.684998,2459200,81.684998
"2021-05-12",80.684998,80.916252,78.660004,78.942497,1504400,78.942497
"2021-05-13",79.642502,80.262497,78.332497,79.470001,1660800,79.470001
"2021-05-14",80.412498,82.1875,79.934998,81.595001,1497600,81.595001
"2021-05-17",81.142502,81.805,80.852501,81.447502,850400,81.447502
"2021-05-18",81.807503,82.330002,81.213753,81.419998,1068400,81.419998
"2021-05-19",80.32,81.397499,79.625,80.892502,1244800,80.892502
"2021-05-20",81.120003,84.650002,80.43,83.982498,2140000,83.982498
"2021-05-21",83.202499,84.272499,81.910004,83.032501,1764000,83.032501
"2021-05-24",83.75,84.897499,83.540001,84.114998,1048000,84.114998
"2021-05-25",84.222504,85.099998,84.172501,84.574997,1142400,84.574997
"2021-05-26",84.5,85.147499,83.962502,84.614998,1051600,84.614998
"2021-05-27",84.82,85.057503,84.217499,84.279999,1624800,84.279999
"2021-05-28",85,85.397499,84.642502,84.845001,1131600,84.845001
"2021-06-01",84.657501,84.881248,83.672501,83.717499,1200400,83.717499
"2021-06-02",84.017502,84.017502,82.940002,83.542503,1976800,83.542503
"2021-06-03",83.525002,86.372498,83.415001,85.967499,2550000,85.967499
"2021-06-04",86.25,88.050003,86.25,87.580002,1940400,87.580002
"2021-06-07",87.580002,88.139999,87.152496,88.127502,1360400,88.127502
"2021-06-08",88.199997,89.330002,87.82,88.68,1546400,88.68
"2021-06-09",88.985001,90.1175,88.841248,89.932503,1924400,89.932503
"2021-06-10",89.927498,92.352501,89.375,92.290001,2504800,92.290001
"2021-06-11",92.5,92.512497,90.334999,90.997498,2088800,90.997498
"2021-06-14",90.7425,91.272499,90.294998,91.224998,1458000,91.224998
"2021-06-15",91.410004,91.455002,90.142502,90.434998,1176800,90.434998
"2021-06-16",90.6875,92.120003,90.105003,91.964996,1676400,91.964996
"2021-06-17",92.052498,93.622498,91.927498,92.510002,2798800,92.510002
"2021-06-18",91.93,92.415001,90.415001,90.727501,4634000,90.727501
"2021-06-21",91.440002,93.375,90.727501,92.375,1708000,92.375
"2021-06-22",92.150002,92.28875,90.629997,91.087502,2278000,91.087502
"2021-06-23",91.199997,91.654999,90.175003,91.152496,2190000,91.152496
"2021-06-24",92,92.102501,90.297501,90.875,1283600,90.875
"2021-06-25",90.842499,91.040001,90.347504,90.555,2419600,90.555
"2021-06-28",90.627502,90.995003,90.178497,90.705002,1820000,90.705002
"2021-06-29",90.705002,91.056252,90.377502,90.940002,1412400,90.940002
"2021-06-30",90.782501,90.849998,89.357498,90.577499,1504000,90.577499
"2021-07-01",90.847504,91.705002,90.277496,90.847504,1308000,90.847504
"2021-07-02",91.160004,91.842499,90.337502,91.397499,1164400,91.397499
"2021-07-06",92.292503,93.75,91.955002,93.732498,2226000,93.732498
"2021-07-07",93.752502,94.056252,91.1175,93.637497,2454400,93.637497
"2021-07-08",92.474998,93.264999,91.5625,92.540001,2302000,92.540001
"2021-07-09",93.07,94.675003,92.75,94.5075,2066800,94.5075
"2021-07-12",94.362503,94.401001,92.423752,92.724998,1001600,92.724998
"2021-07-13",93.292503,93.708748,92.224998,92.495003,1454000,92.495003
"2021-07-14",92.955002,93.102501,91.376251,92.3125,1115200,92.3125
"2021-07-15",91.941254,92.622498,91.375,92.012497,999600,92.012497
"2021-07-16",92.012497,92.5625,90.762497,90.862503,1262000,90.862503
"2021-07-19",89.745003,91.3125,89.327499,90.529999,1870400,90.529999
"2021-07-20",91.245003,91.245003,90.440002,90.922501,2528000,90.922501
"2021-07-21",91.252502,91.847504,90.360001,91.792503,1725200,91.792503
"2021-07-22",92.597504,93.699997,92.432503,93.342499,2256400,93.342499
"2021-07-23",93.925003,95.264999,93.706253,95.245003,1589600,95.245003
"2021-07-26",95.264999,95.264999,93.474998,94.342499,859200,94.342499
"2021-07-27",94.150002,94.230003,92.327499,93.657501,1147200,93.657501
"2021-07-28",93.75,94.402496,93.333,94.262497,896800,94.262497
"2021-07-29",94.577499,95.852501,94.537498,95.252502,941600,95.252502
"2021-07-30",94.5,95.886253,94.445,95.097504,1438000,95.097504
"2021-08-02",95.25,95.497498,93.904999,94.294998,2573600,94.294998
"2021-08-03",91.120003,95.447502,89.5,94.792503,2964000,94.792503
"2021-08-04",94.900002,96,93.089996,95.529999,1891200,95.529999
"2021-08-05",95.375,95.747498,94.665001,95.150002,1304400,95.150002
"2021-08-06",95.102501,95.102501,94.184998,94.400002,1259600,94.400002
"2021-08-09",94.235001,94.547501,93.425003,93.875,1350400,93.875
"2021-08-10",93.610001,93.957497,92.459999,92.925003,986400,92.925003
"2021-08-11",92.93,92.93,91.75,92.275002,1400800,92.275002
"2021-08-12",92.127502,92.127502,91.175003,91.747498,1412400,91.747498
"2021-08-13",91.684998,91.684998,90.397247,91.017502,1330800,91.017502
"2021-08-16",90.900002,91.584999,90.220001,91.377502,842000,91.377502
"2021-08-17",90.605003,91.330002,90.082497,91.157501,849200,91.157501
"2021-08-18",91.112503,91.577499,90.392502,90.517502,810400,90.517502
"2021-08-19",89.827499,92.153748,89.5,91.709999,1343600,91.709999
"2021-08-20",91.815002,92.637497,91.639999,92.464996,1160800,92.464996
"2021-08-23",92.080002,92.860001,91.892502,92.5625,1653200,92.5625
"2021-08-24",92.93,94.162498,92.642502,94.112503,1614800,94.112503
"2021-08-25",93.9375,94.790001,93.18,93.529999,1467600,93.529999
"2021-08-26",93.75,93.75,92.087502,92.307503,965600,92.307503
"2021-08-27",92.547501,93.724998,91.567497,93.214996,1434400,93.214996
"2021-08-30",93.387497,93.582497,92.362503,93.025002,2197200,93.025002
"2021-08-31",93.345001,93.345001,91.782501,92.3825,1744000,92.3825
"2021-09-01",92.385002,92.385002,89.572502,89.894997,3106400,89.894997
"2021-09-02",90.457497,91.472504,89.605003,90.977501,2089200,90.977501
"2021-09-03",90.592499,91.235001,90.18,90.779999,1816800,90.779999
"2021-09-07",90.6175,90.6175,89.237503,89.864998,2140800,89.864998
"2021-09-08",89.692497,90.525002,89.302498,89.889999,1419200,89.889999
"2021-09-09",90.290001,90.642502,89.489998,89.532501,1320800,89.532501
"2021-09-10",90.275002,90.480003,87.675003,87.730003,1778400,87.730003
"2021-09-13",87.402496,89.599998,86.592499,89.574997,2814800,89.574997
"2021-09-14",90,90.199997,88.5625,89.440002,1617600,89.440002
"2021-09-15",89.445,90.07,88.272499,89.720001,1713600,89.720001
"2021-09-16",90.027496,91.904999,89.887497,91.232498,1868400,91.232498
"2021-09-17",90.5,90.78125,88.842499,89.782501,5412000,89.782501
"2021-09-20",88.892502,89.4925,87.199997,88.4925,1556800,88.4925
"2021-09-21",89.042503,89.057503,87.635002,87.885002,1208800,87.885002
"2021-09-22",88.462502,88.660004,87.425003,87.540001,1781600,87.540001
"2021-09-23",88.184998,89.794998,88.082497,89.477501,1323600,89.477501
"2021-09-24",89.017502,90.32,89.017502,90.037498,838400,90.037498
"2021-09-27",89.625,89.693748,88.376251,89.197502,1097200,89.197502
"2021-09-28",88.415001,88.510002,86.529999,86.644997,1291600,86.644997
"2021-09-29",86.977501,87.345001,86.425003,86.495003,1547600,86.495003
"2021-09-30",87.052498,87.227501,85.847504,85.910004,1571600,85.910004
"2021-10-01",86.25,87.980003,85.18,87.620003,1371200,87.620003
"2021-10-04",87.292503,87.292503,85.383499,85.93,1891600,85.93
"2021-10-05",86.797501,88.897499,86.635002,88.237503,1374400,88.237503
"2021-10-06",87.462502,88.492249,86.290001,88.379997,1096000,88.379997
"2021-10-07",89.434998,91.162498,89.282501,91.029999,2030800,91.029999
"2021-10-08",92.197502,93.989998,91.614998,92.980003,2348800,92.980003
"2021-10-11",93.25,94.792503,92.955002,94.397499,1403600,94.397499
"2021-10-12",94.614998,94.862503,93.540001,93.737503,1082000,93.737503
"2021-10-13",94.224998,96.067497,93.712502,95.972504,1533600,95.972504
"2021-10-14",96.25,98.827499,96.188751,98.807503,1896800,98.807503
"2021-10-15",98.720001,99.127502,97.379997,97.445,1734000,97.445
"2021-10-18",97.5,98.714996,95.775002,95.93,2167200,95.93
"2021-10-19",96.095001,97.440002,95.834999,97.410004,1376400,97.410004
"2021-10-20",97.739998,98.875,97.1465,98.677498,1256000,98.677498
"2021-10-21",98.375,99.058746,97.71125,98.870003,986400,98.870003
"2021-10-22",98.667503,99.212502,97.309998,97.629997,932000,97.629997
"2021-10-25",97.592499,98.402496,96.449997,96.510002,1117600,96.510002
"2021-10-26",99.292503,101.949997,98.908752,100.897499,2878000,100.897499
"2021-10-27",100.059998,102.794998,100.059998,100.697502,1765600,100.697502
"2021-10-28",100.872498,102.129997,100.167503,101.760002,1982400,101.760002
"2021-10-29",101.110001,102.787498,100.389999,102.422501,1962400,102.422501
"2021-11-01",102.144997,103.445,102.1325,102.142502,2832000,102.142502
"2021-11-02",122.394997,131.25,120.760002,122.967499,13023600,122.967499
"2021-11-03",122.7575,129.322495,121.627502,128.449997,5460800,128.449997
"2021-11-04",124.0075,133.497498,123.667252,130.964996,3977600,130.964996
"2021-11-05",130.25,133.255005,130.082504,132.634995,2540400,132.634995
"2021-11-08",132.625,133.980255,129.5,131.604996,2020000,131.604996
"2021-11-09",131.862503,134.135757,131.160004,132.839996,2095600,132.839996
"2021-11-10",130.970001,133.904251,129.625,130.539993,2078400,130.539993
"2021-11-11",130.914993,132.302505,129.842499,130.352493,1676800,130.352493
"2021-11-12",129.75,132.292496,129.75,131.449997,1896000,131.449997
"2021-11-15",131.25,133.107498,130.38475,132.042496,1421200,132.042496
"2021-11-16",129.5,132.792496,128.75,131.817505,2509600,131.817505
"2021-11-17",130.25,133.672501,130.25,132.080002,1649200,132.080002
"2021-11-18",130,133.25,129,132.550003,2126500,132.550003
"2021-11-19",129.509995,131.300003,128.132004,128.960007,2030300,128.960007
"2021-11-22",129.889999,132.149994,128,128.160004,2061500,128.160004
"2021-11-23",125.879997,127.080002,121.75,126.510002,2598100,126.510002
"2021-11-24",127.010002,128.119995,125.790001,127.779999,1350100,127.779999
"2021-11-26",125.669998,127.269997,124.190002,124.970001,1225800,124.970001
"2021-11-29",127.480003,128.330002,125.5,126.599998,1797900,126.599998
"2021-11-30",125.989998,126.160004,123.519997,124.059998,2703700,124.059998
"2021-12-01",125.629997,126.220001,121.300003,121.389999,2229400,121.389999
"2021-12-02",121.419998,123.519997,119.400002,123.279999,2465900,123.279999
"2021-12-03",124.25,124.985001,119.629997,121.199997,1931500,121.199997
"2021-12-06",122.5,122.889999,119.040001,121.650002,1203100,121.650002
"2021-12-07",123.779999,126.695,123.489998,126.309998,1779000,126.309998
"2021-12-08",126.400002,127.035004,124.980003,125.480003,1549400,125.480003
"2021-12-09",126.559998,130.759995,126.040001,128.660004,2432400,128.660004
"2021-12-10",129.5,131.199997,128.830002,130.690002,1847500,130.690002
"2021-12-13",131.229996,133.919998,130.740005,132.179993,2677100,132.179993
"2021-12-14",130.490005,132,129.639999,131.119995,2302700,131.119995
"2021-12-15",131.699997,139.289993,130.75,138.660004,3745100,138.660004
"2021-12-16",139.630005,140.526993,129.740005,130.139999,3756300,130.139999
"2021-12-17",131,136.190002,129.289993,135.029999,5721900,135.029999
"2021-12-20",132.559998,135.229996,132,134.330002,1773500,134.330002
"2021-12-21",135.139999,137.940002,133.636002,137.910004,2723600,137.910004
"2021-12-22",136.929993,140.330002,136.389008,139.529999,1646400,139.529999
"2021-12-23",140,144.539993,139.960007,141.850006,2319700,141.850006
"2021-12-27",142.869995,148.570007,142.809998,146.839996,2106600,146.839996
"2021-12-28",145.949997,147.360001,143.630005,144.889999,1567900,144.889999
"2021-12-29",145.539993,146.300003,144.149994,145.710007,1149600,145.710007
"2021-12-30",145.779999,146.270004,143.029999,143.149994,1339400,143.149994
"2021-12-31",144,145.410004,143.126007,143.75,1083800,143.75
"2022-01-03",144.089996,144.5,140.669998,142.240005,2296600,142.240005
"2022-01-04",142.25,142.25,137.220001,138.660004,2249400,138.660004
"2022-01-05",138.360001,138.960007,133.054001,133.149994,2238800,133.149994
"2022-01-06",131.770004,134.610001,131.625,132.669998,1487600,132.669998
