"","NOW.Open","NOW.High","NOW.Low","NOW.Close","NOW.Volume","NOW.Adjusted"
"2020-08-17",436.980011,445.149994,436.980011,442.369995,1969700,442.369995
"2020-08-18",441.720001,444.359985,435.299988,437.579987,2271700,437.579987
"2020-08-19",438,443.640015,432.100006,437.130005,1964800,437.130005
"2020-08-20",435.420013,454.730011,433.359985,453.339996,2717800,453.339996
"2020-08-21",452.779999,453.98999,446.179993,449.420013,2339000,449.420013
"2020-08-24",453.049988,458.640015,445,448.100006,2357000,448.100006
"2020-08-25",450,458.880005,445.73999,457.929993,1164900,457.929993
"2020-08-26",465,488.579987,464.100006,487.700012,2199800,487.700012
"2020-08-27",485,485.100006,474.5,480.549988,1521200,480.549988
"2020-08-28",485,494,484.399994,487.869995,1061100,487.869995
"2020-08-31",488.25,490,480.98999,482.019989,1390500,482.019989
"2020-09-01",485,497.25,482.579987,497.190002,1370700,497.190002
"2020-09-02",500,501.820007,482.660004,499.690002,1355500,499.690002
"2020-09-03",485,487.98999,462.670013,468.839996,2024600,468.839996
"2020-09-04",466,470,435.100006,450.350006,2680000,450.350006
"2020-09-08",439.98999,452.730011,432.850006,443.140015,1765200,443.140015
"2020-09-09",452.089996,462.859985,441.850006,458.200012,1805600,458.200012
"2020-09-10",461,468.320007,450.269989,452.980011,1114600,452.980011
"2020-09-11",457.630005,458.48999,439.76001,445.899994,895700,445.899994
"2020-09-14",451.420013,463.200012,451.170013,458.059998,1434400,458.059998
"2020-09-15",463.230011,474.320007,462.609985,473.959991,1120500,473.959991
"2020-09-16",476.470001,479.440002,455.779999,456.01001,1506900,456.01001
"2020-09-17",445.700012,455,442,453.799988,1578400,453.799988
"2020-09-18",454.149994,457.26001,442.709991,453.089996,1461200,453.089996
"2020-09-21",446.820007,462.399994,446.200012,461.880005,1106400,461.880005
"2020-09-22",465.75,471.100006,454.600006,470.570007,929800,470.570007
"2020-09-23",470,473.320007,459.040009,460.470001,826400,460.470001
"2020-09-24",458.790009,465.170013,453.700012,460.119995,842500,460.119995
"2020-09-25",468.910004,481.649994,464.570007,479.970001,1206500,479.970001
"2020-09-28",486.609985,488.399994,478.970001,484.209991,1257600,484.209991
"2020-09-29",486.350006,489.559998,483.100006,487.980011,824100,487.980011
"2020-09-30",485.670013,493.309998,481.149994,485,1202200,485
"2020-10-01",491.570007,495.130005,487.450012,492.519989,922000,492.519989
"2020-10-02",480.48999,502.630005,478.98999,493.149994,1592800,493.149994
"2020-10-05",495.609985,502.230011,491.269989,501.790009,1287300,501.790009
"2020-10-06",500,502.600006,489.820007,491.540009,1075400,491.540009
"2020-10-07",497.630005,504.209991,494,500,858000,500
"2020-10-08",505,505,492,496.5,823100,496.5
"2020-10-09",503.559998,510.880005,502.01001,508.609985,1193400,508.609985
"2020-10-12",513.549988,515.549988,502,509.089996,896300,509.089996
"2020-10-13",516.51001,522.77002,511.230011,518.299988,1180600,518.299988
"2020-10-14",520,521.5,509.980011,516.890015,990000,516.890015
"2020-10-15",509.480011,522.98999,506,520.679993,945300,520.679993
"2020-10-16",524.150024,530.72998,520.98999,524.869995,1031800,524.869995
"2020-10-19",526.440002,533.369995,519.390015,521.950012,891800,521.950012
"2020-10-20",523,527.580017,515.919983,518.190002,824700,518.190002
"2020-10-21",518.679993,519.530029,506.829987,510.279999,831300,510.279999
"2020-10-22",511.700012,513.549988,495.170013,505.959991,857900,505.959991
"2020-10-23",509.089996,514.22998,505.230011,514.01001,845200,514.01001
"2020-10-26",518.01001,521.859985,492.51001,501.609985,1621200,501.609985
"2020-10-27",508.790009,510,498.519989,499.809998,1204100,499.809998
"2020-10-28",486.950012,489.920013,480.149994,484.049988,1776600,484.049988
"2020-10-29",497,517.900024,493,510.589996,2857400,510.589996
"2020-10-30",504.399994,507.980011,485.589996,497.570007,1872900,497.570007
"2020-11-02",499.209991,507.579987,474.290009,476,1983700,476
"2020-11-03",477.609985,484.709991,472.01001,480.049988,1783000,480.049988
"2020-11-04",506.350006,518.22998,501,513.580017,2223800,513.580017
"2020-11-05",523.309998,533.840027,520.5,531.080017,1186500,531.080017
"2020-11-06",529.530029,537.530029,519,535.179993,826200,535.179993
"2020-11-09",509.649994,528.210022,500.790009,501.959991,2398500,501.959991
"2020-11-10",495.529999,499.679993,472.01001,481.279999,2501700,481.279999
"2020-11-11",493.709991,508.059998,489.549988,503.359985,1578500,503.359985
"2020-11-12",520.450012,525.01001,506.369995,509.779999,1630600,509.779999
"2020-11-13",511.600006,511.600006,495.519989,508.01001,1235100,508.01001
"2020-11-16",497.48999,505.75,495.190002,502.279999,1587100,502.279999
"2020-11-17",505,516,504.070007,513.099976,1151200,513.099976
"2020-11-18",511.25,513.559998,502.390015,507.119995,1016100,507.119995
"2020-11-19",508.200012,519.929993,505,514.330017,978500,514.330017
"2020-11-20",515.609985,526.460022,514,518.059998,1184100,518.059998
"2020-11-23",520.099976,524.869995,514.27002,522.109985,1286500,522.109985
"2020-11-24",522.710022,526,510.160004,514.690002,1182200,514.690002
"2020-11-25",519,524,511.790009,519.219971,1083600,519.219971
"2020-11-27",521,529.780029,515.849976,527.47998,741700,527.47998
"2020-11-30",530,535,520.97998,534.549988,1722500,534.549988
"2020-12-01",536,541.73999,525.960022,539.590027,1150700,539.590027
"2020-12-02",530.77002,535,521.169983,526.52002,1088500,526.52002
"2020-12-03",527.789978,539.5,523.299988,525.23999,1022300,525.23999
"2020-12-04",525.539978,529.75,522.23999,525.700012,744400,525.700012
"2020-12-07",528.76001,534.73999,527.909973,533.25,1379600,533.25
"2020-12-08",536.789978,544.049988,528.599976,542.25,1870000,542.25
"2020-12-09",544.429993,545,525.650024,527.98999,1637200,527.98999
"2020-12-10",526.5,538.559998,518.51001,538,1032900,538
"2020-12-11",538.190002,540.690002,530.840027,537.359985,855100,537.359985
"2020-12-14",538.5,539.109985,530.960022,532.47998,1280700,532.47998
"2020-12-15",532,535.109985,525.080017,527.380005,1072700,527.380005
"2020-12-16",532.950012,549.880005,532,545,1515400,545
"2020-12-17",549.469971,558.340027,549.469971,554.070007,1228200,554.070007
"2020-12-18",558.469971,566.73999,555.549988,565.429993,2152800,565.429993
"2020-12-21",558.02002,562.450012,542.700012,550.820007,1642400,550.820007
"2020-12-22",550.710022,562.5,548.969971,561.719971,1199000,561.719971
"2020-12-23",561.609985,565,549.719971,550.059998,887700,550.059998
"2020-12-24",555.299988,560.539978,552.73999,553.890015,623700,553.890015
"2020-12-28",563,563,540.900024,543.73999,1041900,543.73999
"2020-12-29",550.219971,551.630005,539.299988,545.97998,926100,545.97998
"2020-12-30",550.820007,552,544.659973,547.380005,580100,547.380005
"2020-12-31",547.01001,551.080017,543.710022,550.429993,664900,550.429993
"2021-01-04",556.940002,557.359985,521.51001,526.830017,1889200,526.830017
"2021-01-05",526.039978,533.330017,524.799988,531.969971,1544200,531.969971
"2021-01-06",519.77002,520.940002,507.059998,507.25,1969800,507.25
"2021-01-07",510,516.900024,508.709991,511.410004,1869600,511.410004
"2021-01-08",521.640015,531.609985,518.159973,529.640015,1594900,529.640015
"2021-01-11",525,526.960022,515.080017,523.059998,1286500,523.059998
"2021-01-12",520,522.51001,507.309998,513.210022,1173000,513.210022
"2021-01-13",518.210022,523.700012,511,521.710022,1076700,521.710022
"2021-01-14",527.200012,528,512.789978,514.340027,1448700,514.340027
"2021-01-15",518.409973,526.559998,513,513.76001,1083700,513.76001
"2021-01-19",515.599976,522.950012,509.690002,519.419983,978100,519.419983
"2021-01-20",527.98999,543.469971,527.01001,542.190002,1538900,542.190002
"2021-01-21",543.5,546.400024,537.869995,544.330017,1012400,544.330017
"2021-01-22",549.75,554.340027,540.299988,541.090027,1029700,541.090027
"2021-01-25",547.72998,552.820007,525.059998,537.880005,1712100,537.880005
"2021-01-26",540,540.780029,530.609985,532.460022,1417700,532.460022
"2021-01-27",524.880005,533.070007,508.220001,516.5,2241300,516.5
"2021-01-28",545,563.880005,542.859985,554.23999,3282700,554.23999
"2021-01-29",549.080017,552,529.340027,543.159973,2380200,543.159973
"2021-02-01",546.01001,564.72998,546.01001,558.559998,1716900,558.559998
"2021-02-02",562.880005,588.820007,560.099976,583.51001,2251600,583.51001
"2021-02-03",583,587.429993,574.559998,576.650024,1491500,576.650024
"2021-02-04",579.890015,589,572.130005,588.97998,1253300,588.97998
"2021-02-05",588.679993,592.539978,582.320007,589.72998,972000,589.72998
"2021-02-08",591.309998,598.369995,584,587.909973,1031700,587.909973
"2021-02-09",587.140015,588.599976,576.01001,581.780029,1635000,581.780029
"2021-02-10",585.76001,593.780029,579.01001,589.359985,966700,589.359985
"2021-02-11",594,595,588,594.469971,731300,594.469971
"2021-02-12",591.320007,593.710022,585.530029,591.289978,823000,591.289978
"2021-02-16",591.820007,594.659973,581.150024,585.73999,891500,585.73999
"2021-02-17",580,583.140015,570.75,580.940002,887000,580.940002
"2021-02-18",569.960022,579.309998,565.900024,575.799988,973600,575.799988
"2021-02-19",577.159973,582.109985,559.080017,570.72998,1958000,570.72998
"2021-02-22",566.030029,566.030029,549.780029,550.26001,1038800,550.26001
"2021-02-23",539.340027,553.799988,524.409973,551.75,1571200,551.75
"2021-02-24",545.5,554.200012,538.929993,551.830017,1113500,551.830017
"2021-02-25",550,556.48999,526.890015,528.789978,1761700,528.789978
"2021-02-26",532.5,540.320007,521.150024,533.460022,1799000,533.460022
"2021-03-01",544.820007,556.640015,540.039978,556.469971,1232100,556.469971
"2021-03-02",559.559998,562.429993,548.309998,549.299988,1121400,549.299988
"2021-03-03",544.289978,545.789978,513.669983,516,1806000,516
"2021-03-04",510.940002,517.75,484.899994,490.630005,2831300,490.630005
"2021-03-05",496.23999,496.23999,467.149994,486.959991,3232900,486.959991
"2021-03-08",490.779999,497.26001,462.51001,464.049988,1969800,464.049988
"2021-03-09",480.709991,493.559998,478.779999,488.950012,2448200,488.950012
"2021-03-10",497.109985,499,473.959991,474,1927000,474
"2021-03-11",494.48999,511.709991,490.220001,502.869995,1923300,502.869995
"2021-03-12",489,494.880005,482.73999,489.220001,1504700,489.220001
"2021-03-15",490,497.209991,486.470001,496.769989,967000,496.769989
"2021-03-16",504.279999,509.149994,495.309998,498.98999,1138500,498.98999
"2021-03-17",491.459991,492.730011,476.369995,485,2486000,485
"2021-03-18",479.690002,479.799988,464.670013,466.179993,1870000,466.179993
"2021-03-19",468.48999,475.570007,463.850006,470.839996,1893900,470.839996
"2021-03-22",471.630005,484.440002,471.320007,476.649994,1188300,476.649994
"2021-03-23",480.109985,486.440002,476.980011,478.170013,1140900,478.170013
"2021-03-24",480.630005,481.5,470,472.320007,1476400,472.320007
"2021-03-25",467.880005,474,463.799988,472.179993,1903800,472.179993
"2021-03-26",473.48999,495.450012,471,495,2440200,495
"2021-03-29",489.459991,492.940002,482.049988,485.390015,1720300,485.390015
"2021-03-30",480,490.98999,473.209991,487.570007,1254000,487.570007
"2021-03-31",493.440002,506.890015,490.519989,500.109985,1568400,500.109985
"2021-04-01",508,512.909973,502.5,507.01001,1063600,507.01001
"2021-04-05",511.970001,516.070007,509.179993,514.02002,1588800,514.02002
"2021-04-06",511.399994,515.140015,506.619995,509.079987,972900,509.079987
"2021-04-07",511.059998,512.890015,506.829987,510.730011,646700,510.730011
"2021-04-08",520,528.820007,517.47998,524.039978,1260000,524.039978
"2021-04-09",518.090027,530.609985,510,530,1453000,530
"2021-04-12",529.179993,541.219971,524.72998,537,1329000,537
"2021-04-13",539,551.280029,539,548.929993,1364400,548.929993
"2021-04-14",551,560.190002,542.840027,544.840027,1341100,544.840027
"2021-04-15",553.460022,560.169983,552.919983,559.349976,885200,559.349976
"2021-04-16",560.559998,560.789978,550.26001,556.909973,879700,556.909973
"2021-04-19",553.419983,556.880005,546,549.369995,895400,549.369995
"2021-04-20",548.960022,552.919983,536.5,540.780029,794800,540.780029
"2021-04-21",545.159973,549.070007,537.130005,546.469971,1032500,546.469971
"2021-04-22",547,558,543.849976,548.48999,900400,548.48999
"2021-04-23",553.280029,555.890015,549.330017,552.700012,780500,552.700012
"2021-04-26",554,559.390015,549.25,559.210022,671900,559.210022
"2021-04-27",557.950012,565.289978,553.590027,562.630005,961200,562.630005
"2021-04-28",559.25,559.789978,552.440002,557.23999,1715600,557.23999
"2021-04-29",521,530.799988,503.5,505,8692900,505
"2021-04-30",500.279999,519.820007,500.279999,506.369995,3440600,506.369995
"2021-05-03",507.459991,508.220001,488.779999,490.320007,2419100,490.320007
"2021-05-04",485.519989,489.679993,473.730011,483.299988,2469300,483.299988
"2021-05-05",489.179993,489.549988,477,479.970001,1444800,479.970001
"2021-05-06",477.100006,486.600006,473.100006,485.839996,2188300,485.839996
"2021-05-07",493.399994,494.529999,474.450012,483.51001,1997100,483.51001
"2021-05-10",482.5,482.5,464.700012,466.799988,2053800,466.799988
"2021-05-11",453.799988,486.01001,452.459991,481.5,2588100,481.5
"2021-05-12",473.230011,475,460.01001,464.709991,1779000,464.709991
"2021-05-13",470,471.320007,451.040009,454.980011,1700500,454.980011
"2021-05-14",461.910004,464.910004,458.779999,460.329987,1789700,460.329987
"2021-05-17",459.470001,459.470001,448.269989,454.399994,1862500,454.399994
"2021-05-18",455.459991,463,451,457.220001,1364100,457.220001
"2021-05-19",450.25,460.720001,448.269989,459.76001,1172100,459.76001
"2021-05-20",464.670013,475.579987,463.290009,471.130005,1286400,471.130005
"2021-05-21",473.890015,478.619995,468.929993,469.470001,1372600,469.470001
"2021-05-24",475,479.799988,473.519989,476.359985,928900,476.359985
"2021-05-25",478.75,483.700012,476.369995,479.899994,1367500,479.899994
"2021-05-26",478.809998,487.269989,478.040009,485.410004,1542200,485.410004
"2021-05-27",480.970001,482.609985,472.630005,479.220001,1727800,479.220001
"2021-05-28",480,482.070007,470.549988,473.880005,1895600,473.880005
"2021-06-01",477.600006,477.640015,467.040009,469.170013,1693200,469.170013
"2021-06-02",464.570007,472.600006,461.910004,467.01001,1032200,467.01001
"2021-06-03",464.309998,465.179993,456,459.200012,973200,459.200012
"2021-06-04",460,465.309998,458.720001,460.649994,1575400,460.649994
"2021-06-07",460.019989,462.73999,457,459.459991,1210900,459.459991
"2021-06-08",463.970001,471.100006,459.420013,460.76001,1074400,460.76001
"2021-06-09",464.959991,467.609985,460.720001,464.709991,1027700,464.709991
"2021-06-10",485.709991,490.790009,479.01001,489.130005,3041800,489.130005
"2021-06-11",490,499.51001,488,498.01001,2080800,498.01001
"2021-06-14",500,511.119995,498.220001,509.339996,1827700,509.339996
"2021-06-15",510.519989,512.549988,504.119995,505.429993,1565100,505.429993
"2021-06-16",507.700012,521.5,502.149994,510.079987,2057600,510.079987
"2021-06-17",505.799988,531,505.799988,530.400024,1909400,530.400024
"2021-06-18",528.820007,537.719971,525.280029,533.73999,2246200,533.73999
"2021-06-21",531.320007,538,525.02002,534.75,1123300,534.75
"2021-06-22",536,547,535,546.030029,1283300,546.030029
"2021-06-23",545,551,542.72998,550.200012,889900,550.200012
"2021-06-24",552,558.75,550.809998,552.070007,997000,552.070007
"2021-06-25",555.26001,555.26001,541.98999,544.98999,1512000,544.98999
"2021-06-28",548,552.710022,546.75,552.169983,815500,552.169983
"2021-06-29",555.23999,561.890015,552.530029,558.590027,1048800,558.590027
"2021-06-30",556.890015,557.960022,547.609985,549.549988,842300,549.549988
"2021-07-01",545,550.130005,539.75,545.169983,1165800,545.169983
"2021-07-02",548.25,554.73999,547.200012,551.830017,681100,551.830017
"2021-07-06",554.289978,563.789978,552.190002,558.48999,795000,558.48999
"2021-07-07",560.900024,563.26001,553.070007,561.780029,1093500,561.780029
"2021-07-08",552.75,562.289978,546.950012,560.469971,942000,560.469971
"2021-07-09",559.719971,567.330017,555.869995,566.369995,976600,566.369995
"2021-07-12",570,573.669983,561.25,561.929993,1279200,561.929993
"2021-07-13",561,566.349976,555,559.330017,868400,559.330017
"2021-07-14",563.960022,567.299988,558.780029,562.940002,1133400,562.940002
"2021-07-15",563.380005,566.719971,554.549988,558.280029,823600,558.280029
"2021-07-16",561.52002,564.630005,554.960022,556.359985,941000,556.359985
"2021-07-19",551.73999,555.390015,545,555.090027,1108000,555.090027
"2021-07-20",560,569.159973,554.609985,565.25,870600,565.25
"2021-07-21",562.48999,567.130005,558.539978,567.130005,754200,567.130005
"2021-07-22",572.080017,579.400024,570.450012,576.700012,938500,576.700012
"2021-07-23",580,588.47998,577.820007,586.179993,890900,586.179993
"2021-07-26",584.799988,584.849976,575.01001,584.200012,1044200,584.200012
"2021-07-27",584,586.869995,574.669983,582.289978,1462400,582.289978
"2021-07-28",582,587,576.01001,583.349976,1229200,583.349976
"2021-07-29",584.599976,608.780029,584.599976,586.429993,2539600,586.429993
"2021-07-30",579.710022,595.890015,575.940002,587.890015,1566000,587.890015
"2021-08-02",587.890015,591.719971,579.01001,584.669983,901100,584.669983
"2021-08-03",584.890015,590.809998,577.340027,584.659973,804600,584.659973
"2021-08-04",585,594.690002,583.169983,593.469971,769700,593.469971
"2021-08-05",595,597,589.380005,595.5,476100,595.5
"2021-08-06",594,595.599976,589.429993,590.679993,709200,590.679993
"2021-08-09",589.950012,592.299988,585.299988,587.960022,800900,587.960022
"2021-08-10",588,589.440002,572.780029,575.799988,829500,575.799988
"2021-08-11",578.440002,581.140015,566.590027,570.200012,908200,570.200012
"2021-08-12",569.27002,581.98999,566.98999,581.570007,866300,581.570007
"2021-08-13",579.039978,587.97998,577.539978,587.830017,638800,587.830017
"2021-08-16",586,591.679993,576.320007,580.219971,812900,580.219971
"2021-08-17",579.450012,584.099976,574.380005,582.23999,709800,582.23999
"2021-08-18",580.469971,588.599976,578.47998,581.950012,741800,581.950012
"2021-08-19",579.5,591.299988,577.75,586.919983,768000,586.919983
"2021-08-20",591.049988,601.409973,588.570007,600.52002,1003500,600.52002
"2021-08-23",602,621,602,619.429993,1576600,619.429993
"2021-08-24",620,626.530029,620,621.849976,1016100,621.849976
"2021-08-25",623,627.77002,616.659973,621.070007,909500,621.070007
"2021-08-26",622.619995,630.22998,621.099976,624.030029,1096300,624.030029
"2021-08-27",625,635.619995,624.039978,632.400024,821200,632.400024
"2021-08-30",634,643.280029,633.48999,641.650024,797500,641.650024
"2021-08-31",645,647.700012,639.559998,643.640015,1246600,643.640015
"2021-09-01",643.599976,652.559998,642.5,650.849976,936700,650.849976
"2021-09-02",654,661.780029,652.390015,660.309998,1354000,660.309998
"2021-09-03",660,681.099976,659.049988,678.630005,1145900,678.630005
"2021-09-07",678.630005,679,660.210022,661.090027,1515800,661.090027
"2021-09-08",660.309998,660.309998,650.630005,653.799988,1113000,653.799988
"2021-09-09",655.780029,656.369995,649,650.190002,802300,650.190002
"2021-09-10",653.109985,655.76001,646.73999,647.97998,754300,647.97998
"2021-09-13",649,649.080017,630.669983,639.080017,1262200,639.080017
"2021-09-14",641.98999,648.539978,640.590027,645.419983,749400,645.419983
"2021-09-15",644.090027,654.119995,637.669983,652.150024,803200,652.150024
"2021-09-16",650.299988,657.119995,644.679993,656.349976,622300,656.349976
"2021-09-17",653.390015,657.460022,648.26001,651.030029,1298100,651.030029
"2021-09-20",644.359985,650.580017,640.119995,648.72998,957800,648.72998
"2021-09-21",650,657.179993,645.630005,654.200012,755200,654.200012
"2021-09-22",658,665.5,650.679993,662.650024,816100,662.650024
"2021-09-23",668,670.48999,663.01001,664.219971,871500,664.219971
"2021-09-24",662.099976,667,655,666.309998,499800,666.309998
"2021-09-27",659.880005,660,646.210022,649.559998,902500,649.559998
"2021-09-28",633.669983,636.840027,610,612.52002,1988800,612.52002
"2021-09-29",620,623.840027,607.179993,618.02002,1228600,618.02002
"2021-09-30",620.200012,626.98999,618.23999,622.27002,948400,622.27002
"2021-10-01",623.780029,635.409973,614.330017,632.799988,1048900,632.799988
"2021-10-04",635.400024,638.049988,609.469971,617.969971,1173700,617.969971
"2021-10-05",622.469971,639.539978,622,633.419983,1066200,633.419983
"2021-10-06",627.340027,635.76001,621.400024,629.359985,1038300,629.359985
"2021-10-07",636.429993,648.359985,635.429993,637.919983,1021400,637.919983
"2021-10-08",640,643.659973,616.919983,617.580017,1715600,617.580017
"2021-10-11",618.02002,627.309998,612.140015,615.849976,915100,615.849976
"2021-10-12",622.359985,633,620.23999,629.130005,796000,629.130005
"2021-10-13",630,641.080017,630,639.409973,1110800,639.409973
"2021-10-14",650,662.76001,648.599976,653.030029,1326000,653.030029
"2021-10-15",656.859985,665.609985,654.900024,663.179993,919300,663.179993
"2021-10-18",663.5,666.299988,657.330017,666.219971,1134700,666.219971
"2021-10-19",672.400024,687.690002,672.289978,680.25,1472500,680.25
"2021-10-20",684.22998,686.72998,671.179993,681.109985,872400,681.109985
"2021-10-21",680,687.289978,676.869995,686.340027,649500,686.340027
"2021-10-22",686,692.969971,683.419983,686.650024,928500,686.650024
"2021-10-25",686.650024,693.469971,684.5,688.849976,586100,688.849976
"2021-10-26",692.690002,693,675.549988,676.710022,1108500,676.710022
"2021-10-27",675.700012,684.830017,663.609985,664.76001,1500500,664.76001
"2021-10-28",671.51001,694,671.299988,687.700012,2113300,687.700012
"2021-10-29",686.349976,698.429993,682.150024,697.76001,1107100,697.76001
"2021-11-01",700,704.820007,676.659973,681.97998,1163500,681.97998
"2021-11-02",685.98999,687.5,680.5,686.590027,682600,686.590027
"2021-11-03",689.099976,689.099976,672.219971,687.669983,662500,687.669983
"2021-11-04",690,707.599976,689.140015,701.72998,833500,701.72998
"2021-11-05",702,702.73999,686.900024,692.01001,596100,692.01001
"2021-11-08",693.719971,696.590027,689.150024,692.280029,798100,692.280029
"2021-11-09",695.309998,697.280029,685.599976,691.27002,499800,691.27002
"2021-11-10",686.789978,687.929993,663.820007,670.909973,1279800,670.909973
"2021-11-11",679.690002,681.340027,673.890015,679.25,1015000,679.25
"2021-11-12",685,691.73999,681.440002,691.400024,991700,691.400024
"2021-11-15",689.460022,689.900024,678.710022,682.570007,812000,682.570007
"2021-11-16",684.98999,692.559998,682.109985,692.549988,926700,692.549988
"2021-11-17",694.330017,695.609985,683.900024,684.929993,691500,684.929993
"2021-11-18",682.469971,684.559998,674.140015,675.840027,751400,675.840027
"2021-11-19",680.309998,687.26001,674.179993,675.969971,1051300,675.969971
"2021-11-22",675.710022,683.960022,651.359985,656.380005,1194200,656.380005
"2021-11-23",650,654.429993,627.409973,636.909973,1844700,636.909973
"2021-11-24",629.960022,649.419983,624.140015,649.309998,837000,649.309998
"2021-11-26",644.52002,661.070007,644.52002,649.549988,729500,649.549988
"2021-11-29",659.630005,676.5,651.109985,672.820007,1081400,672.820007
"2021-11-30",674.630005,679.619995,642.650024,647.700012,2146400,647.700012
"2021-12-01",650.359985,657.960022,599.340027,599.570007,2318100,599.570007
"2021-12-02",599.570007,625.799988,598.640015,623.369995,1460000,623.369995
"2021-12-03",627.690002,628.76001,593.159973,613.109985,1854800,613.109985
"2021-12-06",601.580017,619.659973,594.049988,616.539978,1440300,616.539978
"2021-12-07",630.98999,668.159973,630,663.390015,1850000,663.390015
"2021-12-08",660,672.969971,651.049988,665.809998,930200,665.809998
"2021-12-09",666,669.109985,641.25,642.150024,1089100,642.150024
"2021-12-10",647.190002,658.179993,640.200012,647,850300,647
"2021-12-13",644.650024,661.169983,642.669983,655.940002,999500,655.940002
"2021-12-14",642.090027,646.900024,607.190002,624.690002,1659700,624.690002
"2021-12-15",626.659973,648.070007,624.580017,647.039978,1581500,647.039978
"2021-12-16",639.390015,643.799988,606.690002,608.97998,1588300,608.97998
"2021-12-17",596.700012,620.650024,587.02002,615.630005,3418700,615.630005
"2021-12-20",605,614.059998,601.219971,605.369995,996700,605.369995
"2021-12-21",612.5,635.340027,605,631.320007,1129100,631.320007
"2021-12-22",631.460022,648.890015,625.599976,643.929993,1010700,643.929993
"2021-12-23",645.960022,651.690002,641.030029,648.570007,664700,648.570007
"2021-12-27",655.97998,664.950012,651.969971,663.280029,680900,663.280029
"2021-12-28",667.640015,667.640015,653,654,482200,654
"2021-12-29",655.179993,658.859985,646.02002,654.580017,441800,654.580017
"2021-12-30",656.200012,663.169983,653.840027,654.539978,490900,654.539978
"2021-12-31",652.02002,658.590027,648.869995,649.109985,464600,649.109985
"2022-01-03",648.159973,651.409973,625.419983,630.140015,1043700,630.140015
"2022-01-04",628.390015,628.820007,576.969971,603.940002,2980600,603.940002
"2022-01-05",589,607.5,571.47998,572.76001,2096100,572.76001
"2022-01-06",567.400024,589.450012,555,574.039978,1674500,574.039978
"2022-01-07",570.690002,585.580017,558.330017,566.390015,1190500,566.390015
"2022-01-10",550.099976,573.099976,535.809998,572,1967600,572
"2022-01-11",569.880005,580.23999,561.75,578.440002,1340000,578.440002
"2022-01-12",587.320007,591.52002,569.619995,573.390015,1717200,573.390015
"2022-01-13",575.02002,575.840027,520,521.26001,3904900,521.26001
"2022-01-14",521.26001,538.539978,514.659973,531.02002,3237600,531.02002
"2022-01-18",524.700012,544.460022,517.590027,522.340027,2386600,522.340027
"2022-01-19",525.419983,543.72998,520.640015,521.289978,2570500,521.289978
"2022-01-20",532.210022,542.799988,513.719971,515,1885600,515
"2022-01-21",510,528.880005,507.130005,507.73999,2605600,507.73999
"2022-01-24",500.290009,527.619995,484.429993,525.840027,3420500,525.840027
"2022-01-25",515.450012,517.599976,484.440002,495.079987,2878700,495.079987
"2022-01-26",514.280029,520.98999,479.350006,484.420013,3475300,484.420013
"2022-01-27",553.530029,556.98999,518.140015,528.690002,5506100,528.690002
