"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"SPGI","S&P Global Inc","Common stocks","Large cap","Financials","$119,512,239,000","0.90%","33.57","13.78","2.96","Analyze"
"MDT","Medtronic Plc","Common stocks","Large cap","Health Care","$119,329,909,883","2.86%","24.21","3.75","2.26","Analyze"
"SCHW","Charles Schwab Corporation","Common stocks","Large cap","Financials","$118,269,291,172","1.20%","21.55","6.40","2.35","Analyze"
"AMT","American Tower Corporation","REITs","Large cap","Real Estate","$117,733,070,370","2.13%","44.26","11.94","21.74","Analyze"
"HON","Honeywell International Inc","Common stocks","Large cap","Industrials","$117,657,879,621","2.22%","22.42","3.43","6.41","Analyze"
"ELV","Elevance Health, Inc.","Common stocks","Large cap","Health Care","$116,111,251,744","1.00%","0.00","0.00","0.00","Analyze"
"LOW","Lowes Companies Inc","Common stocks","Large cap","Consumer Discretionary","$115,113,493,571","1.77%","13.73","1.21","-16.82","Analyze"
"LMT","Lockheed Martin Corp","Common stocks","Large cap","Industrials","$111,517,449,594","2.61%","17.74","1.70","11.01","Analyze"
"COP","ConocoPhillips","Common stocks","Large cap","Energy","$110,654,608,746","3.47%","8.40","2.06","2.19","Analyze"
"INTU","Intuit Inc","Common stocks","Large cap","Information Technology","$110,319,551,980","0.67%","52.28","9.67","7.28","Analyze"
"AXP","American Express","Common stocks","Large cap","Financials","$105,865,213,881","1.35%","13.42","2.35","4.68","Analyze"
"GS","Goldman Sachs Group Inc","Common stocks","Large cap","Financials","$100,691,728,133","2.72%","5.50","1.88","0.87","Analyze"
"NOW","Servicenow Inc","Common stocks","Large cap","Information Technology","$98,305,526,133","0.00%","384.08","15.71","21.46","Analyze"
"CAT","Caterpillar Inc","Common stocks","Large cap","Industrials","$93,347,477,939","2.52%","14.33","1.77","5.45","Analyze"
"BLK","Blackrock Inc","Common stocks","Large cap","Financials","$91,659,469,275","2.95%","14.89","4.66","2.44","Analyze"
"C","Citigroup Inc","Common stocks","Large cap","Financials","$91,497,522,174","4.36%","5.32","1.28","0.46","Analyze"
"DE","Deere & Company","Common stocks","Large cap","Industrials","$91,204,740,882","1.43%","16.03","2.07","4.79","Analyze"
"PLD","Prologis, Inc","REITs","Large cap","Real Estate","$90,149,715,260","2.31%","24.08","18.66","2.62","Analyze"
"ADP","Automatic Data Processing Inc","Common stocks","Large cap","Information Technology","$89,769,685,493","1.87%","31.37","5.69","21.41","Analyze"
"SBUX","Starbucks Corp","Common stocks","Large cap","Consumer Discretionary","$89,343,510,000","2.44%","20.23","2.85","-10.17","Analyze"
"CI","Cigna Corp","Common stocks","Large cap","Health Care","$88,808,011,949","1.50%","16.45","0.50","1.92","Analyze"
"EL","Estee Lauder Inc Class A","Common stocks","Large cap","Consumer Staples","$88,807,065,095","0.95%","16.87","4.90","9.21","Analyze"
"MDLZ","Mondelez International Inc","Common stocks","Large cap","Consumer Staples","$86,190,763,801","2.23%","20.55","2.95","3.06","Analyze"
"ZTS","Zoetis Inc","Common stocks","Large cap","Health Care","$83,320,097,081","0.65%","39.46","10.56","17.56","Analyze"
"DUK","Duke Energy Corp","Common stocks","Large cap","Utilities","$83,118,456,037","3.60%","22.47","3.19","1.68","Analyze"
"CB","Chubb Ltd","Common stocks","Large cap","Financials","$82,013,572,584","1.66%","9.90","2.02","1.43","Analyze"
"PYPL","Paypal Holdings Inc","Common stocks","Large cap","Information Technology","$81,607,073,797","0.00%","22.79","3.16","3.96","Analyze"
"BA","Boeing","Common stocks","Large cap","Industrials","$81,048,192,763","0.00%","-17.83","1.33","-5.65","Analyze"
"GILD","Gilead Sciences Inc","Common stocks","Large cap","Health Care","$78,595,280,652","4.51%","17.41","2.86","3.94","Analyze"
"NFLX","Netflix Inc","Common stocks","Large cap","Communication Services","$78,347,926,719","0.00%","15.65","2.58","4.47","Analyze"
"MMC","Marsh & McLennan Inc","Common stocks","Large cap","Financials","$77,987,354,435","1.37%","23.79","3.84","7.03","Analyze"
"AMAT","Applied Material Inc","Common stocks","Large cap","Information Technology","$77,094,727,688","1.37%","11.41","3.10","6.66","Analyze"
"ADI","Analog Devices Inc","Common stocks","Large cap","Information Technology","$76,702,577,492","1.95%","46.70","7.86","2.07","Analyze"
"SO","Southern Co","Common stocks","Large cap","Utilities","$76,257,395,925","3.65%","33.40","3.20","2.34","Analyze"
"CHTR","Charter Communications Inc Class A","Common stocks","Large cap","Communication Services","$76,105,266,023","0.00%","15.07","1.45","6.31","Analyze"
"MO","Altria Group Inc","Common stocks","Large cap","Consumer Staples","$75,952,877,518","8.35%","25.48","3.61","-43.53","Analyze"
"VRTX","Vertex Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$75,210,155,451","0.00%","30.26","9.46","6.80","Analyze"
"CME","CME Group Inc Class A","Common stocks","Large cap","Financials","$74,881,175,288","1.81%","27.21","15.66","2.70","Analyze"
"SYK","Stryker Corp","Common stocks","Large cap","Health Care","$74,658,960,014","1.37%","36.73","4.28","4.92","Analyze"
"CCI","Crown Castle International Corp.","REITs","Large cap","Real Estate","$74,594,037,025","3.29%","50.74","11.31","9.21","Analyze"
"NOC","Northrop Grumman Corp","Common stocks","Large cap","Industrials","$73,915,463,173","1.35%","12.64","2.09","5.49","Analyze"
"ISRG","Intuitive Surgical Inc","Common stocks","Large cap","Health Care","$73,844,533,443","0.00%","36.24","12.50","6.10","Analyze"
"MMM","3M","Common stocks","Large cap","Industrials","$73,414,282,109","4.60%","13.24","2.08","4.96","Analyze"
"PGR","Progressive Corp","Common stocks","Large cap","Financials","$70,372,459,837","1.57%","31.73","1.46","4.02","Analyze"
"BKNG","Booking Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$70,056,836,135","0.00%","134.72","5.60","16.02","Analyze"
"MRNA","Moderna, Inc.","Common stocks","Large cap","Health Care","$69,711,332,949","0.00%","4.76","3.08","4.08","Analyze"
"BDX","Becton Dickinson","Common stocks","Large cap","Health Care","$69,470,250,087","1.38%","36.91","3.47","2.75","Analyze"
"USB","US Bancorp","Common stocks","Large cap","Financials","$68,864,055,582","3.92%","9.95","3.01","1.34","Analyze"
"TJX","TJX Companies, Inc.","Common stocks","Large cap","Consumer Discretionary","$68,423,538,487","1.83%","22.40","1.31","11.51","Analyze"
"GE","General Electric","Common stocks","Large cap","Industrials","$68,142,168,788","0.52%","-13.93","0.92","1.78","Analyze"
"TGT","Target Corp","Common stocks","Large cap","Consumer Discretionary","$67,880,517,899","2.44%","11.44","0.63","6.22","Analyze"
"REGN","Regeneron Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$66,378,914,374","0.00%","8.37","4.02","3.33","Analyze"
"CL","Colgate-Palmolive","Common stocks","Large cap","Consumer Staples","$65,946,025,169","2.29%","32.10","3.77","204.42","Analyze"
"PNC","PNC Financial Services Group, Inc.","Common stocks","Large cap","Financials","$65,643,538,068","3.24%","12.93","3.34","1.32","Analyze"
"D","Dominion Energy Inc","Common stocks","Large cap","Utilities","$64,723,148,842","3.21%","21.63","4.50","2.21","Analyze"
"MU","Micron Technology Inc","Common stocks","Large cap","Information Technology","$63,772,818,693","0.72%","7.07","2.05","1.33","Analyze"
"WM","Waste Management Inc","Common stocks","Large cap","Industrials","$63,352,287,875","1.60%","32.87","3.43","8.78","Analyze"
"TFC","Truist Financial Corporation","Common stocks","Large cap","Financials","$63,109,018,670","4.00%","10.43","2.86","0.97","Analyze"
"SHW","Sherwin Williams","Common stocks","Large cap","Materials","$62,941,370,800","0.95%","35.13","3.10","28.71","Analyze"
"CSX","CSX Corp","Common stocks","Large cap","Industrials","$62,727,399,615","1.33%","15.94","4.78","4.76","Analyze"
"HUM","Humana Inc","Common stocks","Large cap","Health Care","$61,606,081,576","0.61%","20.14","0.71","3.99","Analyze"
"GD","General Dynamics Corp","Common stocks","Large cap","Industrials","$61,025,699,021","2.21%","18.35","1.59","3.34","Analyze"
"ATVI","Activision Blizzard Inc","Common stocks","Large cap","Communication Services","$60,822,559,707","0.60%","24.58","7.33","3.41","Analyze"
"EOG","EOG Resources Inc","Common stocks","Large cap","Energy","$60,738,487,150","2.17%","13.31","2.71","2.71","Analyze"
"FISV","Fiserv Inc","Common stocks","Large cap","Information Technology","$60,371,301,501","0.00%","35.53","3.63","1.93","Analyze"
"EW","Edwards Lifesciences Corp","Common stocks","Large cap","Health Care","$60,235,308,184","0.00%","38.93","11.24","10.25","Analyze"
"EQIX","Equinix, Inc.","REITs","Large cap","Real Estate","$58,914,158,413","1.83%","119.92","8.70","5.38","Analyze"
"AON","Aon Plc","Common stocks","Large cap","Financials","$58,201,684,504","0.76%","42.10","4.72","48.82","Analyze"
"FDX","FedEx Corporation","Common stocks","Large cap","Industrials","$58,105,167,160","1.51%","11.26","0.63","2.36","Analyze"
"DG","Dollar General Corp","Common stocks","Large cap","Consumer Discretionary","$57,630,002,930","0.76%","23.42","1.69","8.97","Analyze"
"NSC","Norfolk Southern Corp","Common stocks","Large cap","Industrials","$57,291,394,645","2.05%","17.46","5.02","3.94","Analyze"
"FIS","Fidelity National Information Services","Common stocks","Large cap","Information Technology","$57,128,721,329","1.82%","62.79","4.04","1.22","Analyze"
"ITW","Illinois Tool Inc","Common stocks","Large cap","Industrials","$56,975,376,566","2.64%","21.21","3.84","15.90","Analyze"
"LRCX","Lam Research Corp","Common stocks","Large cap","Information Technology","$55,820,314,015","1.48%","12.29","3.34","9.26","Analyze"
"OXY","Occidental Petroleum Corp","Common stocks","Large cap","Energy","$55,781,607,249","0.47%","8.22","1.92","2.16","Analyze"
"PSA","Public Storage","REITs","Large cap","Real Estate","$55,080,980,744","2.53%","28.78","15.21","5.56","Analyze"
"BSX","Boston Scientific Corp","Common stocks","Large cap","Health Care","$53,623,215,674","0.00%","70.02","4.41","3.15","Analyze"
"ICE","Intercontinental Exchange Inc","Common stocks","Large cap","Financials","$52,778,495,907","1.49%","12.81","5.74","2.30","Analyze"
"MCO","Moodys Corp","Common stocks","Large cap","Financials","$52,331,580,000","0.93%","25.72","8.52","21.23","Analyze"
"APD","Air Products And Chemicals Inc","Common stocks","Large cap","Materials","$51,914,918,117","2.64%","23.01","4.56","3.69","Analyze"
"PXD","Pioneer Natural Resource","Common stocks","Large cap","Energy","$51,684,858,786","1.18%","12.13","2.47","2.15","Analyze"
"MNST","Monster Beverage Corp","Common stocks","Large cap","Consumer Staples","$51,303,972,482","0.00%","37.82","8.82","7.47","Analyze"
"KDP","Keurig Dr Pepper Inc.","Common stocks","Large cap","Consumer Staples","$51,266,282,508","2.06%","21.31","3.99","2.01","Analyze"
"CNC","Centene Corp","Common stocks","Large cap","Health Care","$51,013,843,006","0.00%","10.19","0.38","1.87","Analyze"
"ETN","Eaton Corporation, PLC","Common stocks","Large cap","Industrials","$51,012,150,000","2.44%","22.82","2.58","3.05","Analyze"
"MET","Metlife Inc","Common stocks","Large cap","Financials","$50,508,220,064","3.09%","7.53","0.77","0.93","Analyze"
"HCA","HCA Healthcare, Inc.","Common stocks","Large cap","Health Care","$50,052,102,516","1.22%","7.39","0.84","-24.72","Analyze"
"AEP","American Electric Power Inc","Common stocks","Large cap","Utilities","$48,791,832,162","3.20%","18.57","2.85","885.51","Analyze"
"SNPS","Synopsys Inc","Common stocks","Large cap","Information Technology","$48,214,692,782","0.00%","46.47","10.13","8.42","Analyze"
"EMR","Emerson Electric","Common stocks","Large cap","Industrials","$47,674,440,000","2.53%","16.38","2.52","4.44","Analyze"
"KHC","Kraft Heinz","Common stocks","Large cap","Consumer Staples","$47,256,784,365","4.08%","38.58","1.84","0.95","Analyze"
"MCK","Mckesson Corp","Common stocks","Large cap","Health Care","$47,210,822,248","0.57%","42.20","0.18","-20.69","Analyze"
"SLB","Schlumberger Nv","Common stocks","Large cap","Energy","$47,167,183,726","1.64%","22.11","1.99","3.01","Analyze"
"KLAC","KLA-Tencor Corporation","Common stocks","Large cap","Information Technology","$46,735,940,295","1.34%","14.84","5.40","11.45","Analyze"
"SRE","Sempra Energy","Common stocks","Large cap","Utilities","$46,683,681,547","3.71%","46.53","3.48","7.99","Analyze"
"NEM","Newmont Corporation","Common stocks","Large cap","Materials","$46,658,750,462","3.70%","43.59","3.77","2.14","Analyze"
"LHX","L3Harris Technologies, Inc.","Common stocks","Large cap","Industrials","$46,012,170,063","1.78%","24.17","2.65","2.33","Analyze"
"HSY","Hershey Foods","Common stocks","Large cap","Consumer Staples","$45,895,311,000","1.63%","19.90","4.91","11.02","Analyze"
"STZ","Constellation Brands Class A","Common stocks","Large cap","Consumer Staples","$45,430,137,906","1.27%","88.75","5.15","3.27","Analyze"
"KMB","Kimberly Clark Corp","Common stocks","Large cap","Consumer Staples","$45,390,602,417","3.37%","26.00","2.29","64.65","Analyze"
"MPC","Marathon Petroleum Corp","Common stocks","Large cap","Energy","$45,243,406,330","2.75%","4.14","0.33","1.87","Analyze"
"GIS","General Mills Inc","Common stocks","Large cap","Consumer Staples","$45,240,723,414","2.70%","19.70","2.43","4.50","Analyze"
"MAR","Marriott International Inc","Common stocks","Large cap","Consumer Discretionary","$45,088,625,655","0.22%","30.32","2.86","25.45","Analyze"
"GM","General Motors","Common stocks","Large cap","Consumer Discretionary","$45,015,897,416","0.00%","5.20","0.34","0.74","Analyze"
"F","Ford Motor Company","Common stocks","Large cap","Consumer Discretionary","$44,583,230,920","2.64%","3.95","0.33","1.01","Analyze"
"ECL","Ecolab Inc","Common stocks","Large cap","Materials","$44,068,022,613","1.30%","40.67","3.36","6.36","Analyze"
"VLO","Valero Energy Corp","Common stocks","Large cap","Energy","$43,988,712,681","3.58%","16.87","0.33","2.27","Analyze"
"SYY","Sysco Corp","Common stocks","Large cap","Consumer Staples","$43,988,141,953","2.18%","44.02","0.67","33.31","Analyze"
"EXC","Exelon Corp","Common stocks","Large cap","Utilities","$43,547,485,488","2.72%","16.80","1.37","1.85","Analyze"
"CDNS","Cadence Design Systems Inc","Common stocks","Large cap","Information technology","$43,534,073,330","0.00%","58.50","13.80","15.77","Analyze"
"ORLY","Oreilly Automotive Inc","Common stocks","Large cap","Consumer Discretionary","$43,069,876,900","0.00%","20.08","3.18","-131.20","Analyze"
"COF","Capital One Financial Corp","Common stocks","Large cap","Financials","$42,123,238,804","2.22%","3.81","1.34","0.75","Analyze"
"AZO","Autozone Inc","Common stocks","Large cap","Consumer Discretionary","$42,093,408,716","0.00%","17.46","2.70","-13.41","Analyze"
"ROP","Roper Technologies Inc","Common stocks","Large cap","Information Technology","$42,082,275,211","0.61%","14.36","6.91","3.06","Analyze"
"PAYX","Paychex Inc","Common stocks","Large cap","Information Technology","$41,957,440,950","2.36%","30.86","9.33","12.77","Analyze"
"O","Realty Income Corporation","REITs","Large cap","Real Estate","$41,847,178,165","4.13%","90.15","17.12","1.64","Analyze"
"IQV","IQVIA Holdings, Inc.","Common stocks","Large cap","Health Care","$41,149,262,209","0.00%","37.46","2.93","6.83","Analyze"
"RSG","Republic Services Inc","Common stocks","Large cap","Industrials","$41,103,723,518","1.41%","30.12","3.52","4.51","Analyze"
"ADM","Archer-Daniels-Midland Company","Common stocks","Large cap","Consumer Staples","$40,869,466,497","2.10%","13.34","0.45","1.73","Analyze"
"AIG","American International Group Inc","Common stocks","Large cap","Financials","$40,758,276,959","2.47%","4.16","0.77","0.72","Analyze"
"TRV","Travelers Companies Inc","Common stocks","Large cap","Financials","$40,438,228,057","2.10%","10.10","1.15","1.55","Analyze"
"NXPI","NXP Semiconductors Nv","Common stocks","Large cap","Information Technology","$39,899,345,488","1.84%","26.28","3.43","6.13","Analyze"
"PSX","Phillips 66","Common stocks","Large cap","Energy","$39,334,738,126","4.47%","15.20","0.31","1.78","Analyze"
"FCX","Freeport-McMoRan, Inc.","Common stocks","Large cap","Materials","$38,999,650,700","1.11%","7.45","1.59","2.56","Analyze"
"CTAS","Cintas Corp","Common stocks","Large cap","Industrials","$38,962,256,361","0.99%","32.27","5.12","11.83","Analyze"
"APH","Amphenol Corp","Common stocks","Large cap","Information Technology","$38,796,089,904","1.14%","22.79","3.39","5.98","Analyze"
"WMB","Williams Inc","Common stocks","Large cap","Energy","$38,684,048,448","5.16%","25.68","3.54","3.33","Analyze"
"ADSK","Autodesk Inc","Common stocks","Large cap","Information Technology","$38,396,344,068","0.00%","77.26","8.75","45.22","Analyze"
"CTVA","Corteva, Inc.","Common stocks","Large cap","Materials","$38,290,967,000","1.05%","22.08","2.38","1.48","Analyze"
"KMI","Kinder Morgan Inc","Common stocks","Large cap","Energy","$38,229,586,772","6.31%","36.23","2.44","1.23","Analyze"
"XEL","Xcel Energy Inc","Common stocks","Large cap","Utilities","$38,065,818,019","2.68%","23.44","2.79","2.41","Analyze"
"DLTR","Dollar Tree Inc","Common stocks","Large cap","Consumer Discretionary","$37,314,476,502","0.00%","26.28","1.42","4.83","Analyze"
"WELL","Welltower Inc","REITs","Large cap","Real Estate","$37,275,293,923","0.74%","114.62","7.37","2.09","Analyze"
"DOW","Dow Inc.","Common stocks","Large cap","Materials","$37,140,474,960","5.40%","5.33","0.64","1.94","Analyze"
"A","Agilent Technologies Inc","Common stocks","Large cap","Health Care","$36,776,935,855","0.67%","29.56","5.71","6.91","Analyze"
"TEL","TE Connectivity Ltd","Common stocks","Large cap","Information Technology","$36,334,763,307","1.83%","14.56","2.35","3.49","Analyze"
"AFL","Aflac Inc","Common stocks","Large cap","Financials","$36,098,980,710","2.58%","8.84","1.70","1.22","Analyze"
"CMG","Chipotle Mexican Grill Inc","Common stocks","Large cap","Consumer Discretionary","$36,074,074,540","0.00%","51.56","4.61","16.53","Analyze"
"DLR","Digital Realty Trust, Inc","REITs","Large cap","Real Estate","$36,073,681,713","3.71%","25.80","8.08","2.00","Analyze"
"PRU","Prudential Financial Inc","Common stocks","Large cap","Financials","$36,037,500,000","4.81%","7.46","0.54","0.82","Analyze"
"ALL","Allstate Corp","Common stocks","Large cap","Financials","$35,838,534,129","2.52%","9.99","0.71","1.52","Analyze"
"MSI","Motorola Solutions Inc","Common stocks","Large cap","Information Technology","$35,709,542,729","1.44%","27.47","4.31","-110.21","Analyze"
"DVN","Devon Energy Corp","Common stocks","Large cap","Energy","$35,191,200,000","5.95%","9.56","2.52","3.69","Analyze"
"MSCI","MSCI Inc","Common stocks","Large cap","Financials","$35,095,546,502","0.96%","45.09","16.52","-38.85","Analyze"
"SBAC","SBA Communications Corporation","REITs","Large cap","Real Estate","$34,970,039,530","0.80%","78.39","14.69","-6.33","Analyze"
"AJG","Arthur J Gallagher","Common stocks","Large cap","Financials","$34,837,677,120","1.19%","35.94","4.12","3.85","Analyze"
"EA","Electronic Arts Inc","Common stocks","Large cap","Communication Services","$34,625,153,036","0.56%","43.88","4.95","4.54","Analyze"
"KR","Kroger","Common stocks","Large cap","Consumer Staples","$34,275,342,250","1.74%","31.28","0.00","3.60","Analyze"
"CTSH","Cognizant Technology Solutions","Common stocks","Large cap","Information Technology","$34,241,121,157","1.55%","15.60","1.81","2.86","Analyze"
"BK","Bank Of New York Mellon Corp","Common stocks","Large cap","Financials","$33,693,264,716","3.23%","9.95","2.16","0.81","Analyze"
"BF.B","Brown Forman Inc Class B","Common stocks","Large cap","Consumer Staples","$33,342,685,231","1.21%","26.94","8.89","8.63","Analyze"
"YUM","Yum Brands Inc","Common stocks","Large cap","Consumer Discretionary","$33,232,990,301","1.82%","20.04","5.00","-3.89","Analyze"
"WBD","Warner Bros. Discovery, Inc. - Series A","Common stocks","Large cap","Communication Services","$33,150,694,572","0.00%","27.24","2.64","2.83","Analyze"
"ED","Consolidated Edison Inc","Common stocks","Large cap","Utilities","$32,924,628,588","3.32%","21.51","2.34","1.61","Analyze"
"JCI","Johnson Controls International Plc","Common stocks","Large cap","Industrials","$32,759,048,266","2.76%","26.50","1.33","1.98","Analyze"
"MCHP","Microchip Technology Inc","Common stocks","Large cap","Information Technology","$32,643,491,531","2.03%","25.39","4.79","5.54","Analyze"
"BAX","Baxter International Inc","Common stocks","Large cap","Health Care","$32,482,635,018","1.74%","30.81","2.40","3.59","Analyze"
